abbreviation,
academicDiscipline,
activeYearsEndYear,
activeYearsStartYear,
actor,voice actor
acts,
adaptedBy,
address,addressee
administrator,
advertising,advertises
affiliation,affiliation
affiliations,affiliation
after,
afterElection,
agency,
agent,
aircraftType,
album,
alias,
allWriting,
ambassadors,
anthem,
archiveDate,
areaServed,
arearank,
areasServed,
areatotal,
artist,storyboard artist
asiawins,
assets,
assist,
assistsLeader,
associatedActs,
associatedBand,
associatedMusicalArtist,
atmosphereComposition,
audioReadBy,
australianopendoublesresult,
australianopenresult,
auswins,
authors,
automobilePlatform,
average,
award,award received
awards,award received
background,
bandMember,
basedOn,
battleHonours,
before,
beforeElection,
bestActor,
bestActorFilm,
bestActress,
birthDate,
birthName,
birthPlace,
birthYear,
birthname,birth name
block,
blockAlloy,
boardOfDirectors,
bodyStyle,
book,
bordering,
bowlgames,
bracesPlayer,
brand,
branding,
brands,
brighteststarname,
budget,budget
builder,
builders,
callsignMeaning,
candidate,candidate
carbody,
careerEnd,
careerNumber,
careerPosition,
careerPrizeMoney,
careerStart,
careerStation,
careerprizemoney,
carrier,
carriers,
category,
causes,
cbbaskhofYear,
chairman,
champion,
championInDoubleMale,
championInSingleMale,
chassis,chassis
chemical,chemical formula
child,child
children,child
chronology,
cinematography,
citizenship,
class,
client,
clubnumber,
clubs,
coach,head coach
coachplayers,
collapsed,
collapsible,
collections,collection
college,
colour,color
colours,color
commercial,
commissionedBy,
commodity,
companies,production company
company,production company
companyType,
compiler,
composer,composer,musical conductor
composition,
compositionSecondary,
computingPlatform,
connectivity,
consensus,
constel,
constell,
constellation,
constellationName,
construction,main building contractor
constructionMaterial,
contaminants,
contractors,
copyright,copyright holder,copyright license,copyright representative
count,
country,country
creator,creator
creatorname,
creators,
credits,
crest,
curator,
currency,currency
currentMember,
currentMemberOf,
currentMembers,
currentOwner,
currentStatus,
currentTenants,
currentclub,
currentowner,
currentposition,
daviscupresult,
deathDate,
deathPlace,
deathYear,
debut2league,
debut2team,
debut2year,
debutdate,
debutleague,
debutteam,
debutyear,
decWins,
declination,declination
design,
designGroup,
designer,costume designer,production designer
designers,
designfirm,
developer,
developers,
developmentCode,
directed,
directedby,
director,assistant director,director
distributor,
division,business division
domesticPartner,
domesticpartner,
doublesWins,
doublestitles,
draftLeague,
draftPick,
draftRound,
draftTeam,
draftYear,
draftpick,
draftround,
draftteam,
draftyear,
editing,
editor,
education,
element,element symbol
employer,employees
endorsedBy,
engine,
engineType,
entrant,
equity,
equityYear,
escutcheon,
etymology,
eurowins,
executiveProducer,
family,family
fate,
father,father,mother
fibaHofPlayer,
field,
fields,
fighter,
filling,
finaldate,
finalleague,
finalsMvp,
finalteam,
finalyear,
firstBracePlayer,
firstGoalPlayer,
firstHatTrickPlayer,
firstMajor,
fixAttempted,
flagbearer,flag bearer
formerBandMember,
formerName,
formerNames,
formula,chemical formula
foundation,
founded,
foundedBy,
founder,
founders,
foundingDate,
foundingYear,
foundry,
frenchopendoublesresult,
frenchopenresult,
ft,
fuelSource,
fullname,
funding,
genitive,
genre,genre
goals,
gold,
goldMedalist,
gross,
group,ethnic group
guests,
halftime,
hatTricksPlayer,
head,
headAlloy,
headliner,
headliners,
headquarter,
height,height
heightFootnote,
heightFt,
heightIn,
heightft,
heightin,
highSchool,
highestdoublesranking,
highestsinglesranking,
highlights,
highschool,
hofPlayer,
hofers,
holder,copyright holder
homepage,
hometown,
honorificPrefix,
honorificSuffix,
hopmancupresult,
host,
hosts,
hotSpringType,
hqLocation,
hqLocationCity,
hqLocationCountry,
hypernym,
importantStation,
impurities,
in,active ingredient in,fictional universe described in,found in taxon,interested in,participant in,plot expanded in,present in work,published in,set in environment,set in period,sports discipline competed in,stated in,studied in
incomeYear,
industries,industry
industry,industry
influenced,
influencedBy,
influences,
ingredient,
initiator,
institution,
institutions,
inventName,
invented,
isPartOf,
isPrimaryTopicOf,
isbn,
issuingAuthority,
japwins,
judges,
keel,
keyPeople,
keyPerson,
knownFor,
ko,
koWins,
label,record label
labels,
language,languages spoken,native language,writing language
last,
lastAppearance,
lastMajor,
latestGoalPlayer,
launchContractor,
leader,statistical leader
leaderName,
league,
leagueTopscorer,
length,
license,copyright license
licensedfrom,
licensee,copyright license
literaryGenre,
lithology,
location,filming location,headquarters location,location,narrative location
locationCity,
locationCountry,
locations,headquarters location,location,narrative location
loser,
lost,
lyricist,lyricist
