rdf-schema#seeAlso,rdf-schema#seeAlso
name,name
homepage,homepage,website
wgs84_pos#lat,wgs84_pos#lat
wgs84_pos#long,wgs84_pos#long
secCik,secCik
thumbnail,thumbnail
bloomberg,bloomberg
google,google
reuters,reuters
yahoo,yahoo
align,align
alt,alt
areaServed,areaServed
assets,assets
auto,auto
caption,caption
date,date
direction,direction
equity,equity
equityYear,equityYear
formerName,formerName
founded,founded
founders,founders,founder
hqLocation,hqLocation
hqLocationCity,hqLocationCity
hqLocationCountry,hqLocationCountry
image,image
imageCaption,imageCaption
imageSize,imageSize
industry,industry,industries
keyPeople,keyPeople
logo,logo
logoSize,logoSize
netIncome,netIncome
numEmployees,numEmployees
numEmployeesYear,numEmployeesYear
numLocations,numLocations
numLocationsYear,numLocationsYear
operatingIncome,operatingIncome
perrow,perrow
products,products,product
quote,quote
revenue,revenue
revenueYear,revenueYear
services,services,service
source,source
subsid,subsid
symbol,symbol
title,title
totalWidth,totalWidth
tradedAs,tradedAs
type,type
voy,voy
website,homepage,website
width,width
point,point
assetsYear,assetsYear
find,find
incomeYear,incomeYear
isin,isin
netIncomeYear,netIncomeYear
sameAs,sameAs
wordnet_type,wordnet_type
core#closeMatch,core#closeMatch
prov#wasDerivedFrom,prov#wasDerivedFrom
wikiPageLength,wikiPageLength
foundingDate,foundingDate
foundingYear,foundingYear
numberOfEmployees,numberOfEmployees
numberOfLocations,numberOfLocations
foundedBy,foundedBy
headquarter,headquarter
keyPerson,keyPerson
locationCity,locationCity
product,products,product
service,services,service
subsidiary,subsidiary
isPrimaryTopicOf,isPrimaryTopicOf
wgs84_pos#geometry,wgs84_pos#geometry
owl#differentFrom,owl#differentFrom
wikiPageDisambiguates,wikiPageDisambiguates
videoFormat,videoFormat
workplaces,workplaces
manuf,manuf
namesake,namesake
affiliations,affiliations,organization,affiliation,institutions,participation
author,author,writer
branding,branding
company,company,companies
currentowner,currentowner
designer,designer,designers
developer,developer,developers
distributor,distributor
manufacturer,manufacturer,manufacturers
membership,membership
mostWins,mostWins
network,network,networks
organization,affiliations,organization,institution,affiliation,foundation,institutions,participation,organisation
owner,owner
