Alexa rank,rank
Australian Classification,
BAMID film rating,
BBFC rating,rating
Biology Online Biology Dictionary entry,
CBFC rating,rating
CHVRS Classification,
CNC film rating (France),
CPU,
CPV Supplementary code,
ClassInd rating,rating
Common Procurement Vocabulary code,
Commons Creator page,
Commons category,
Commons gallery,
CosIng number,
DSSTOX compound identifier,
Dewey Decimal Classification,
Douban site name,
E number,
EBITDA,
EC number,
EIRIN film rating,
EPPO Code,
EcuRed article,
Egapro gender equality index,
FPB rating,rating
FSK film rating,
Fach vocal classification,
Filmiroda rating,rating
Gmelin number,
Hederich encyclopedia article,
Hong Kong film rating,
ICAA rating,rating
IFCO rating,rating
IGAC rating,rating
IMA Mineral Symbol,
IMDA rating,rating
INCAA film rating,
InChI,
KAVI rating,rating
KFCB classification (Kenya),
KMRB film rating,
Kemler code,
Library of Congress Classification,
MCN code,
MPA film rating,
MTRCB rating,rating
MeSH tree code,
Medierådet rating,rating
Mohs,
NMHH film rating,
NSC number,
OFLC classification,
Poisson,
PubChem CID,
RARS rating,rating
RCQ classification,
RTC film rating,
RTECS number,
Reaxys registry number,registry
Stadtwiki Dresden article,
Thomson Reuters Business Classification,
U.S. National Archives Identifier,
UMLS CUI,
UN number,
UNII,
UNSPSC Code,
ZVG number,
academic degree,
academic major,major
active ingredient in,in
adapted by,
addressee,address
adjacent building,
advertises,advertising
affiliated worker organisation,organisation,organization
affiliation,affiliation,affiliations,organization,participation
affiliation string,
after a work by,
alternative name,name
ancestral home,
animator,
announcement date,
antiparticle,
applicable 'stated in' value,
applies to jurisdiction,
applies to part,
architect,
archives at,
area,
armament,
art director,
assessment,
assets under management,
assistant director,director
associated hazard,
atomic number,
attendance,
author,writer
author of foreword,
authority,
award received,award,awards
based on,
birth name,birthname,name
blood type,
board member,
boiling point,
box office,
budget,budget
business division,division
by-product,
by-product of,
candidate,candidate
canonical SMILES,
capital cost,
cast member,
catchphrase,
category of associated people,
cause of death,
ceiling exposure limit,
central bank/issuer,
chairperson,
characters,
chassis,chassis
chemical formula,chemical,formula
chief executive officer,
chief operating officer,
child,child,children
child astronomical body,
choreographer,
collection,collections
color,colour,colours
commemorates,
common equity tier 1 capital ratio (CETI),
complies with,
composer,composer
compressive modulus of elasticity,
conferred by,
conjugate acid,
conjugate base,
contains,
contributed to creative work,
contributing factor of,
contributor to the creative work or subject,
convicted of,
coolant,
copyright holder,copyright,holder
copyright license,copyright,license,licensee
copyright representative,copyright
corporate officer,
costume designer,designer
country,country
country for sport,
country of citizenship,
country of origin,
cover art by,
created for,
creator,creator
crew member(s),
crystal system,
currency,currency
date depicted,
date of birth,
date of burial or cremation,
date of death,
date of first performance,
date of incorporation,
declination,declination,relation
dedicated to,
defender,
density,
depicted by,
derivative work,
described by source,
designated as terrorist by,
designed to carry,
director,director
director / manager,
director of photography,
discography,
discoverer or inventor,
dissolved,
distribution format,
documentation files at,
donated by,
doubles record,
drafted by,
drug or therapy used for treatment,
duration,
dynamic viscosity,
edition or translation of,
educated at,
electric dipole moment,
electrical conductivity,
electrical resistivity,
electron configuration,
electronegativity,
element symbol,element
embodied energy,
employees,employer
endorsed by,
enemy,
ethnic group,group
executive producer,producer
exhibited creator,
exhibition history,
external auditor,
eye color,
fabrication method,
facial hair,
facilitates flow of,
family,family
family name,name
fandom,
father,father,mother
featured track(s),
fictional or mythical analog of,
fictional universe described in,in
field of work,
film crew member,
film editor,
filming location,location
filmography,
first appearance,
first family name in Portuguese name,
flag bearer,flagbearer
footedness,
form of creative work,
found in taxon,in
founded by,
frequency,
funder,
genre,genre
given name,name
godparent,parent
guest of honor,
hair color,
hairstyle / hairlength,
handedness,
hardness,
has active ingredient,
has cause,
has effect,
has facility,
has goal,
has immediate cause,
has list,
has listed ingredient,
has part(s),
has pet,
has semantic argument,
has spin-off,
has subsidiary,
has use,
has works in the collection,
has written for,
head coach,coach
headquarters location,location,locations
height,height
immediately dangerous to life or health,
in opposition to,
industry,industries,industry
influenced by,
inspired by,
instance of,
instrument,
interested in,in
investor,
ionic radius,
ionization energy,
is a list of,
is the study of,
item operated,
language of work or name,
languages spoken,language
launch contractor,
league or competition,
legal form,
lifestyle,
list of characters,
located in the administrative territorial entity,
location,location,locations
location of creation,
location of discovery,
location of first performance,
location of formation,
lyricist,lyricist
made from material,
magnetic ordering,
main building contractor,construction
maintained by,
maintains linking to,
make-up artist,
manifestation of,
manner of death,
market capitalization,
married name,name
mascot,mascot
mass,
measures,
media franchise,
median lethal dose (LD50),
medical condition,medication
medical condition treated,medication,treatment
melting point,
member category,
member of,
member of political party,
member of sports team,
military branch,
minimal lethal concentration,
minimal lethal dose,
minimum explosive concentration,
mobile network code,
model,
model item,
molar enthalpy of vaporization,
molar fusion enthalpy,
mother,father,mother
motto,motto
motto text,
movement,
music created for,
musical conductor,composer
name,name
name in native language,
named after,
named by,
narrative location,location,locations
narrator,narrator
native label,
native language,language
net profit,
net worth,
nickname,nickname
noble title,title
nominated for,
