Id_x, IsRelevant, Property_Name, Value_Example_x,Id_y,IsRelevant, Value_Example_y
1, ,rdf-schema#seeAlso,,4.0,False, Example:  value:List_of_Tom_Hanks_performances
2, ,name,,5.0,True, Example:  value:U2
3, ,homepage,,64.0,True, Example:  value:www.rushlimbaugh.com
4, ,wgs84_pos#lat,,,False,
5, ,wgs84_pos#long,,,False,
6, ,secCik,,,False,
7, ,thumbnail,,16.0,False, Example:  value:U2_on_Joshua_Tree_Tour_2017_Brussels_8-1-17.jpg?width=300
8, ,bloomberg,,,True,
9, ,google,,,True,
10, ,reuters,,,True,
11, ,yahoo,,,True,
12, ,align,,46.0,True, Example:  value:right
13, ,alt,,48.0,True, Example:  value:The band onstage
14, ,areaServed,,,True,
15, ,assets,,,True,
16, ,auto,,,True,
17, ,caption,,20.0,False," Example:  value:After the elaborate stadium productions of their previous two tours, U2's 2001 Elevation Tour was a scaled-down affair that featured a heart-shaped stage."
18, ,date,,113.0,True, Example:  value:2012-09-16
19, ,direction,,114.0,False, Example:  value:vertical
20, ,equity,,,True,
21, ,equityYear,,,True,
22, ,formerName,,,True,
23, ,founded,,149.0,True, Example:  value:2007
24, ,founders,,,True,
25, ,hqLocation,,,True,
26, ,hqLocationCity,,,True,
27, ,hqLocationCountry,,,True,
28, ,image,,93.0,False," Example:  value:U2 PopMart Tour, Belfast, August 1997 .jpg"
29, ,imageCaption,,202.0,False, Example:  value:Perry performing in 2021
30, ,imageSize,,98.0,False, Example:  value:275
31, ,industry,,151.0,True, Example:  value:Film production company
32, ,keyPeople,,,True,
33, ,logo,,,False,
34, ,logoSize,,,False,
35, ,netIncome,,,True,
36, ,numEmployees,,,True,
37, ,numEmployeesYear,,,False,
38, ,numLocations,,,True,
39, ,numLocationsYear,,,False,
40, ,operatingIncome,,,,
41, ,perrow,,235.0,False, Example:  value:2
42, ,products,,,True,
43, ,quote,,56.0,False," Example:  value:The wild beauty, cultural richness, spiritual vacancy and ferocious violence of America are explored to compelling effect in virtually every aspect of The Joshua Tree—in the title and the cover art, the blues and country borrowings evident in the music ... Indeed, Bono says that 'dismantling the mythology of America' is an important part of The Joshua Trees artistic objective."
44, ,revenue,,,True,
45, ,revenueYear,,,False,
46, ,services,,,True,
47, ,source,,57.0,True," Example:  value:Brian Eno, on the recording of Achtung Baby"
48, ,subsid,,,False,
49, ,symbol,,,False,
50, ,title,,60.0,True, Example:  value:Vertigo
51, ,totalWidth,,95.0,False, Example:  value:350
52, ,tradedAs,,,False,
53, ,type,,140.0,True, Example:  value:author
54, ,voy,,61.0,False, Example:  value:no
55, ,website,,111.0,True, Example:  value:www.pauladeen.com
56, ,width,,62.0,False, Example:  value:25
57, ,point,,,False,
58, ,assetsYear,,,False,
59, ,find,,,False,
60, ,incomeYear,,,True,
61, ,isin,,,False,
62, ,netIncomeYear,,,True,
63, ,sameAs,,35.0,False, Example:  value:124268369
64, ,wordnet_type,,36.0,True, Example:  value:synset-musician-noun-1
65, ,core#closeMatch,,,False,
66, ,prov#wasDerivedFrom,,37.0,False, Example:  value:U2?oldid=1121669628&ns=0
67, ,wikiPageLength,,38.0,False, Example:  value:218395
68, ,foundingDate,,,True,
69, ,foundingYear,,,True,
70, ,numberOfEmployees,,,True,
71, ,numberOfLocations,,,True,
72, ,foundedBy,,,True,
73, ,headquarter,,,True,
74, ,keyPerson,,,True,
75, ,locationCity,,,True,
76, ,product,,,True,
77, ,service,,,True,
78, ,subsidiary,,,True,
79, ,isPrimaryTopicOf,,42.0,True, Example:  value:U2
80, ,wgs84_pos#geometry,,,False,
81, ,owl#differentFrom,,75.0,False, Example:  value:Weekend
82, ,wikiPageDisambiguates,,154.0,False, Example:  value:R._L._Drake_Company
83, ,videoFormat,,,False,
84, ,workplaces,,,True,
85, ,manuf,,,True,
86, ,namesake,,,True,
87, ,affiliations,,,True,
88, ,author,,124.0,False, Example:  value:yes
89, ,branding,,,True,
90, ,company,,,True,
91, ,currentowner,,,True,
92, ,designer,,,True,
93, ,developer,,,True,
94, ,distributor,,,True,
95, ,manufacturer,,,True,
96, ,membership,,,True,
97, ,mostWins,,,True,
98, ,network,,,True,
99, ,organization,,26.0,True, Example:  value:Syco_Entertainment
100, ,owner,,152.0,True, Example:  value:New_Line_Cinema
101, ,parent,,97.0,True, Example:  value:Robert_Downey_Sr.
102, ,platform,,,True,
103, ,producer,,,True,
104, ,publisher,,,True,
105, ,tv,,,True,
106, ,award1pub,,,True,
107, ,organized,,,True,
108, ,boards,,195.0,True, Example:  value:
109, ,brand,,,True,
110, ,commissionedBy,,,True,
111, ,designfirm,,,True,
112, ,employer,,,True,
113, ,foundry,,,True,
