Id,IsRelevant, Property_Name, Value_Example
1,false,22-rdf-syntax-ns#type, Example:  value:Whole100003553
2,false,rdf-schema#label, Example:  value:U2
3,false,rdf-schema#comment, Example:  value:U2
4,false,rdf-schema#seeAlso, Example:  value:List_of_Tom_Hanks_performances
5,true,name, Example:  value:U2
6,true,depiction, Example:  value:U2_with_Brazil_president_Rousseff_in_2011.jpg
7,true,birthPlace," Example:  value:New Orleans, Louisiana, U.S."
8,true,birthDate, Example:  value:1969-09-13
9,true,subject, Example:  value:Category:Irish_pop_rock_music_groups
10,true,wikiPageID, Example:  value:52780
11,true,wikiPageRevisionID, Example:  value:1121669628
12,true,wikiPageWikiLink, Example:  value:File:U2_360_Tour_Croke_Park_2.jpg
13,false,owl#sameAs, Example:  value:3ftJu
14,true,works, Example:  value:List_of_Tom_Hanks_performances
15,false,wikiPageUsesTemplate, Example:  value:Template:Acclaimed_Music_artist
16,false,thumbnail, Example:  value:U2_on_Joshua_Tree_Tour_2017_Brussels_8-1-17.jpg?width=300
17,true,awards, Example:  value:List_of_awards_and_nominations_received_by_Tom_Hanks
18,false,b, Example:  value:no
19,true,birthName, Example:  value:Emmitt Perry Jr.
20,false,caption," Example:  value:After the elaborate stadium productions of their previous two tours, U2's 2001 Elevation Tour was a scaled-down affair that featured a heart-shaped stage."
21,true,children, Example:  value:1
22,false,commons, Example:  value:Category:U2
23,false,d, Example:  value:Q396
24,false,n, Example:  value:Category:U2
25,true,occupation, Example:  value:Tyler_Perry__PersonFunction__1
26,true,organization, Example:  value:Syco_Entertainment
27,false,s, Example:  value:no
28,true,species, Example:  value:no
29,false,v, Example:  value:no
30,false,wikt, Example:  value:no
31,true,yearsActive, Example:  value:1976
32,false,abstract, Example:  value:U2
33,false,display, Example:  value:Tom Cruise
34,true,hypernym, Example:  value:Band
35,false,sameAs, Example:  value:124268369
36,true,wordnet_type, Example:  value:synset-musician-noun-1
37,false,prov#wasDerivedFrom, Example:  value:U2?oldid=1121669628&ns=0
38,false,wikiPageLength, Example:  value:218395
39,true,activeYearsStartYear, Example:  value:1976
40,true,birthYear, Example:  value:1969
41,true,award, Example:  value:List_of_awards_and_nominations_received_by_Tom_Hanks
42,true,isPrimaryTopicOf, Example:  value:U2
43,false,wikiPageExternalLink, Example:  value:ripitupstartagai00reyno
44,false,signature, Example:  value:Tom Cruise signature.svg
45,true,after, Example:  value:Manny Pacquiao
46,true,align, Example:  value:right
47,true,almaMater," Example:  value:California_State_University,_Long_Beach"
48,true,alt, Example:  value:The band onstage
49,true,before, Example:  value:Frank Carmona
50,false,c, Example:  value:Category:Tom Hanks
51,true,class, Example:  value:artist
52,true,id, Example:  value:41706
53,true,label, Example:  value:Interscope
54,false,m, Example:  value:no
55,false,mw, Example:  value:no
56,null,quote," Example:  value:The wild beauty, cultural richness, spiritual vacancy and ferocious violence of America are explored to compelling effect in virtually every aspect of The Joshua Tree—in the title and the cover art, the blues and country borrowings evident in the music ... Indeed, Bono says that 'dismantling the mythology of America' is an important part of The Joshua Trees artistic objective."
57,true,source," Example:  value:Brian Eno, on the recording of Achtung Baby"
