"keyPerson","G-Unit_Clothing_Company | Cheetah_Vision | SMS_Audio","","",""
"executiveProducer","Power_Book_II:_Ghost | BMF_(TV_series) | Power_Book_III:_Raising_Kanan | The_Oath_(American_TV_series) | Power_(TV_series) | 50_Central | 50_Cent:_The_Money_and_the_Power | For_Life_(TV_series) | Dream_School | Power_Book_IV:_Force","","",""
"primaryTopic","50_Cent","","",""
"formerBandMember","G-Unit","","",""
"foundedBy","","G-Note Records | G-Unit Records","SMS Audio | G-Unit Films and Television Inc.","founded by"
"musicComposer","Before_I_Self_Destruct_(film)","","",""
"openingTheme","Power_(TV_series) | Supermodel_(Swiss_TV_series) | Power_Book_IV:_Force | Power_Book_II:_Ghost | BMF_(TV_series) | Power_Book_III:_Raising_Kanan","","",""
"species","no","","",""
"works","singles | G-Unit_Books | group | Albums | G-Unit_Records | tours | videography | G-Unit_Clothing_Company | G-Unit_Films_and_Television_Inc.","","",""
"narrator","Power_Book_III:_Raising_Kanan","","",""
"producer","Freelancers_(film) | Fire_with_Fire_(2012_film) | Gun_(2010_film) | Setup_(2011_film)","","",""
"presenter","50_Central","","50 Cent: The Money and the Power","presenter"
"occupation","50_Cent__PersonFunction__1 | record executive | businessman","record producer | actor | television producer | rapper","songwriter | television actor | entrepreneur | television director | music executive | film producer | singer | film actor | investor | businessperson","occupation"
"birthPlace","New_York_City | New York City, U.S.","","South Jamaica","place of birth"
"creator","50_Cent:_The_Money_and_the_Power | Tommy_Egan","","Angela Valdes | Power Universe | Kanan Stark | Effie Morales","creator"
"children","","2","Sire Jackson","child | number of children"
"activeYearsStartYear | yearsActive","1996 | –present","","1996-01-01T00:00:00Z","work period (start)"
"isPrimaryTopicOf","50_Cent","","",""
"organization","G-Unity_Foundation","","",""
"birthDate | birthYear","1975-07-06 | 1975","","1975-07-06T00:00:00Z","date of birth"
"director","Before_I_Self_Destruct_(film)","","Before I Self Destruct","director"
"birthName","","Curtis James Jackson III","","birth name"
"composer","50_Cent:_The_Money_and_the_Power","","",""
"keyPeople","Cheetah_Vision","","",""
"name","50 | 50 Cent","","Jackson | James | Curtis","family name | given name"
"","","","Curtis | Kelvin Martin | Curtis 50 Cent Jackson Community Garden","named after"
"","","","Caroline Records | Interscope Records | G-Unit Records | Universal Records | Aftermath Entertainment | Shady Records | Capitol Records | JMJ Records | Columbia Records","record label"
"","","","Get Up | If I Can't | Hate It or Love It | Back Down | Higher | Can't Leave 'em Alone | 21 Questions | P.I.M.P. | Beg for Mercy | Candy Shop | Ayo Technology | Outta Control | Piggy Bank | 9 Shots | Many Men (Wish Death) | What Up Gangsta","lyricist"
"","","","Pranksta Rap","characters"
"","","","Obálky knih","described by source"
"","","","United States of America","country of citizenship"
"","","","gangsta rap | hardcore hip-hop | hip-hop | East Coast hip-hop","genre"
"","","","15800000 | 26800000 | 10000000 | 12549612 | 12800000 | 34767945 | 12668065 | 14400000","social media followers"
"","","","50 Cent filmography","filmography"
"","","","Juno Award for International Album of the Year | MTV Video Music Award for Best New Artist | American Music Award for Favorite Rap/Hip-Hop Album | BRIT Award for International Breakthrough Act | BET Award for Best New Artist","winner"
"","","","Category:Films directed by 50 Cent","related category"
"","","","50 Cent discography","discography"
"","","","50 Cent","pseudonym"
"","","","English","native language"
"","","","human","instance of"
"","","","50 Cent: Bulletproof | 50 Cent: Blood on the Sand","voice actor"
"","","","English","writing language"
"","","","50 Cent","Commons category"
"","","","G-Unit","has part(s)"
"","","","Grammy Award for Best New Artist","nominated for"
"","","","male","sex or gender"
"","","","Sire Jackson","father"
"","","","African Americans","ethnic group"
"","","","voice","instrument"
"","","","50 Cent","name in native language"
"","","","Q121433035","owner of"
"","","","Misa Hylton","contributor to the creative work or subject"
"","","","183","height"
"","","","G-Unit","member of"
"","","","Andrew Jackson High School","educated at"
