"birthname | birthName","Benjamin Géza Affleck-Boldt | Benjamin Géza Affleck-Boldt","","Benjamin Geza Affleck","birth name"
"relative | relation | relatives","Casey_Affleck | Casey_Affleck | Casey_Affleck","","Summer Phoenix","relative"
"director","Live_by_Night_(film) | Argo_(2012_film) | The_Town_(2010_film)","I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney | Gone Baby Gone","Animals | Live by Night | Air | Argo | The Town","director"
"name","Ben Affleck","","Affleck | Geza | Ben","family name | given name"
"producer","Argo_(2012_film) | Reporter_(film) | The_Last_Duel_(2021_film) | Bending_the_Arc | Stolen_Summer","","",""
"species","no","","",""
"founder | foundedBy","","Pearl Street Films","Artists Equity | Eastern Congo Initiative | LivePlanet","founded by"
"occupation","Ben_Affleck__PersonFunction__1","film director | screenwriter | film producer | actor","television actor | Bennifer | poker player | writer | manufacturer | film actor | television producer | executive producer | voice actor","occupation"
"title","List_of_awards_and_nominations_received_by_Ben_Affleck","","",""
"primaryTopic","Ben_Affleck","","",""
"executiveProducer","The_Leisure_Class | Incorporated_(TV_series) | City_on_a_Hill_(TV_series) | Project_Greenlight | The_Runner_(TV_series)","","",""
"works","Ben_Affleck_filmography","","",""
"spouse","2005 | 2022 | 2018","Jennifer Garner | Jennifer Lopez","Bennifer","spouse"
"after","Mickey_Rourke_filmography","","",""
"birthPlace","Berkeley,_California | Berkeley, California, U.S.","","Berkeley","place of birth"
"activeYearsStartYear | yearsActive","1981 | 1981","","1981-01-01T00:00:00Z","work period (start)"
"leaderName","Eastern_Congo_Initiative","","",""
"collapsible","true","","",""
"party","Democratic_Party_(United_States)","","",""
"isPrimaryTopicOf","Ben_Affleck","","",""
"portrayer","List_of_View_Askewniverse_characters | Jack_Ryan_(character) | List_of_View_Askewniverse_characters__Holden_McNeil__1 | Bruce_Wayne_(DC_Extended_Universe)","","",""
"relations","","Casey Affleck","","sibling"
"creator","","Push, Nevada","","creator"
"birthDate | birthYear","1972-08-15 | 1972","","1972-08-15T00:00:00Z","date of birth"
"children","","3","Sam Affleck | Violet Affleck | Timothy Byers Affleck | Christine Anne Boldt | Seraphina Affleck","child | number of children"
"person","Eastern_Congo_Initiative__PersonFunction__1","","",""
"","","","Disney A to Z | Obálky knih","described by source"
"","","","Real Time with Bill Maher, season 4, episode 8 | Real Time with Bill Maher, season 5, episode 14 | Real Time with Bill Maher, season 4, episode 19 | Real Time with Bill Maher, season 6, episode 23 | Real Time with Bill Maher, season 12, episode 29 | Real Time with Bill Maher, season 3, episode 19 | Real Time with Bill Maher, season 10, episode 30","talk show guest"
"","","","Democratic Party","member of political party"
"","","","Category:Films produced by Ben Affleck | Category:Films with screenplays by Ben Affleck | Category:Films directed by Ben Affleck","related category"
"","","","Academy Award for Best Writing, Original Screenplay | Academy Award for Best Picture","nominated for"
"","","","Sam Affleck | Seraphina Affleck | Violet Affleck | Timothy Byers Affleck","father"
"","","","Irish Americans","ethnic group"
"","","","United States of America","country of citizenship"
"","","","Shauna Sexton | Ana de Armas | Jennifer Garner | Gwyneth Paltrow | Lindsay Shookus | Jennifer Lopez","unmarried partner"
"","","","3123319 | 2982358 | 3151655 | 3031614","social media followers"
"","","","Emme Muñiz | Maximilian David Anthony","stepparent"
"","","","César Award for Best Foreign Film | Directors Guild of America Award for Outstanding Directing – Feature Film | Satellite Award for Best Original Screenplay | Valentine Davies Award | Producers Guild of America Award for Best Theatrical Motion Picture | BAFTA Award for Best Direction | Critics' Choice Movie Award for Best Director","winner"
"","","","Ben Affleck","Commons category"
"","","","University of Vermont | Occidental College | Cambridge Rindge and Latin School","educated at"
"","","","Ben Affleck filmography","filmography"
"","","","English","native language"
"","","","alcoholism","medical condition"
"","","","human","instance of"
"","","","English","writing language"
"","","","Joseph: King of Dreams | Foster","voice actor"
"","","","Matt Damon","partner in business or sport"
"","","","male","sex or gender"
"","","","Ben Affleck","name in native language"
"","","","The Roast of Tom Brady","recorded participant"
"","","","Christine Anne Boldt","mother"
"","","","Writers Guild of America, West","member of"
"","","","Ben Affleck and Matt Damon","has part(s)"
"","","","Los Angeles","residence"
"","","","Ice Bucket Challenge","participant in"
"","","","poker","sport"
"","","","Artists Equity","chief executive officer"
"","","","192","height"
