label (Source A),value (Source A),value (common),value (Source B),label (Source B)
,,,Beyoncé|Giselle,given name
,,,"Soul Train Music Award for Best R&B/Soul Album, Female|BET Award for Best Collaboration|Michael Jackson Video Vanguard Award|MTV Europe Music Award for Best Song|MTV Video Music Award for Video of the Year|MTV Movie Award for Best Fight|Soul Train Music Award for Best R&B/Soul Single, Female|MTV Europe Music Award for Best Live Act|MTV Video Music Award for Best R&B Video|American Music Award for Favorite Soul/R&B Album|MTV Video Music Award for Best Cinematography|MTV Video Music Award for Best Editing|MTV Europe Music Award for Best Video|BRIT Award for International Female Solo Artist|American Music Award for Favorite Soul/R&B Female Artist",winner
,,,23200000|15773984|123000000|230000000|25600000|109000000|139000000|15688847|26700000|15472531|91000000|163000000|15671632,social media followers
,,,Artists Stand Up to Cancer|The Carters|Destiny's Child,member of
,,,Girl's Tyme|The Carters|Destiny's Child|Artists Stand Up to Cancer,has part(s)
,,,Carter|Knowles,family name
,,,"Pretty Hurts|Sorry|Poison (Beyoncé song)|Be With You|Video Phone|Delresto (Echoes)|Listen|Independent Women Part I|Sweet Dreams|Ego|Telephone|Amor Gitano|Runnin' (Lose It All)|Déjà Vu|Pray You Catch Me|Nasty Girl|Black Parade|Love On Top|Drunk in Love|XO|Ring Off|Green Light|Lose My Breath|Partition|Jumpin', Jumpin'|Broken-Hearted Girl|Break My Soul|I Care|Hold Up|Sandcastles|Diva|7/11|Hip Hop Star|Flawless|All Night|Single Ladies (Put a Ring on It)|Beautiful Liar|Survivor|Dangerously in Love 2",lyricist
,,,Beyhive|Scaptia beyonceae,named after
,,,hip-hop|pop music|contemporary R&B,genre
,,,Beyoncé Knowles,Commons category
,,,Teza Sumendra,inspired by
,,,350000000|355000000,net worth
,,,Ivana Chubbuck,student of
,,,Beyoncé Instagram account,operator
,,,169,height
,,,Signs|Austin Powers in Goldmember|Obsessed|The Lion King|Hip Hop Star,notable work
,,,High School for the Performing and Visual Arts|The Center for Early Education|Alief Elsik High School,educated at
,,,Beyoncé filmography,filmography
,,,American Music Award for Artist of the Year|American Music Award for Favorite Soul/R&B Album|American Music Award for Top Soundtrack|American Music Award for Favorite Pop/Rock Female Artist|Favorite Soul/R&B Female Artist,nominated for
,,,mezzo-soprano,voice type
,,,Beyoncé,name in native language
,,,Megan Thee Stallion|Melody Ehsani|Jay-Z,partner in business or sport
,,,Black Is King|Life Is But a Dream|Homecoming: A Film by Beyoncé|Lemonade|Renaissance: A Film by Beyoncé|4|Live in Atlantic City,director
,,,synesthesia,medical condition
,,,Hip Hop Star|Heat,creator
,,,1981-09-04T00:00:00Z,date of birth
,,,3,number of children
,,,Tina Knowles|Sir Carter|Mathew Knowles|Blue Ivy Carter|Rumi Carter,child
,,,Tina Knowles|Blue Ivy Carter|Sir Carter|Rumi Carter,mother
,,,The Lion King|Epic,voice actor
,,,Mathew Knowles,father
,,,L484,personal pronoun
,,,singer|dancer|actor|recording artist|entrepreneur|film director,occupation
,,,Jay-Z,spouse
,,,Beyhive,fandom
,,,First Lady of Music|Queen B,pseudonym
,,,Ivana Chubbuck,student
,,,Beyonce Giselle Knowles,birth name
,,,Parkwood Entertainment|Columbia Records|Music World Entertainment,record label
,,,Misa Hylton|Say Her Name (Hell You Talmbout),contributor to the creative work or subject
,,,Solange Knowles,sibling
,,,Obálky knih,described by source
,,,United States of America,country of citizenship
,,,Bianca Lawson|Q18238620,relative
,,,Q124842198,owner of
,,,House of Deréon|Beyoncé Parfums|Ivy Park|Parkwood Entertainment,founded by
,,,honey blond,hair color
,,,Democratic Party,member of political party
,,,48th Annual Grammy Awards,presenter
,,,English,native language
,,,Bel Air,residence
,,,Richard Lawson,stepparent
,,,"American Society of Composers, Authors and Publishers",copyright representative
,,,10593072,U.S. National Archives Identifier
,,,Houston,place of birth
,,,Category:Films directed by Beyoncé,related category
,,,Beyhive,interested in
,,,female,sex or gender
,,,Fahrenheit 11/9,recorded participant
,,,1997-01-01T00:00:00Z,work period (start)
,,,Beyoncé discography,discography
,,,human,instance of
