label (Source A),value (Source A),value (common),value (Source B),label (Source B)
musicComposer,London_Calling:_Live_in_Hyde_Park|Springsteen_&_I|Blood_Brothers_(1996_film)|Hunter_of_Invisible_Game|Live_in_Barcelona_(Bruce_Springsteen_video)|VH1_Storytellers_(Bruce_Springsteen_album)|Thunder_Road_(2016_film)|Flannery_(film),,,
allWriting,"Greetings_from_Asbury_Park,_N.J.|Darkness_on_the_Edge_of_Town|Badlands:_A_Tribute_to_Bruce_Springsteen's_Nebraska|Greatest_Hits_(Bruce_Springsteen_album)|Nebraska_(album)|Born_to_Run|Born_in_the_U.S.A.|Working_on_a_Dream|Tunnel_of_Love_(album)|The_Wild,_the_Innocent_&_the_E_Street_Shuffle|Magic_(Bruce_Springsteen_album)",,,
music,Live_in_Barcelona_(Bruce_Springsteen_video)|VH1_Storytellers_(Bruce_Springsteen_album)|The_Day's_Parade|London_Calling:_Live_in_Hyde_Park|Thunder_Road_(2016_film)|Grammy_Nominees|Kumo_ga_Chigireru_Toki|Blood_Brothers_(1996_film),,,
chronology,"Wrecking_Ball_(Bruce_Springsteen_album)|18_Tracks|Letter_to_You|The_Legendary_1979_No_Nukes_Concerts|Born_to_Run|Chapter_and_Verse_(Bruce_Springsteen_album)|American_Beauty_(EP)|High_Hopes_(album)|Tunnel_of_Love_(album)|The_Wild,_the_Innocent_&_the_E_Street_Shuffle",,,
birthPlace,"Long Branch, New Jersey, U.S.|Long_Branch,_New_Jersey",,Long Branch,place of birth
producer,Born_to_Run_(Bruce_Springsteen_song)|The_Fever_(Bruce_Springsteen_song)|Badlands_(song)|Nebraska_(song)|Dedication_(Gary_U.S._Bonds_album)|Prove_It_All_Night|Out_of_Work_(song)|Chapter_and_Verse_(Bruce_Springsteen_album)|She's_the_One_(Bruce_Springsteen_song)|Chimes_of_Freedom_(EP)|Youngstown_(song)|Rumble_Doll|Springsteen_on_Broadway_(album)|Stolen_Car_(Bruce_Springsteen_song)|18_Tracks|High_Hopes_(Tim_Scott_McConnell_song)__High_Hopes__1|Darkness_on_the_Edge_of_Town_(song)|Be_True|Johnny_99_(song)|Cadillac_Ranch_(Bruce_Springsteen_song)__Cadillac_Ranch__1|Letter_to_You_(song)|The_Legendary_1979_No_Nukes_Concerts|Highway_Patrolman|On_the_Line_(Gary_U.S._Bonds_album)|Darlington_County_(song)|Sad_Eyes_(Bruce_Springsteen_song)__Sad_Eyes__1|Blood_Brothers_(EP)|Point_Blank_(Bruce_Springsteen_song)|Wreck_on_the_Highway_(Bruce_Springsteen_song)|The_Promised_Land_(Bruce_Springsteen_song)|Better_Days_(Bruce_Springsteen_song)|Tunnel_of_Love_(Bruce_Springsteen_song)__Tunnel_of_Love__1|The_Wrestler_(song)|Adam_Raised_a_Cain|Rocky_Ground|The_Born_in_the_U.S.A._12%22_Single_Collection|We_Take_Care_of_Our_Own|The_Power_of_Prayer|Backstreets|Meeting_Across_the_River|Independence_Day_(Bruce_Springsteen_song)__Independence_Day__1|High_Hopes_(Tim_Scott_McConnell_song)|Jungleland|Trapped_(Jimmy_Cliff_song)__Trapped__1|Tenth_Avenue_Freeze-Out|One_Step_Up|Cover_Me_(Bruce_Springsteen_song)|The_New_Timer|American_Babylon|Land_of_Hope_and_Dreams|Spare_Parts_(song)|Death_to_My_Hometown|Atlantic_City_(song)|Night_(Bruce_Springsteen_song)|Ramrod_(Bruce_Springsteen_song)|Tougher_Than_the_Rest|The_Ties_That_Bind_(Bruce_Springsteen_song)|Racing_in_the_Street|Brilliant_Disguise|The_Ghost_of_Tom_Joad_(song)|I'm_on_Fire|Greatest_Hits_(Bruce_Springsteen_album)|I'll_See_You_in_My_Dreams_(Bruce_Springsteen_song),,,
spouse,1989|1991|divorced|1985,Patti Scialfa|Julianne Phillips,,spouse
source,"—Bruce Springsteen, on the impact of the Beatles|--11-02",,,
host,Renegades:_Born_in_the_USA,,,
pastMembers,Steel_Mill,,,
