"director","First_They_Killed_My_Father_(film) | Unbroken_(film) | By_the_Sea_(2015_film)","In the Land of Blood and Honey | A Place in Time | First They Killed My Father | Unbroken | By the Sea | Without Blood","Unbroken | By the Sea | Without Blood | First They Killed My Father","director"
"source","—Chicago Sun-Times critic Roger Ebert on Jolie's performance in Girl"," Interrupted | &mdash","",""
"child | children","6","6 | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Pax Jolie-Pitt | Shiloh Jolie","Maddox Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Pax Jolie-Pitt | Shiloh Jolie","child"
"narrator","Trading_Women","","",""
"father | mother","","Jon Voight | Marcheline_Bertrand","Shiloh Jolie | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Marcheline Bertrand","father | mother"
"species","no","","",""
"relatives | relative","James Haven | James_Haven","Chip Taylor | Barry Voight | James Haven","Pax Jolie-Pitt | Maddox Jolie-Pitt | Zahara Jolie-Pitt","relative"
"spouse","2003 | 2019 | div. | 1996 | 2000 | 2014","Brad Pitt | Billy Bob Thornton | Jonny Lee Miller","","spouse"
"homepage","49c3646c56.html","","",""
"birthPlace","Los Angeles"," California"," U.S. | California","Los Angeles"
"occupation","Actress | Angelina_Jolie__PersonFunction__1","filmmaker | humanitarian | film screenwriter | television actor | philanthropist | film director | screenwriter | character actor | writer | film producer | actor | manufacturer | film actor | fashion model | executive producer | model | diarist | voice actor | film | charity","film screenwriter | television actor | philanthropist | film director | screenwriter | character actor | writer | film producer | actor | manufacturer | film actor | fashion model | executive producer | model | diarist | voice actor | film | charity","occupation | field of work"
"activeYearsStartYear | yearsActive","1982 | 1982","1982","1982-01-01T00:00:00Z","work period (start)"
"producer","The_One_and_Only_Ivan_(film) | In_the_Land_of_Blood_and_Honey | Maleficent:_Mistress_of_Evil | Unbroken_(film) | By_the_Sea_(2015_film)","","",""
"name","Angelina Jolie | List_of_awards_and_nominations_received_by_Angelina_Jolie","Angelina Jolie | Jolie | Voight | Angelina | Jolie | Angelina Jolie Pitt","Jolie | Voight | Angelina | Jolie | Angelina Jolie Pitt","family name | given name | married name"
"portrayer","Maleficent | Lara_Croft","","",""
"birthDate | birthYear","1975-06-04 | 1975","04-06-1965","1975-06-04T00:00:00Z","date of birth"
"otherNames","Angelina Jolie Pitt","","",""
"title","List_of_awards_and_nominations_received_by_Angelina_Jolie","","",""
"alias","Angelina Jolie Pitt","","",""
"primaryTopic","Angelina_Jolie","","",""
"birthName","","Angelina Jolie Voight","","birth name"
"works","Angelina_Jolie_filmography","","",""
"productionCompany","The_Breadwinner_(film)__The_Breadwinner__1","","",""
"citizenship","United States","Cambodia | United States of America","United States of America","country of citizenship"
"isPrimaryTopicOf","Angelina_Jolie","","",""
"","","","left-handedness","handedness"
"","","","Jenny Shimizu | Brad Pitt","unmarried partner"
"","","","New York University | Tappan Zee High School | Lee Strasberg Theatre and Film Institute | Beverly Hills High School","educated at"
"","","","Palisades | Los Angeles","residence"
"","","","Brangelina | Aptostichus angelinajolieae","named after"
"","","","Kung Fu Panda Holiday | Kung Fu Panda | Kung Fu Panda 3 | Tigress | Kung Fu Panda: Secrets of the Masters | Shark Tale | Kung Fu Panda 4 | Kung Fu Panda 2","voice actor"
"","","","Obálky knih | Lentapedia","described by source"
"","","","BAFTA Award for Best Actress in a Leading Role | Academy Award for Best Actress | Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy | Academy Award for Best Supporting Actress | Emmy Award | Golden Globe Award for Best Actress – Motion Picture Drama | Golden Raspberry Award for Worst Actress | Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role | Golden Raspberry Awards","nominated for"
"","","","Council on Foreign Relations | Clinton Foundation | U.S. Committee for Refugees and Immigrants","member of"
"","","","10573703","U.S. National Archives Identifier"
"","","","169","height"
"","","","Girl"," Interrupted | Changeling | Angelina Jolie filmography | Gia"
"","","","Maximilian Schell | Jacqueline Bisset","godparent"
"","","","Broadcast Film Critics Association Award for Best Supporting Actress | Academy Award for Best Supporting Actress | Golden Globe Award for Best Supporting Actress – Motion Picture | Saturn Award for Best Actress | MTV Movie Award for Best Fight","winner"
"","","","Brangelina","has part(s)"
"","","","English | American English","native language"
"","","","blue","eye color"
"","","","Villa Oleandra","guest of honor"
"","","","human","instance of"
"","","","Marvel Studios Assembled: The Making of Eternals","recorded participant"
"","","","Angelina Jolie filmography","filmography"
"","","","Angelina Jolie","name in native language"
"","","","English","writing language"
"","","","female","sex or gender"
"","","","lapsed Catholic","religion or worldview"
"","","","33866","social media followers"
"","","","Angelina_Jolie","EcuRed article"
"","","","Angelina Jolie","Commons gallery"
"","","","Black Versace dress of Angelina Jolie","worn by"
"","","","Daisy Johnson","inspired by"
"","","","bisexuality","sexual orientation"
"","","","Warner Classics","record label"
"","","","Angelina Jolie","Commons category"
"","","","Brangelina","part of"
"","","","Category:Films directed by Angelina Jolie | Category:Films produced by Angelina Jolie","related category"
"","","","brown hair","hair color"
"","","","James Haven","sibling"
"","","","UNHCR Goodwill Ambassador","position held"
"","","","6","number of children"
"","","","Germany","ancestral home"
