"executiveProducer","Dream_School | 50_Central | Power_Book_II:_Ghost | The_Oath_(American_TV_series) | For_Life_(TV_series) | BMF_(TV_series) | Power_(TV_series) | 50_Cent:_The_Money_and_the_Power | Power_Book_III:_Raising_Kanan | Power_Book_IV:_Force","","",""
"name","50 Cent | 50","","Jackson | Curtis | James","family name | given name"
"formerBandMember","G-Unit","","",""
"producer","Freelancers_(film) | Gun_(2010_film) | Setup_(2011_film) | Fire_with_Fire_(2012_film)","","",""
"works","tours | Albums | singles | G-Unit_Films_and_Television_Inc. | G-Unit_Books | G-Unit_Clothing_Company | group | videography | G-Unit_Records","","",""
"birthYear | birthDate","1975 | 1975-07-06","1975-07-06","1975-07-06T00:00:00Z","date of birth"
"openingTheme","BMF_(TV_series) | Power_(TV_series) | Power_Book_III:_Raising_Kanan | Supermodel_(Swiss_TV_series) | Power_Book_IV:_Force | Power_Book_II:_Ghost","","",""
"species","no","","",""
"isPrimaryTopicOf","50_Cent","","",""
"composer","50_Cent:_The_Money_and_the_Power","","",""
"activeYearsStartYear | yearsActive","1996 | –present","1996 – present","1996-01-01T00:00:00Z","work period (start)"
"occupation","record executive | 50_Cent__PersonFunction__1 | businessman"," record executive | businessman | actor | television producer | record producer | rapper | investor | television actor | songwriter | film producer | television director | singer | entrepreneur | businessperson | film actor | music executive","investor | television actor | songwriter | film producer | television director | singer | entrepreneur | businessperson | film actor | music executive","occupation"
"foundedBy","","G-Note Records | G-Unit Records | G-Unit Films and Television Inc. | SMS Audio","G-Unit Films and Television Inc. | SMS Audio","founded by"
"keyPerson","G-Unit_Clothing_Company | Cheetah_Vision | SMS_Audio","","",""
"birthPlace","New_York_City | New York City, U.S.","New York City - U.S.","South Jamaica","place of birth"
"keyPeople","Cheetah_Vision","","",""
"narrator","Power_Book_III:_Raising_Kanan","","",""
"director","Before_I_Self_Destruct_(film)","Before I Self Destruct","Before I Self Destruct","director"
"birthName","","Curtis James Jackson III","","birth name"
"creator","50_Cent:_The_Money_and_the_Power | Tommy_Egan","Kanan Stark | 50_Cent:_The_Money_and_the_Power | Power Universe | Effie Morales | Angela Valdes","Kanan Stark | Power Universe | Effie Morales | Angela Valdes","creator"
"primaryTopic","50_Cent","","",""
"musicComposer","Before_I_Self_Destruct_(film)","","",""
"children","","2 | Sire Jackson","Sire Jackson","child | number of children"
"presenter","50_Central","50_Central | 50 Cent: The Money and the Power","50 Cent: The Money and the Power","presenter"
"organization","G-Unity_Foundation","","",""
"","","","Andrew Jackson High School","educated at"
"","","","Pranksta Rap","characters"
"","","","15800000 | 12668065 | 34767945 | 10000000 | 14400000 | 12549612 | 26800000 | 12800000","social media followers"
"","","","Juno Award for International Album of the Year | MTV Video Music Award for Best New Artist | BET Award for Best New Artist | American Music Award for Favorite Rap/Hip-Hop Album | BRIT Award for International Breakthrough Act","winner"
"","","","50 Cent","Commons category"
"","","","What Up Gangsta | If I Can't | Get Up | Can't Leave 'em Alone | Ayo Technology | Outta Control | Piggy Bank | Back Down | 9 Shots | Candy Shop | Hate It or Love It | Higher | P.I.M.P. | 21 Questions | Beg for Mercy | Many Men (Wish Death)","lyricist"
"","","","G-Unit","has part(s)"
"","","","English","native language"
"","","","East Coast hip-hop | hardcore hip-hop | hip-hop | gangsta rap","genre"
"","","","Misa Hylton","contributor to the creative work or subject"
"","","","183","height"
"","","","50 Cent","pseudonym"
"","","","Capitol Records | Columbia Records | JMJ Records | Aftermath Entertainment | Shady Records | Interscope Records | G-Unit Records | Caroline Records | Universal Records","record label"
"","","","Q121433035","owner of"
"","","","voice","instrument"
"","","","Obálky knih","described by source"
"","","","Kelvin Martin | Curtis | Curtis 50 Cent Jackson Community Garden","named after"
"","","","50 Cent discography","discography"
"","","","G-Unit","member of"
"","","","Category:Films directed by 50 Cent","related category"
"","","","English","writing language"
"","","","Grammy Award for Best New Artist","nominated for"
"","","","male","sex or gender"
"","","","50 Cent","name in native language"
"","","","human","instance of"
"","","","50 Cent: Blood on the Sand | 50 Cent: Bulletproof","voice actor"
"","","","50 Cent filmography","filmography"
"","","","Sire Jackson","father"
"","","","United States of America","country of citizenship"
"","","","African Americans","ethnic group"
