"executiveProducer","Adele_Live_in_New_York_City | Adele_One_Night_Only","","",""
"producer","Someone_like_You_(Adele_song)","","",""
"isPrimaryTopicOf","Adele","","",""
"mostWins","Grammy_Award_for_Best_Pop_Solo_Performance | Grammy_Award_for_Best_Pop_Vocal_Album | Billboard_Music_Award_for_Top_Billboard_200_Album","","",""
"activeYearsStartYear | yearsActive","2006 | 2006","","2006-01-01T00:00:00Z","work period (start)"
"works","List_of_songs_recorded_by_Adele | Adele_discography","","",""
"before","Randy_Newman | Paloma_Faith | Another Way to Die, 2008 | Amy_Winehouse | Zac_Brown_Band | Laura_Marling | Jack White and Alicia Keys","","",""
"occupation","Adele__PersonFunction__1",pop singer and songwriter ,"recording artist | pianist | guitarist | singer-songwriter | composer | musician | drummer | executive producer | music composing | song","occupation | field of work"
"chronology","21_(Adele_album) | 19_(Adele_album) | Easy_on_Me","","",""
"species","no","","",""
"after","Kristen Lopez and Robert Lopez | Emeli_Sandé | Sam_Smith_(singer) | Zac_Brown_Band | Writing's on the Wall, 2015","","",""
"birthDate | birthYear","1988-05-05 | 1988","","1988-05-05T00:00:00Z","date of birth"
"title","Academy_Award_for_Best_Original_Song | Grammy_Award_for_Best_New_Artist | Brit_Award_for_British_Female_Solo_Artist | Articles and topics related to Adele | James Bond title artist | List_of_awards_and_nominations_received_by_Adele","","",""
"mostAwards","Brit_Awards_2022 | Brit_Awards_2016 | 59th_Annual_Grammy_Awards | 54th_Annual_Grammy_Awards | 2012_Billboard_Music_Awards","","",""
"knownFor","Michael_Ashton","","",""
"class","artist","","",""
"music","Avenida_Brasil_(TV_series) | Grammy_Nominees","","",""
"spouse","2018 | 2021-03-04",Simon Konecki | Rich Paul,"Rich Paul","spouse"
"years","Skyfall, 2012 | 2016 | 2012 | 2009","","",""
"children","","1","Angelo Adkins","child | number of children"
"source","—Dave Simpson of The Guardian on Adele's voice and down to earth persona.","","",""
"primaryTopic","Adele","","",""
"name","",Adele Laurie Blue Adkins,"Adkins | Laurie | Blue","family name | given name"
"birthPlace","London, England | London","","Tottenham","place of birth"
"birthName","","Adele Laurie Blue Adkins","","birth name"
"label","Adele",XL | Columbia | Melted Stone,"Columbia Records | Sony Music | XL Recordings","record label"
"","","","Adele","pseudonym"
"","","","Hello | Crazy for You | River Lea | I Drink Wine | Cold Shoulder | Alive | He Won't Go | Oh My God | First Love | Water Under the Bridge | Sweetest Devotion | Hometown Glory | Remedy | My Same | When We Were Young | All I Ask | I'll Be Waiting | Set Fire to the Rain | Daydreamer | Don't You Remember | To Be Loved | All Night Parking (Interlude) | Take It All | Rumour Has It | Send My Love (To Your New Lover) | One and Only | Right as Rain | Rolling in the Deep | Someone Like You | Painting Pictures | Easy on Me | Chasing Pavements | Love in the Dark | Best For Last | Turning Tables | Million Years Ago | Stone Cold | Can I Get It | I Miss You | Skyfall","lyricist"
"","","","jazz | soul | blue-eyed soul | pop music | rock music | rhythm and blues","genre"
"","","","Golden Globe Award for Best Original Song | Academy Award for Best Original Song | Broadcast Film Critics Association Award for Best Song | MTV Europe Music Award for Best Song | Satellite Award for Best Original Song | Grammy Award for Best Song Written for Visual Media","nominated for"
"","","","Adele (vocalist)","Commons category"
"","","","viola | voice | piano | trumpet | bass guitar | drum kit | guitar","instrument"
"","","","Juno Award for International Album of the Year | MTV Europe Music Award for Best UK & Ireland Act | MTV Video Music Award for Best Cinematography | MTV Video Music Award for Best Editing | American Music Award for Favorite Pop/Rock Album | Brit Awards 2012 | MTV Video Music Award for Best Art Direction","winner"
"","","","SESAC","copyright representative"
"","","","female","sex or gender"
"","","","23700000 | 31000000 | 26824749 | 56615181 | 29700000 | 64760263 | 31100000 | 27325916 | 23000000 | 39409499 | 27684011 | 28000000 | 27100000","social media followers"
"","","","English","native language"
"","","","Angelo Adkins","mother"
"","","","Adele","name in native language"
"","","","Obálky knih | Lentapedia","described by source"
"","","","Glastonbury Festival","participant in"
"","","","Adele filmography","filmography"
"","","","adele","Douban site name"
"","","","Rolling in the Deep | Daydreamer | Best for Last","contributor to the creative work or subject"
"","","","human","instance of"
"","","","mezzo-soprano","voice type"
"","","","United Kingdom","country of citizenship"
"","","","Adele discography","discography"
"","","","BRIT School for Performing Arts and Technology","educated at"
"","","","Rich Paul","unmarried partner"
