"portrayer","Lara_Croft | Maleficent","","",""
"works","Angelina_Jolie_filmography","","",""
"producer","The_One_and_Only_Ivan_(film) | Maleficent:_Mistress_of_Evil | In_the_Land_of_Blood_and_Honey | Unbroken_(film) | By_the_Sea_(2015_film)","","",""
"spouse","2019 | 2014 | 2000 | 2003 | 1996 | div.","Billy Bob Thornton | Jonny Lee Miller | Brad Pitt","","spouse"
"citizenship","United States",United States | Cambodia,"United States of America","country of citizenship"
"director","By_the_Sea_(2015_film) | First_They_Killed_My_Father_(film) | Unbroken_(film)","A Place in Time | In the Land of Blood and Honey","First They Killed My Father | By the Sea | Unbroken | Without Blood","director"
"activeYearsStartYear | yearsActive","1982 | 1982",1982,"1982-01-01T00:00:00Z","work period (start)"
"birthYear | birthDate","1975 | 1975-06-04",1975-06-04,"1975-06-04T00:00:00Z","date of birth"
"father | mother","","Jon Voight | Marcheline_Bertrand","Knox Jolie-Pitt | Marcheline Bertrand | Vivienne Jolie-Pitt | Shiloh Jolie","father | mother"
"occupation","Angelina_Jolie__PersonFunction__1 | Actress",humanitarian | filmmaker | actress | director,"philanthropist | voice actor | film screenwriter | actor | model | film director | television actor | writer | diarist | fashion model | manufacturer | film producer | character actor | screenwriter | film actor | executive producer | film | charity","occupation | field of work"
"species","no","","",""
"primaryTopic","Angelina_Jolie","","",""
"source","&mdash;Jolie on her reasons for speaking out about her mastectomy | —Chicago Sun-Times critic Roger Ebert on Jolie's performance in Girl, Interrupted | —Jolie on her motives for joining UNHCR in 2001","","",""
"alias","Angelina Jolie Pitt","","",""
"productionCompany","The_Breadwinner_(film)__The_Breadwinner__1","","",""
"birthPlace","Los Angeles, California, U.S. | California","Los Angeles","","place of birth"
"homepage","49c3646c56.html","","",""
"narrator","Trading_Women","","",""
"name","List_of_awards_and_nominations_received_by_Angelina_Jolie | Angelina Jolie",Angelina Jolie Voight,"Voight | Jolie | Jolie | Angelina | Angelina Jolie Pitt","family name | given name | married name"
"otherNames","Angelina Jolie Pitt","","",""
"relatives | relative","James Haven | James_Haven",Barry Voight | Chip Taylor | Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt | James Haven,"Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt","relative"
"title","List_of_awards_and_nominations_received_by_Angelina_Jolie","","",""
"child | children","6",Shiloh Jolie | Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt,"Shiloh Jolie | Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt","child"
"isPrimaryTopicOf","Angelina_Jolie","","",""
"birthName","","Angelina Jolie Voight","","birth name"
"","","","Clinton Foundation | Council on Foreign Relations | U.S. Committee for Refugees and Immigrants","member of"
"","","","Kung Fu Panda Holiday | Kung Fu Panda 4 | Tigress | Kung Fu Panda | Kung Fu Panda 3 | Kung Fu Panda 2 | Kung Fu Panda: Secrets of the Masters | Shark Tale","voice actor"
"","","","bisexuality","sexual orientation"
"","","","Tappan Zee High School | New York University | Lee Strasberg Theatre and Film Institute | Beverly Hills High School","educated at"
"","","","Category:Films directed by Angelina Jolie | Category:Films produced by Angelina Jolie","related category"
"","","","James Haven","sibling"
"","","","left-handedness","handedness"
"","","","Golden Globe Award for Best Supporting Actress – Motion Picture | Broadcast Film Critics Association Award for Best Supporting Actress | Saturn Award for Best Actress | MTV Movie Award for Best Fight | Academy Award for Best Supporting Actress","winner"
"","","","Girl, Interrupted | Gia | Angelina Jolie filmography | Changeling","notable work"
"","","","Angelina Jolie","Commons category"
"","","","Daisy Johnson","inspired by"
"","","","Golden Raspberry Award for Worst Actress | Academy Award for Best Actress | BAFTA Award for Best Actress in a Leading Role | Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role | Golden Globe Award for Best Actress – Motion Picture Drama | Golden Raspberry Awards | Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy | Academy Award for Best Supporting Actress | Emmy Award","nominated for"
"","","","Angelina Jolie filmography","filmography"
"","","","female","sex or gender"
"","","","Jenny Shimizu | Brad Pitt","unmarried partner"
"","","","English | American English","native language"
"","","","Aptostichus angelinajolieae | Brangelina","named after"
"","","","Los Angeles | Palisades","residence"
"","","","169","height"
"","","","33866","social media followers"
"","","","Angelina_Jolie","EcuRed article"
"","","","Warner Classics","record label"
"","","","UNHCR Goodwill Ambassador","position held"
"","","","Obálky knih | Lentapedia","described by source"
"","","","Brangelina","part of"
"","","","Black Versace dress of Angelina Jolie","worn by"
"","","","6","number of children"
"","","","lapsed Catholic","religion or worldview"
"","","","English","writing language"
"","","","Germany","ancestral home"
"","","","Angelina Jolie","name in native language"
"","","","human","instance of"
"","","","Angelina Jolie","Commons gallery"
"","","","Marvel Studios Assembled: The Making of Eternals","recorded participant"
"","","","Jacqueline Bisset | Maximilian Schell","godparent"
"","","","brown hair","hair color"
"","","","10573703","U.S. National Archives Identifier"
"","","","Brangelina","has part(s)"
"","","","blue","eye color"
"","","","Villa Oleandra","guest of honor"
