"currentMembers","NickCarter | KevinRichardson | HowieDorough | AJMcLean | BrianLittrell","Kevin Richardson | Brian Littrell | Nick Carter | A. J. McLean | Howie Dorough","Kevin Richardson | Brian Littrell | Nick Carter | A. J. McLean | Howie Dorough","member of"
"acts","Miss_USA_2016","","",""
"yearsActive","1993","1993","1992-01-01T00:00:00Z | 1993-01-01T00:00:00Z","work period (start)"
"genre","Dance-pop | Adult_contemporary_music | Contemporary_R&B | Teen_pop","pop music | Dance-pop | Adult_contemporary_music | Contemporary_R&B | Teen_pop","","genre"
"label","RCA_Records | K-BAHN | BMG_Rights_Management | Legacy_Recordings","Jive Records | RCA Records | Sony BMG Music Entertainment | Legacy_Recordings | K-BAHN","RCA | Sony BMG Music Entertainment","record label"
"primaryTopic","Backstreet_Boys","","",""
"chronology","It's_Christmas_Time_Again","","",""
"musicComposer","Backstreet_Boys:_Show_'Em_What_You're_Made_Of","","",""
"origin","Orlando, Florida, U.S.","Orlando - Florida - U.S.","United States of America | Orlando","country of origin | location of formation"
"title","List_of_awards_received_by_Backstreet_Boys","","",""
"music","Grammy_Nominees | Backstreet_Boys:_Show_'Em_What_You're_Made_Of","","",""
"anthem","Super_Bowl_XXXV","","",""
"name","Backstreet Boys","","",""
"source","--Brian Littrell","","",""
"isPrimaryTopicOf","Backstreet_Boys","","",""
"","","","musical group | boy band","instance of"
"","","","Category:Backstreet Boys members","member category"
"","","","M.E","inspired by"
"","","","list of awards and nominations received by Backstreet Boys","has list"
"","","","A. J. McLean | Howie Dorough | Kevin Richardson | Brian Littrell | Nick Carter","has part(s)"
"","","","MTV Europe Music Award for Best Group | American Music Award for Favorite Pop/Rock Band/Duo/Group | MTV Video Music Award for Best Group | MTV Video Music Award – Viewer's Choice","winner"
"","","","5810000 | 7160000 | 5210000 | 1063099 | 1041411 | 6570000","social media followers"
"","","","Backstreet Boys","Commons category"
"","","","Backstreet Boys discography","discography"
"","","","Grammy Award for Best New Artist","nominated for"
"","","","June Ambrose","contributor to the creative work or subject"
"","","","Backstreet Boys: Live in Concert Tour","based on"
"","","","Backstreet Boys","Commons gallery"
