"","","","dancer | recording artist | actor | film director | singer | entrepreneur","occupation"
"","","","Michael Jackson Video Vanguard Award | MTV Europe Music Award for Best Song | MTV Europe Music Award for Best Video | American Music Award for Favorite Soul/R&B Album | MTV Video Music Award for Best Cinematography | MTV Video Music Award for Best Editing | MTV Video Music Award for Video of the Year | Soul Train Music Award for Best R&B/Soul Single, Female | BRIT Award for International Female Solo Artist | MTV Video Music Award for Best R&B Video | American Music Award for Favorite Soul/R&B Female Artist | MTV Europe Music Award for Best Live Act | MTV Movie Award for Best Fight | BET Award for Best Collaboration | Soul Train Music Award for Best R&B/Soul Album, Female","winner"
"","","","Beyoncé | Giselle","given name"
"","","","Artists Stand Up to Cancer | Girl's Tyme | Destiny's Child | The Carters","has part(s)"
"","","","23200000 | 26700000 | 109000000 | 123000000 | 163000000 | 230000000 | 15671632 | 15472531 | 15773984 | 25600000 | 139000000 | 15688847 | 91000000","social media followers"
"","","","Single Ladies (Put a Ring on It) | Poison (Beyoncé song) | Déjà Vu | Lose My Breath | Sorry | Diva | Dangerously in Love 2 | Ego | Black Parade | Drunk in Love | Nasty Girl | Amor Gitano | Be With You | XO | Broken-Hearted Girl | I Care | Love On Top | Green Light | Hip Hop Star | Video Phone | Telephone | Ring Off | Listen | Hold Up | Flawless | Jumpin', Jumpin' | Break My Soul | Pretty Hurts | Survivor | 7/11 | Delresto (Echoes) | Sweet Dreams | Sandcastles | All Night | Runnin' (Lose It All) | Pray You Catch Me | Independent Women Part I | Beautiful Liar | Partition","lyricist"
"","","","Say Her Name (Hell You Talmbout) | Misa Hylton","contributor to the creative work or subject"
"","","","Heat | Hip Hop Star","creator"
"","","","American Society of Composers, Authors and Publishers","copyright representative"
"","","","355000000 | 350000000","net worth"
"","","","Live in Atlantic City | Black Is King | Renaissance: A Film by Beyoncé | Life Is But a Dream | Homecoming: A Film by Beyoncé | Lemonade | 4","director"
"","","","Beyoncé filmography","filmography"
"","","","Beyhive","fandom"
"","","","Beyhive","interested in"
"","","","Mathew Knowles","father"
"","","","3","number of children"
"","","","Artists Stand Up to Cancer | Destiny's Child | The Carters","member of"
"","","","female","sex or gender"
"","","","Tina Knowles | Blue Ivy Carter | Sir Carter | Rumi Carter | Mathew Knowles","child"
"","","","Bianca Lawson | Q18238620","relative"
"","","","Beyonce Giselle Knowles","birth name"
"","","","English","native language"
"","","","48th Annual Grammy Awards","presenter"
"","","","Signs | The Lion King | Hip Hop Star | Austin Powers in Goldmember | Obsessed","notable work"
"","","","American Music Award for Artist of the Year | American Music Award for Favorite Soul/R&B Album | American Music Award for Favorite Pop/Rock Female Artist | Favorite Soul/R&B Female Artist | American Music Award for Top Soundtrack","nominated for"
"","","","Queen B | First Lady of Music","pseudonym"
"","","","169","height"
"","","","Alief Elsik High School | The Center for Early Education | High School for the Performing and Visual Arts","educated at"
"","","","Carter | Knowles","family name"
"","","","honey blond","hair color"
"","","","Tina Knowles | Blue Ivy Carter | Sir Carter | Rumi Carter","mother"
"","","","Richard Lawson","stepparent"
"","","","Beyoncé Parfums | Ivy Park | House of Deréon | Parkwood Entertainment","founded by"
"","","","The Lion King | Epic","voice actor"
"","","","Columbia Records | Music World Entertainment | Parkwood Entertainment","record label"
"","","","Democratic Party","member of political party"
"","","","Category:Films directed by Beyoncé","related category"
"","","","Obálky knih","described by source"
"","","","Ivana Chubbuck","student"
"","","","synesthesia","medical condition"
"","","","Melody Ehsani | Megan Thee Stallion | Jay-Z","partner in business or sport"
"","","","pop music | hip-hop | contemporary R&B","genre"
"","","","Beyoncé Instagram account","operator"
"","","","Teza Sumendra","inspired by"
"","","","L484","personal pronoun"
"","","","Fahrenheit 11/9","recorded participant"
"","","","Jay-Z","spouse"
"","","","Scaptia beyonceae | Beyhive","named after"
"","","","1997-01-01T00:00:00Z","work period (start)"
"","","","Beyoncé discography","discography"
"","","","Solange Knowles","sibling"
"","","","human","instance of"
"","","","mezzo-soprano","voice type"
"","","","Houston","place of birth"
"","","","10593072","U.S. National Archives Identifier"
"","","","Bel Air","residence"
"","","","United States of America","country of citizenship"
"","","","Beyoncé","name in native language"
"","","","1981-09-04T00:00:00Z","date of birth"
"","","","Beyoncé Knowles","Commons category"
"","","","Q124842198","owner of"
"","","","Ivana Chubbuck","student of"
