label (Source A),value (Source A),value (common),value (Source B),label (Source B)
after,Furbaz,,,
before,Furbaz | Carol_Rich,,,
occupation,Celine_Dion__PersonFunction__1,singer | voice actor | actor | pianist | composer | film actor,voice actor | recording artist | actor | restaurateur | pianist | composer | film actor,occupation
chronology,Hymn_(Celine_Dion_song) | Beauty_and_the_Beast_(Disney_song) | Les_derniers_seront_les_premiers | Incredible_(Celine_Dion_and_Ne-Yo_song) | When_I_Fall_in_Love | I_Believe_in_You_(Je_crois_en_toi) | The_Show_Must_Go_On_(Queen_song),,,
endorsedBy,Celine_Dion_Parfums,,,
birthDate | birthYear,1968-03-30 | 1968,1968-03-30,1968-03-30T00:00:00Z,date of birth
yearsActive | activeYearsStartYear,1980 | 1980,1981,1980-01-01T00:00:00Z,work period (start)
name,Céline Dion | List_of_awards_and_nominations_received_by_Celine_Dion,Céline Marie Claudette Dion,Dion | Marie | Claudette | Céline,family name | given name
source,—Randy Phillips .,,,
title,Switzerland_in_the_Eurovision_Song_Contest | Strong_Black_Woman | List_of_awards_and_nominations_received_by_Celine_Dion | Kennedie_Center_On-Hers | List_of_Eurovision_Song_Contest_winners,,,
birthPlace,"Charlemagne,_Quebec | Charlemagne, Quebec, Canada",Charlemagne - Québec - Canada,Charlemagne,place of birth
primaryTopic,Celine_Dion,,,
mother,,Thérèse Dion | Adhémar Dion,Adhémar Dion | Nelson Angélil | Eddy Angélil | René-Charles Angelil,father | mother
spouse,2016 | 1994 | Summer_Tour_2016,René Angélil,,spouse
years,1988,,,
entrant,Switzerland_in_the_Eurovision_Song_Contest_1988,,,
music,Grammy_Nominees,,,
notableWork,Sheppard_Solomon,,,
child | children,3,Nelson Angélil | Eddy Angélil | René-Charles Angelil,Adhémar Dion | Nelson Angélil | Eddy Angélil | René-Charles Angelil,child
keyPerson,Cystic_Fibrosis_Canada,,,
musicComposer,The_Peanut_Butter_Solution,,,
homepage,www.celinedion.com,,,
isPrimaryTopicOf,Celine_Dion,,,
birthName,,Céline Marie Claudette Dion,,birth name
host,Juno_Awards_of_1993,,,
mostWins,American_Music_Award_for_Favorite_Adult_Contemporary_Artist,,,
,,,Claudette Dion | Jacques Dion | Paul Dion,sibling
,,,Epic Records | Sony Music Canada | Sony BMG Music Entertainment | 550 Music | Legacy Recordings | Columbia Records | CBS Records International,record label
,,,Juno Award for International Album of the Year | Juno Award for Single of the Year,winner
,,,3,number of children
,,,female,sex or gender
,,,Ne partez pas sans moi | Come Together Now,contributor to the creative work or subject
,,,Céline Dion,name in native language
,,,L'École des fans,recorded participant
,,,London | Las Vegas | Montreal | Henderson,residence
,,,Eurovision Song Contest 1988,victory
,,,light brown,eye color
,,,soprano,voice type
,,,Céline Dion,Commons gallery
,,,Juno Awards of 1993,presenter
,,,adult contemporary music | soft rock | electronic dance music | chanson | pop music | rock music | dance-pop | pop rock,genre
,,,Caesars Palace | Air Canada | Coty,sponsor
,,,voice | piano,instrument
,,,Obálky knih,described by source
,,,400000000,net worth
,,,"Society of Composers, Authors and Music Publishers of Canada",copyright representative
,,,Celine Dion discography,discography
,,,Canada,country of citizenship
,,,Celine Dion videography,filmography
,,,816343 | 913840 | 918681 | 937658,social media followers
,,,stiff-person syndrome,medical condition
,,,human,instance of
,,,1.7,height
,,,Aleja Gwiazd in Kraków,commemorates
,,,light brown hair,hair color
,,,Eurovision Song Contest 1988,participant in
,,,Céline Dion,Commons category
,,,Ce n'était qu'un rêve,lyricist
