label (Source A),value (Source A),value (common),value (Source B),label (Source B)
composer,"Sorry_Seems_to_Be_the_Hardest_Word | Electricity_(Elton_John_song) | I_Just_Can't_Wait_to_Be_King | Made_in_England_(song) | Rocket_Man_(song) | Written_in_the_Stars_(Elton_John_and_LeAnn_Rimes_song)__Written_in_the_Stars__1 | Rocket_Man_(song)__Rocket_Man__1 | Can_You_Feel_the_Love_Tonight | Believe_(Elton_John_song) | Be_Prepared_(song)__Be_Prepared__1 | Club_at_the_End_of_the_Street | Your_Song | Written_in_the_Stars_(Elton_John_and_LeAnn_Rimes_song) | Sorry_Seems_to_Be_the_Hardest_Word__Sorry_Seems_to_Be_the_Hardest_Word__1 | Someday_Out_of_the_Blue | Dark_Diamond | The_Madness_of_King_Scar | Be_Prepared_(song) | Circle_of_Life | Kiss_the_Bride_(song) | Elton_John:_Me,_Myself_&_I | The_One_(Elton_John_song) | Be_Prepared_(song)__Be_Prepared_2019__1 | Dan_Dare:_Pilot_of_the_Future_(TV_series) | Rocket_Man_(song)__Rocket_Man_I_Think_It's_Going_to_Be_a_Long,_Long__1 | I_Don't_Wanna_Go_On_with_You_Like_That | (I'm_Gonna)_Love_Me_Again | Your_Song__Your_Song__1 | Hakuna_Matata_(song)",,,
chronology,Duets_(Elton_John_album) | Don't_Go_Breaking_My_Heart | Hold_Me_Closer_(Elton_John_and_Britney_Spears_song) | Philadelphia_Freedom_(song) | Good_Morning_to_the_Night_(song) | True_Love_(Cole_Porter_song) | The_Lion_King_(2019_soundtrack) | It's_a_Sin | Written_in_the_Stars_(Elton_John_and_LeAnn_Rimes_song) | The_Union_(Elton_John_and_Leon_Russell_album) | Live_Like_Horses | Sad_(Elton_John_and_Pnau_song) | Gnomeo_&_Juliet | Rocketman:_Music_from_the_Motion_Picture | Slow_Rivers | Looking_Up_(Elton_John_song) | (I'm_Gonna)_Love_Me_Again | Runaway_Train_(Elton_John_and_Eric_Clapton_song) | Cold_Heart_(Pnau_remix) | Good_Morning_to_the_Night,,,
executiveProducer,Spectacle:_Elvis_Costello_with...,,,
musicComposer,The_Muse_(film) | Billy_Elliot_the_Musical_Live | Elton_John:_Tantrums_&_Tiaras | Friends_(1971_film),,,
spouse,,David Furnish | Renate Blauel,Renate Blauel,spouse
music,Walt_Disney_Records:_The_Legacy_Collection | Grammy_Nominees | Elton_John:_Tantrums_&_Tiaras | Tammy_Faye_(musical) | Tony_Bennett_Celebrates_90 | Friends_(1971_film) | The_Muse_(film) | The_Devil_Wears_Prada_(musical) | The_Lion_King_(musical) | Billy_Elliot_the_Musical_Live | A_Change_of_Seasons | Aida_(musical) | Billy_Elliot_the_Musical | Lestat_(musical) | Versão_Acústica_4,,,
founder | foundedBy,,Elton John AIDS Foundation | Rocket Pictures | The Rocket Record Company,The Rocket Record Company,founded by
producer,Little_Jeannie | Elton's_Song__Elton's_Song__1 | You_Gotta_Love_Someone | Life_Journey | Looking_Up_(Elton_John_song) | Part-Time_Love__Part-Time_Love__1 | The_Rumour_(song) | Sartorial_Eloquence_(Don't_Ya_Wanna_Play_This_Game_No_More%3F) | Electricity_(Elton_John_song) | The_Wild_Swan_(album) | Wonderful_Crazy_Night | Everything_Stops_for_Tea | Made_in_England_(song) | Dear_God_(Elton_John_song) | Amoureuse | It_Ain't_Easy_(Long_John_Baldry_album),,,
chairman,1998–99_Watford_F.C._season | 1982–83_Watford_F.C._season | 1977–78_Watford_F.C._season | 1997–98_Watford_F.C._season | 1999–2000_Watford_F.C._season | 2000–01_Watford_F.C._season | 2001–02_Watford_F.C._season,,,
occupation,Elton_John__PersonFunction__1,pianist | composer | singer | keyboardist | HIV/AIDS activist | musician | film actor | piano performance,keyboardist | HIV/AIDS activist | recording artist | lyricist | musician | film actor | rock music | pop rock | popular music | pop music | glam rock | piano performance,occupation | field of work
halftime,2002_NBA_All-Star_Game,,,
creatorname,Zarkana_(Cirque_du_Soleil),,,
guests,The_Final_(concert) | Cover_to_Cover_tour,,,
currentMembers,Elton_John_Band,,,
source,—Elton John on his emotions during the FA Cup Final's traditional pre-match hymn. | —Axl Rose speech inducting Elton John into the Rock and Roll Hall of Fame.,,,
birthName,,Reginald Kenneth Dwight,,birth name
musicBy,The_Devil_Wears_Prada_(musical) | The_Lion_King_(musical) | Aida_(musical) | Billy_Elliot_the_Musical | Lestat_(musical) | Tammy_Faye_(musical),,,
birthPlace,"Middlesex | Pinner, Middlesex, England",Pinner | Pinner Middlesex England,,place of birth
formerBandMember,Bluesology,,,
mostNominations,Brit_Award_for_British_Male_Solo_Artist,,,
isPrimaryTopicOf,Elton_John,,,
narrator,,The Road to El Dorado,,narrator
themeMusicComposer,Dan_Dare:_Pilot_of_the_Future_(TV_series),,,
primaryTopic,Elton_John,,,
honorificPrefix,Knight_Bachelor,,,
pastMembers,Bluesology,,,
mostAwards,Brit_Awards_1991,,,
birthYear | birthDate,1947 | 1947-03-25,1947-03-25,1947-03-25T00:00:00Z,date of birth
bandMember,Elton_John_Band,,,
name,Elton John,Elton Hercules John,John | Dwight | Elton | Reginald Kenneth | Hercules,family name | given name
title,Articles related to Elton John,Knight Bachelor,Knight Bachelor,noble title
yearsActive | activeYearsStartYear,1962 | 1962,1962,1962-01-01T00:00:00Z,work period (start)
presenter,IHeart_Living_Room_Concert_for_America,Brit Awards 1994 | IHeart_Living_Room_Concert_for_America,Brit Awards 1994,presenter
openingTheme,Rocket_Man_(TV_series),,,
allWriting,Two_Rooms:_Celebrating_the_Songs_of_Elton_John_&_Bernie_Taupin,,,
patrons,Shaun_Gladwell,,,
children,,2,Stanley Dwight | Sheila Eileen Farebrother,child | number of children
keyPerson,Rocket_Pictures,,,
,,,Elton John discography,discography
,,,938993 | 693986 | 1200960 | 1094883,social media followers
,,,Laurence Olivier Award for Best New Musical | Juno Award for International Album of the Year | Polar Music Prize | American Music Award for Favorite Pop/Rock Album | Drama Desk Award for Outstanding Musical | Favorite Pop/Rock Male Artist,winner
,,,IL | Def Jam Recordings | DJM Records | Island Records | The Rocket Record Company | A&M Records | Mercury Records | MCA Records | Uni | Paramount Records | Chrysalis Records | Philips Records | Geffen Records | Congress | Regal Zonophone | Stateside Records | Cube Records | Universal Records,record label
,,,"SAPA Foundation, Swiss Archive of the Performing Arts",documentation files at
,,,Royal Academy of Music | University of London | St. Thomas Aquinas High School,educated at
,,,Academy Award for Best Original Song | Grammy Award for Best New Artist | Grammy Award for Song of the Year | Grammy Award for Best Song Written for Visual Media,nominated for
,,,Plastic Club | 2002 NBA All-Star Game,guest of honor
,,,Don't Go Breaking My Heart | Blue Eyes | Goodbye Yellow Brick Road | I Guess That's Why They Call It the Blues | Sick Love | Daniel | The Bridge | (I'm Gonna) Love Me Again | I'm Still Standing | The Last Song | Tiny Dancer | Song for Guy,lyricist
,,,World Economic Forum Annual Meeting 2018 | Live Aid,participant in
,,,Watford F.C.,supported sports team
,,,Q121433748,owner of
,,,A,blood type
,,,Whatever Gets You thru the Night | Snookeroo | Lily the Pink | Don't Let the Sun Go Down on Me | Ordinary Man | Snowed In At Wheeler Street,contributor to the creative work or subject
,,,Category:Songs with music by Elton John,related category
,,,Zachary Furnish-John | Stanley Dwight,father
,,,I'm with Cupid | Rocketman,characters
,,,English,native language
,,,Bluesology | Elton John & Bernie Taupin,has part(s)
,,,Rocketman | Elton John ('On the throne'),depicted by
,,,Elton John,pseudonym
,,,Tower of Babel,creator
,,,Elton John,Commons category
,,,Goodbye Yellow Brick Road | Your Song | Billy Elliot the Musical | Tiny Dancer,notable work
,,,Damian Hurley | Sean Lennon,godparent
,,,320000000,net worth
,,,soft rock | rock music | rhythm and blues | glam rock | pop rock,genre
,,,"Whitney och Elton Johansson | Leucothoe eltoni | Room 101, The Sir Elton John and David Furnish Gallery",named after
,,,voice | piano,instrument
,,,Obálky knih,described by source
,,,PRS for Music,copyright representative
,,,epilepsy,medical condition
,,,England | New York City | United States of America,work location
,,,Bernie Taupin,partner in business or sport
,,,Sheila Eileen Farebrother,mother
,,,Hackney Diamonds,recorded participant
,,,Gump Roast,voice actor
,,,male,sex or gender
,,,Elton Hercules John | Reginald Kenneth Dwight,name in native language
,,,human,instance of
,,,United Kingdom,country of citizenship
,,,tenor,voice type
,,,homosexuality,sexual orientation
,,,Elton John AIDS Foundation,affiliation string
