label (Source A),value (Source A),value (common),value (Source B),label (Source B)
title,List_of_WBC_world_champions | The Ring welterweight champion | List_of_WBA_world_champions | List_of_United_States_national_amateur_boxing_featherweight_champions | Best_Fighter_ESPY_Award | List_of_IBF_world_champions | List_of_US_national_Golden_Gloves_flyweight_champions | List_of_The_Ring_world_champions | BWAA Fighter of the Year | The_Ring_magazine_Comeback_of_the_Year | IBA welterweight champion | WBA_(Super) | The Ring pound for pound #1 boxer | WBC welterweight champion | WBA_(Unified) | Sugar_Ray_Robinson_Award | List_of_WBO_world_champions | Boxing_pound_for_pound_rankings | List_of_US_national_Golden_Gloves_light_flyweight_champions | Best Fighter ESPY Award | List_of_IBO_world_champions | List_of_US_national_Golden_Gloves_featherweight_champions | The_Ring_magazine_Fighter_of_the_Year | WBC light middleweight champion,,,
isPrimaryTopicOf,Floyd_Mayweather_Jr.,,,
fighter,Floyd_Mayweather_Jr._vs._Marcos_Maidana_II | Floyd_Mayweather_Jr._vs._Deji | Floyd_Mayweather_Jr._vs._Manny_Pacquiao | Oscar_De_La_Hoya_vs._Floyd_Mayweather_Jr. | Floyd_Mayweather_Jr._vs._Miguel_Cotto | Floyd_Mayweather_Jr._vs._Conor_McGregor | Floyd_Mayweather_Jr._vs._Zab_Judah | Floyd_Mayweather_Jr._vs._Don_Moore | Arturo_Gatti_vs._Floyd_Mayweather_Jr. | Floyd_Mayweather_Jr._vs._Shane_Mosley | Floyd_Mayweather_Jr._vs._Victor_Ortiz | Floyd_Mayweather_Jr._vs._Canelo_Álvarez | Floyd_Mayweather_Jr._vs._Andre_Berto | Floyd_Mayweather_Jr._vs._Juan_Manuel_Márquez | Floyd_Mayweather_Jr._vs._Marcos_Maidana | Floyd_Mayweather_Jr._vs._Logan_Paul | Floyd_Mayweather_Jr._vs._Carlos_Baldomir | Floyd_Mayweather_Jr._vs._Ricky_Hatton | Floyd_Mayweather_Jr._vs._Robert_Guerrero,,,
nickname,TBE | Pretty Boy | Money,,,
years,--06-25 | --09-17 | --07-18 | --04-20 | 2012 | 1998 | 2007 | 2010 | 2015 | --11-04 | --09-14 | --04-08 | --12-08 | --05-04 | --10-03 | 2010.0 | Retired | Stripped | 1995 | --05-03 | 1994 | 2013 | 2009 | --05-02 | 1993 | 20072008 | --05-05 | Vacated,,,
birthPlace,"U.S. | Grand_Rapids,_Michigan | Grand Rapids, Michigan, U.S.",Grand Rapids Michigan U.S.,Grand Rapids,place of birth
nick,Money | TBE (The Best Ever) | Pretty Boy,,,
weight,Light_welterweight | Lightweight | Light_middleweight | Welterweight | Super_featherweight,,,
ko,27,,,
primaryTopic,Floyd_Mayweather_Jr.,,,
wins,50,,,
name,Floyd Mayweather Jr.,Floyd Joy Mayweather Jr.,Mayweather | Floyd,family name | given name
birthDate,1977-02-24,1977-02-24,1977-02-24T00:00:00Z,date of birth
birthName,Floyd Joy Sinclair,,,
before,Frank Carmona | Carlos Baldomir | Manny Pacquiao | Terence_Crawford | Canelo_Álvarez,,,
decWins,23,,,
reach,72.0,,,
height,172.72 | 1.7272,173,170,height
koWins,27 | 3,,,
after,Manny Pacquiao,,,
last,Keith_Thurman,,,
team,Makhmud_Muradov,,,
total,50,,,
section,Discussion about whom,,,
owners,The_Money_Team_Racing,,,
nonscore,2,,,
,,,Makhmud Muradov,significant person
,,,boxer | professional wrestler,occupation
,,,IM Academy | GSPartners,affiliation
,,,Mayweather Promotions,founded by
,,,assault,convicted of
,,,"Floyd Mayweather, Sr.",child
,,,light middleweight | flyweight | super featherweight | lightweight | light flyweight | welterweight | featherweight | light welterweight,sports discipline competed in
,,,7820091 | 7928691 | 7921005 | 7880304,social media followers
,,,United States of America,country of citizenship
,,,Floyd Mayweather Jr. vs. Conor McGregor | Floyd Mayweather Jr. vs. Marcos Maidana | Floyd Mayweather Jr. vs. Miguel Cotto | Oscar De La Hoya vs. Floyd Mayweather Jr. | Arturo Gatti vs. Floyd Mayweather Jr. | Floyd Mayweather Jr. vs. Andre Berto | Floyd Mayweather Jr. vs. Manny Pacquiao | Floyd Mayweather Jr. vs. Ricky Hatton | Juan Manuel Márquez vs. Floyd Mayweather Jr. | Floyd Mayweather Jr. vs. Marcos Maidana II | Floyd Mayweather Jr. vs. Carlos Baldomir,winner
,,,boxing,sport
,,,Brashaad Mayweather,relative
,,,Floyd Mayweather Jr.,Commons category
,,,United States of America,country for sport
,,,male,sex or gender
,,,Q121433830,owner of
,,,1996-10-11T00:00:00Z,work period (start)
,,,"Floyd Mayweather, Sr.",father
,,,2018-01-01T00:00:00Z,work period (end)
,,,1996 Summer Olympics,participant in
,,,human,instance of
,,,Ottawa Hills High School,educated at
,,,Dapper Dan,contributor to the creative work or subject
,,,JRE Fight Breakdown - Mayweather vs. McGregor,talk show guest
