"founder | foundedBy","",Pearl Street Films ,"Artists Equity | LivePlanet | Eastern Congo Initiative","founded by"
"birthName | birthname","Benjamin Géza Affleck-Boldt | Benjamin Géza Affleck-Boldt",Benjamin Géza Affleck-Boldt,"Benjamin Geza Affleck","birth name"
"works","Ben_Affleck_filmography","","",""
"spouse","2005 | 2018 | 2022","Jennifer Garner | Jennifer Lopez","Bennifer","spouse"
"isPrimaryTopicOf","Ben_Affleck","","",""
"birthYear | birthDate","1972 | 1972-08-15",1972-08-15,"1972-08-15T00:00:00Z","date of birth"
"leaderName","Eastern_Congo_Initiative","","",""
"director","The_Town_(2010_film) | Live_by_Night_(film) | Argo_(2012_film)",Gone Baby Gone | The_Town_(2010_film) | Live_by_Night_(film) | Argo_(2012_film) | the  ,"Animals | Live by Night | The Town | Argo | Air","director"
"relation | relative | relatives | relations","","Casey Affleck","Summer Phoenix","relative | sibling"
"species","no","","",""
"occupation","Ben_Affleck__PersonFunction__1",actor | film director | film producer | screenwriter | voice actor | television producer | poker player | film actor ,"Bennifer | voice actor | television producer | television actor | writer | poker player | manufacturer | film actor | executive producer","occupation"
"name","Ben Affleck",Benjamin Géza Affleck-Boldt,"Affleck | Ben | Geza","family name | given name"
"producer","Reporter_(film) | Bending_the_Arc | Argo_(2012_film) | The_Last_Duel_(2021_film) | Stolen_Summer","","",""
"yearsActive | activeYearsStartYear","1981 | 1981",1981,"1981-01-01T00:00:00Z","work period (start)"
"portrayer","Jack_Ryan_(character) | List_of_View_Askewniverse_characters__Holden_McNeil__1 | List_of_View_Askewniverse_characters | Bruce_Wayne_(DC_Extended_Universe)","","",""
"birthPlace","Berkeley,_California | Berkeley, California, U.S.",Berkeley California United States,"Berkeley","place of birth"
"primaryTopic","Ben_Affleck","","",""
"after","Mickey_Rourke_filmography","","",""
"collapsible","true","","",""
"executiveProducer","Incorporated_(TV_series) | City_on_a_Hill_(TV_series) | The_Runner_(TV_series) | The_Leisure_Class | Project_Greenlight","","",""
"creator","","Push, Nevada","","creator"
"title","List_of_awards_and_nominations_received_by_Ben_Affleck","","",""
"person","Eastern_Congo_Initiative__PersonFunction__1","","",""
"party","Democratic_Party_(United_States)","","",""
"children","",3 | Sam Affleck | Seraphina Affleck | Violet Affleck,"Christine Anne Boldt | Violet Affleck | Seraphina Affleck | Timothy Byers Affleck | Sam Affleck","child | number of children"
"","","","Cambridge Rindge and Latin School | Occidental College | University of Vermont","educated at"
"","","","The Roast of Tom Brady","recorded participant"
"","","","Ben Affleck and Matt Damon","has part(s)"
"","","","Real Time with Bill Maher, season 5, episode 14 | Real Time with Bill Maher, season 4, episode 8 | Real Time with Bill Maher, season 6, episode 23 | Real Time with Bill Maher, season 12, episode 29 | Real Time with Bill Maher, season 4, episode 19 | Real Time with Bill Maher, season 10, episode 30 | Real Time with Bill Maher, season 3, episode 19","talk show guest"
"","","","Directors Guild of America Award for Outstanding Directing – Feature Film | Satellite Award for Best Original Screenplay | César Award for Best Foreign Film | Valentine Davies Award | Producers Guild of America Award for Best Theatrical Motion Picture | Critics' Choice Movie Award for Best Director | BAFTA Award for Best Direction","winner"
"","","","Academy Award for Best Writing, Original Screenplay | Academy Award for Best Picture","nominated for"
"","","","Writers Guild of America, West","member of"
"","","","Joseph: King of Dreams | Foster","voice actor"
"","","","Timothy Byers Affleck | Sam Affleck | Seraphina Affleck | Violet Affleck","father"
"","","","English","native language"
"","","","Los Angeles","residence"
"","","","Emme Muñiz | Maximilian David Anthony","stepparent"
"","","","Matt Damon","partner in business or sport"
"","","","Irish Americans","ethnic group"
"","","","Lindsay Shookus | Ana de Armas | Jennifer Garner | Gwyneth Paltrow | Shauna Sexton | Jennifer Lopez","unmarried partner"
"","","","Democratic Party","member of political party"
"","","","Obálky knih | Disney A to Z","described by source"
"","","","Ben Affleck","name in native language"
"","","","Category:Films with screenplays by Ben Affleck | Category:Films directed by Ben Affleck | Category:Films produced by Ben Affleck","related category"
"","","","192","height"
"","","","Ice Bucket Challenge","participant in"
"","","","poker","sport"
"","","","English","writing language"
"","","","3031614 | 3151655 | 2982358 | 3123319","social media followers"
"","","","male","sex or gender"
"","","","Christine Anne Boldt","mother"
"","","","human","instance of"
"","","","United States of America","country of citizenship"
"","","","Ben Affleck","Commons category"
"","","","Artists Equity","chief executive officer"
"","","","Ben Affleck filmography","filmography"
"","","","alcoholism","medical condition"
