"bandMember","Hugh_McDonald_(American_musician) | Jon_Bon_Jovi | Tico_Torres | David_Bryan | Phil_X","","",""
"yearsActive | activeYearsStartYear","1983 | 1983",1983,"1983-01-01T00:00:00Z","work period (start)"
"label","Vertigo | Mercury | Island",Vertigo | Mercury | Island,"Mercury Records | Island Records","record label"
"chronology","Till_We_Ain't_Strangers_Anymore | Do_What_You_Can","","",""
"name","Bon Jovi","","",""
"hometown","Sayreville,_New_Jersey","","",""
"primaryTopic","Bon_Jovi","","",""
"spinoffs","Scandal_(American_band)","","",""
"currentMembers","JonBonJovi | PhilX | TicoTorres | DavidBryan | HughMcDonald",Hugh McDonald | Tico Torres | Alec John Such | Jon Bon Jovi | Richie Sambora | David Bryan | John Shanks,"Hugh McDonald | Tico Torres | Alec John Such | Jon Bon Jovi | Richie Sambora | David Bryan | John Shanks","member of"
"species","no","","",""
"musicComposer","The_Cowboy_Way_(film) | EDtv","","",""
"genre","","arena rock | pop rock | hard rock | glam metal","rock music","genre"
"pastMembers","RichieSambora | AlecJohnSuch | DaveSabo","","",""
"recordLabel","Island_Records | Mercury_Records | Vertigo_Records","","",""
"origin","Sayreville, New Jersey, U.S.","Sayreville, New Jersey, U.S.","United States of America | Sayreville","country of origin | location of formation"
"title","List_of_awards_and_nominations_received_by_Bon_Jovi","","",""
"isPrimaryTopicOf","Bon_Jovi","","",""
"formerBandMember","Alec_John_Such | Richie_Sambora | Dave_Sabo","","",""
"music","The_Cowboy_Way_(film) | Grammy_Nominees | EDtv","","",""
"participation","Live_Earth_(2007_concert)","","",""
"pastMemberOf","Alec_John_Such","","",""
"","","","musical group","instance of"
"","","","Jon Bon Jovi | Richie Sambora | David Bryan | Phil X | Hugh McDonald | Tico Torres | Everett Bradley","has part(s)"
"","","","Michael Jackson Video Vanguard Award | MTV Europe Music Award for Best Rock | American Music Award for Favorite Pop/Rock Band/Duo/Group","winner"
"","","","Jon Bon Jovi | Episinus bonjovi","named after"
"","","","Bon Jovi","Commons category"
"","","","Category:Bon Jovi members","member category"
"","","","Phil X","part of"
"","","","Bon Jovi discography","discography"
"","","","2930100 | 2977752 | 3005431","social media followers"
