"occupation","Britney_Spears__PersonFunction__1 | actress","actress | dancer | songwriter | singer | actor | composer","actor | composer | popular music | pop music","occupation | field of work"
"showJudge","The_X_Factor_(American_TV_series)","","",""
"birthDate | birthYear","1981-12-02 | 1981","1981-12-02","1981-12-02T00:00:00Z","date of birth"
"relative","Jamie_Lynn_Spears","","",""
"director","Britney_Spears_Live_from_Las_Vegas","","",""
"parent | parents","Jamie_Spears | Jamie_Spears","James Parnell Spears | Lynne Spears","James Parnell Spears | Jayden Federline | Sean Federline","father | mother"
"mostAwards","1999_Billboard_Music_Awards | 2008_MTV_Video_Music_Awards | 2008_MTV_Europe_Music_Awards","","",""
"chronology","I_Love_Rock_'n'_Roll | Matches_(Britney_Spears_and_Backstreet_Boys_song) | Slumber_Party_(song) | Boys_(Britney_Spears_song) | Me_Against_the_Music | Make_Me_(Britney_Spears_song)","","",""
"producer","Britney_Spears_Live:_The_Femme_Fatale_Tour | Britney_Spears_Live_from_Las_Vegas","","",""
"homepage","www.britneyspears.com","","",""
"title","You Got It All | Look_at_My_Butt_Crack | Freakshow | List_of_awards_and_nominations_received_by_Britney_Spears","","",""
"mostWins","43rd_People's_Choice_Awards | MTV_Video_Music_Award_for_Best_Pop_Video","","",""
"primaryTopic","Britney_Spears","","",""
"birthPlace","McComb,_Mississippi | McComb, Mississippi, U.S.","McComb - Mississippi - U.S.","McComb","place of birth"
"spouse","--01-05","Kevin Federline | Sam Asghari | Jason Allen Alexander","Jason Allen Alexander","spouse"
"child | children","Jamie_Spears | 2","Jayden Federline | Sean Federline","Jayden Federline | James Parnell Spears | Sean Federline","child"
"birthName","","Britney Jean Spears","","birth name"
"source","Britney:_For_the_Record","","",""
"hosts","American_Music_Awards_of_2001","","",""
"works","Britney_Spears_discography | List_of_songs_recorded_by_Britney_Spears | Britney_Spears_videography","","",""
"formerBandMember","Innosense","","",""
"yearsActive | activeYearsStartYear","1992 | 1992","1992","1992-01-01T00:00:00Z","work period (start)"
"executiveProducer","Britney_and_Kevin:_Chaotic","","",""
"composer","Zoey_101","","",""
"musicBy","Once_Upon_a_One_More_Time","","",""
"mostNominations","2008_MTV_Europe_Music_Awards | 1999_Billboard_Music_Awards","","",""
"name","Britney Spears","","Britney Jean Spears","family name | given name"
"relatives","Jamie_Lynn_Spears","","",""
"music","Grammy_Nominees","","",""
"notableWork","Sheppard_Solomon","","",""
"acts","Miss_Teen_USA_1999","","",""
"holder","Billboard_Millennium_Award","","",""
"isPrimaryTopicOf","Britney_Spears","","",""
"basedOn","Once_Upon_a_One_More_Time","","",""
"","","","list of awards and nominations received by Britney Spears","has list"
"","","","Kevin Federline | Sam Asghari | Wade Robson | Colin Farrell | Charlie Ebersol | Justin Timberlake | J.R. Rotem | Columbus Short","unmarried partner"
"","","","Michael Jackson Video Vanguard Award | MTV Europe Music Award for Best Song | MTV Europe Music Award for Best New Act | MTV Video Music Award for Video of the Year | MTV Europe Music Award for Best Pop | Mnet Asian Music Award for Best International Artist | GLAAD Vanguard Award | MTV Europe Music Award for Best Album | MTV Video Music Award for Best Pop Video","winner"
"","","","57977249 | 10000000 | 42081575 | 55800000 | 10600000 | 9010000 | 52661","social media followers"
"","","","Bryan Spears | Jamie Lynn Spears","sibling"
"","","","And Then We Kiss | Everytime | I've Just Begun | Someday (I Will Understand) | Make Me... | Mmm Papi | Anticipating","lyricist"
"","","","...Baby One More Time | Oops!... I Did It Again | Toxic","notable work"
"","","","A","blood type"
"","","","female","sex or gender"
"","","","Las Vegas | Los Angeles","work location"
"","","","Free Britney movement","part of"
"","","","Professional Performing Arts School | Parklane Academy | University of Nebraska High School","educated at"
"","","","English","native language"
"","","","Courtney Gears | Free Britney movement | Britney Bitch","named after"
"","","","soprano","voice type"
"","","","Britney Spears","Commons category"
"","","","The Mansion Family","characters"
"","","","2","number of children"
"","","","electronic dance music | pop music | electropop | teen pop | synth-pop | dance-pop","genre"
"","","","Broadcast Music, Inc.","copyright representative"
"","","","voice | piano","instrument"
"","","","Obálky knih","described by source"
"","","","Britney Spears Live: The Femme Fatale Tour","presenter"
"","","","Free Britney movement","significant person"
"","","","Believe","creator"
"","","","RCA Records | Sony Music | Jive Records","record label"
"","","","232497","Douban site name"
"","","","L484","personal pronoun"
"","","","163","height"
"","","","Catholicism","religion or worldview"
"","","","brown","eye color"
"","","","Britney_Spears","EcuRed article"
"","","","Grammy Award for Best New Artist | The Record of the Year","nominated for"
"","","","Kentwood","residence"
"","","","Britney Spears discography","discography"
"","","","Are All Men Pedophiles?","recorded participant"
"","","","human","instance of"
"","","","Britney Jean","nickname"
"","","","United States of America","country of citizenship"
"","","","Britney Spears","name in native language"
"","","","56","mass"
"","","","Britney Spears filmography","filmography"
"","","","Innosense","member of"
"","","","dark blond hair","hair color"
