label (Source A),value (Source A),value (common),value (Source B),label (Source B)
voice | actor,Bruno_the_Kid | General_Joseph_Colton,Bruno_the_Kid | General_Joseph_Colton | The LEGO Movie 2: The Second Part | Beavis and Butt-Head Do America | Over the Hedge | Hammy's Boomerang Adventure | Rugrats Go Wild | Look Who's Talking Too,The LEGO Movie 2: The Second Part | Beavis and Butt-Head Do America | Look Who's Talking Too | Over the Hedge | Hammy's Boomerang Adventure | Rugrats Go Wild,voice actor
occupation,Bruce_Willis__PersonFunction__1,singer | film producer | actor | voice actor | screenwriter | film actor,voice actor | screenwriter | television actor | film actor | executive producer,occupation
portrayer,Jackal_(The_Day_of_the_Jackal) | John_McClane | Doraemon_(character) | John_Hartigan_(Sin_City) | List_of_Doraemon_characters | John_McClane__John_McClane__1 | David_Dunn_(character),,,
works,Bruce_Willis_filmography,,,
host,39th_Primetime_Emmy_Awards,,,
birthPlace,West_Germany,Idar-Oberstein - West Germany,,place of birth
nationality,American,,,
producer,Hostage_(2005_film) | Broadway_Brawler,,,
keyPerson,Cheyenne_Enterprises,,,
yearsActive | activeYearsStartYear,1978 | 1978,1980,1979-01-01T00:00:00Z,work period (start)
spouse,Emma_Heming_Willis__Emma_Heming_Willis__1,Demi Moore | Emma Heming Willis,,spouse
father,,Rumer Willis | David Andrew Willis,Scout Willis | Tallulah Willis,father
birthDate | birthYear,1955-03-19 | 1955,,1955-03-19T00:00:00Z,date of birth
keyPeople,Cheyenne_Enterprises,,,
isPrimaryTopicOf,Bruce_Willis,,,
title,List_of_The_Complete_Guide_to_Everything_episodes | List_of_awards_and_nominations_received_by_Bruce_Willis,,,
executiveProducer,Bruno_the_Kid | Touching_Evil_(American_TV_series),,,
child | children,5,Rumer Willis | Scout Willis | Tallulah Willis | Mabel Ray Willis | Evelyn Penn Willis,Tallulah Willis | Scout Willis,child
voices,Bruno_the_Kid,,,
birthName,,Walter Bruce Willis,,birth name
name,Bruce Willis,Walter Bruce Willis,Willis | Bruce | Walter,family name | given name
primaryTopic,Bruce_Willis,,,
activeYearsEndYear,2022,,,
,,,2022-01-01T00:00:00Z,work period (end)
,,,Dave Willis,sibling
,,,frontotemporal dementia | aphasia | stuttering,medical condition
,,,Die hard: are cancer stem cells the Bruce Willises of tumor biology?,named after
,,,United States of America | Germany,country of citizenship
,,,MTV Movie Award for Best On-Screen Duo | Saturn Award for the Best Actor | Golden Globe Award for Best Actor – Television Series Musical or Comedy | Golden Globe Award for Best Supporting Actor – Motion Picture | Saturn Award for Best Supporting Actor | Broadcast Film Critics Association Award for Best Cast | MTV Movie Award for Best Performance | Golden Raspberry Award for Worst Screenplay | Golden Raspberry Award for Worst Actor,nominated for
,,,harmonica | voice,instrument
,,,Reuben Cannon,significant person
,,,English,writing language
,,,left-handedness,handedness
,,,Primetime Emmy Award for Outstanding Guest Actor in a Comedy Series,winner
,,,Bruce Willis,Commons category
,,,Pulp Fiction | The Fifth Element | Moonlighting | Die Hard | The Sixth Sense | Armageddon,notable work
,,,39th Primetime Emmy Awards,presenter
,,,Bruce Willis,name in native language
,,,5,number of children
,,,Lutheranism,religion or worldview
,,,male,sex or gender
,,,North,narrator
,,,Penns Grove High School | Montclair State University,educated at
,,,Obálky knih,described by source
,,,Germany | New Jersey | Los Angeles,residence
,,,Motown,record label
,,,Bruce Willis filmography,filmography
,,,English,native language
,,,human,instance of
