label (Source A),value (Source A),value (common),value (Source B),label (Source B)
leagueTopscorer,2019–20_Juventus_F.C._season | 2010–11_Real_Madrid_CF_season | 2020–21_Juventus_F.C._season | 2013–14_La_Liga | 2008–09_Manchester_United_F.C._season | 2020–21_Serie_A | 2013–14_Real_Madrid_CF_season | 2014–15_La_Liga | 2007–08_Premier_League | 2011–12_Real_Madrid_CF_season | 2014–15_Real_Madrid_CF_season | 2021–22_Manchester_United_F.C._season | 2018–19_Juventus_F.C._season | 2007–08_Manchester_United_F.C._season | 2016–17_Real_Madrid_CF_season | 2006–07_Manchester_United_F.C._season | 2010–11_La_Liga | 2015–16_Real_Madrid_CF_season | 2017–18_Real_Madrid_CF_season | 2012–13_Real_Madrid_CF_season,,,
nationalteam,Portugal_Olympic_football_team | Portugal_national_under-15_football_team | Portugal_national_under-21_football_team | Portugal_national_under-17_football_team | Portugal_national_football_team | Portugal_national_under-20_football_team,,,
isPrimaryTopicOf,Cristiano_Ronaldo,,,
source,"—Former BBC pundit Alan Hansen commenting on Ronaldo after his first season. | —Former Manchester United player George Best hails the 18-year-old Cristiano Ronaldo in 2003. | —Ronaldo commenting on his rivalry with Messi. | —Former manager Alex Ferguson, January 2013",,,
team,C.D._Nacional | Portugal_national_under-15_football_team | Sporting_CP | Portugal_national_under-17_football_team | Sporting_CP_B | Juventus_F.C. | Portugal_national_under-20_football_team | Sporting_CP_Youth_Academy | Manchester_United_F.C. | CF_Andorinha | Real_Madrid_CF,Al Nassr FC | Portugal | Riyadh Season Team XI | Manchester United FC | Juventus FC | Real Madrid CF | Manchester United FC | Sporting Clube de Portugal,Portugal men's national football team,team captain
careerStation,Cristiano_Ronaldo__CareerStation__9 | Cristiano_Ronaldo__CareerStation__6 | Cristiano_Ronaldo__CareerStation__4 | Cristiano_Ronaldo__CareerStation__1 | Cristiano_Ronaldo__CareerStation__8 | Cristiano_Ronaldo__CareerStation__7 | Cristiano_Ronaldo__CareerStation__3 | Cristiano_Ronaldo__CareerStation__10 | Cristiano_Ronaldo__CareerStation__2 | Cristiano_Ronaldo__CareerStation__11 | Cristiano_Ronaldo__CareerStation__12 | Cristiano_Ronaldo__CareerStation__5,,,
goals,81 | 19 | 3 | 311 | 84 | 0,,,
height,1.87 m | 1.87 | 187.0,1.87 m,185,height
name,2019_UEFA_Nations_League_Finals_squads | 2010_FIFA_World_Cup_squads | 2006_FIFA_World_Cup_squads | UEFA_Euro_2012_squads | 2008_FIFA_Club_World_Cup_squads | 2002–03_Sporting_CP_season | 2017_FIFA_Club_World_Cup_squads | 2017_FIFA_Confederations_Cup_squads | 2018_FIFA_World_Cup_squads | UEFA_Euro_2008_squads | Portugal_national_football_team | 2016_FIFA_Club_World_Cup_squads | Elche_CF | 2014_FIFA_Club_World_Cup_squads | 2014_FIFA_World_Cup_squads | 2022_FIFA_World_Cup_squads | Cristiano Ronaldo dos Santos Aveiro | UEFA_Euro_2020_squads | Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Aveiro | batal | Cristiano | Ronaldo,family name | given name
mostGoalsPlayerMatchPlayer,UEFA_Euro_2016_statistics | UEFA_Euro_2020_statistics | UEFA_Euro_2012_statistics | 2018_FIFA_World_Cup_statistics,,,
fullname,Cristiano Ronaldo dos Santos Aveiro,,,
mostGoalsAssistsPlayer,UEFA_Euro_2020_statistics,,,
clubs,Sporting_CP | Sporting_CP_B | Juventus_F.C. | Manchester_United_F.C. | Real_Madrid_CF,,,
youthclubs,CF_Andorinha | C.D._Nacional | Sporting_CP_Youth_Academy,,,
youthyears,1995 | 1992 | 1997,,,
mostGoalsPlayerPlayer,UEFA_Euro_2020_statistics,,,
penaltiesScoredPlayer,2018_FIFA_World_Cup_statistics | 2006_FIFA_World_Cup_statistics | 2022_FIFA_World_Cup_statistics,,,
nationalgoals,5 | 3 | 2 | 118 | 7 | 1,,,
primaryTopic,Cristiano_Ronaldo,,,
