label (Source A),value (Source A),value (common),value (Source B),label (Source B)
title,Fuck Tha Police | Still D.R.E. | Nuthin' But a 'G' Thang | Awards for Dr. Dre,,,
producer,"Old_Time's_Sake | X_(Xzibit_song) | The_King_and_I_(song) | Boss'_Life | Just_Dippin' | Blood_Money_(Mobb_Deep_album) | In_da_Club | Tha_Blue_Carpet_Treatment | Mind_Blowin'_(The_D.O.C._song) | Smoke_(50_Cent_song) | Capital_Punishment_(Big_Pun_album) | In_the_Ghetto_(Busta_Rhymes_song) | My_Name_Is | The_Best_of_N.W.A:_The_Strength_of_Street_Knowledge | Man_vs._Machine | D12_World | War_Angel_LP | Game_Don't_Wait | Eazy-Duz-It_(song) | Bang_or_Ball | Not_Today_(Mary_J._Blige_song) | Concrete_Roots | Kuruption! | World_Class | Westside_Story_(song) | The_Watcher_(song) | The_Set_Up_(song) | Appetite_for_Destruction_(song) | Bad_Intentions_(song) | Next_Friday_(soundtrack) | Boss'_Life__Boss'_Life__1 | Bulworth_(soundtrack) | Role_Model_(song) | N.W.A._and_the_Posse | Let_Me_Ride | Down_to_Earth_(soundtrack) | Straight_to_the_Bank | Doggy_Dogg_World | How_We_Do_(song) | We're_All_in_the_Same_Gang | The_Wash_(song) | Love_&_Life_(Mary_J._Blige_album) | Dr._Dre_Presents:_The_Aftermath | Ok,_You're_Right | Murder_Was_the_Case_(song)__Murder_Was_the_Case_remix__1 | Kill_You_(Eminem_song) | War_Music_(Slim_the_Mobster_album) | Higher_(The_Game_song) | The_Real_Slim_Shady | The_Knoc | We_Made_You | Livin'_Like_Hustlers | The_Source_Hip_Hop_Music_Awards_2000 | Curtis_(50_Cent_album) | 1st_Born_Second | Devil's_Night_(album) | Murder_Was_the_Case_(song) | Satisfaction_(Eve_song) | Encore_(Eminem_song) | Restless_(Xzibit_album) | Get_Rich_or_Die_Tryin'_(soundtrack) | The_Warning_(Eminem_song) | Above_the_Rim_(soundtrack) | Mosh_(song) | The_Untouchable | Straight_Outta_Compton | Gin_and_Juice | Muzical_Madness | Guilty_Conscience_(song) | Outta_Control_(50_Cent_song) | 3_a.m._(Eminem_song) | Eminem_Presents:_The_Re-Up | No_Limit_Top_Dogg | Tha_Last_Meal | Poppin'_Them_Thangs | Business_(song) | Alwayz_into_Somethin' | Crack_a_Bottle | The_Next_Episode | Death_Row:_Snoop_Doggy_Dogg_at_His_Best | It_Was_Written | Cheers_(Obie_Trice_album) | ATLA:_All_This_Life_Allows,_Vol._1 | God's_Plan_(album) | Express_Yourself_(N.W.A_song) | First_Round_Knock_Out | The_Dayz_of_Wayback | Barbershop_2:_Back_in_Business_(soundtrack) | Lookin'_at_You_(song) | The_D.O.C._&_The_Doctor | Natural_Born_Killaz | Xxplosive | California_Love | Genesis_(Busta_Rhymes_album) | Hennesey'n_Buddah | Lost_One | Ruthless_Records_Tenth_Anniversary:_Decade_of_Game | Eazy-er_Said_Than_Dunn | Fight_Music | Greatest_Hits_(Tupac_Shakur_album) | If_I_Can't | Straight_Outta_Compton:_Music_from_the_Motion_Picture | Straight_Outta_Compton_(song) | Bitch_Please | Greatest_Hits_(N.W.A_album) | War_&_Peace_Vol._2_(The_Peace_Disc) | Lay_Low_(Snoop_Dogg_song) | What's_My_Name%3F_(Snoop_Doggy_Dogg_song) | Bitch_Please_II | Bottoms_Up_(Obie_Trice_album) | What's_the_Difference | In_the_Movies | Gangsta_Gangsta_(N.W.A_song) | Boyz-n-the-Hood | The_Return_of_Superfly_(soundtrack) | Bitches_Ain't_Shit | Family_Tree_(N.W.A_album) | Natural_Born_Killaz__Natural_Born_Killaz__1 | Fuck_wit_Dre_Day_(And_Everybody's_Celebratin') | Still_D.R.E. | Music_Box_(song) | L.A._Confidential_presents:_Knoc-turn'al | Hip_Hop_Is_Dead | Relapse_(Eminem_album) | Fast_Lane_(Bilal_song) | U_Better_Recognize | Chin_Check | Napalm_(album) | Been_There,_Done_That_(Dr._Dre_song) | Deep_Cover_(soundtrack) | The_Watcher_(song)__The_Watcher_2__1 | Zoom_(Dr._Dre_song) | Murder_Rap | That's_That | Straight_Outta_Compton:_N.W.A_10th_Anniversary_Tribute | Eternal_E | No_More_Lies_(Michel'le_song) | Rich_Girl_(Gwen_Stefani_song) | Curtain_Call:_The_Hits | More_Malice | Straight_Outta_Compton_(film) | Let_Me_Blow_Ya_Mind | Rapped_in_Romance | Break_Ya_Neck | Music_&_Me_(Nate_Dogg_album) | Fuck_tha_Police | Poetic_Justice_(soundtrack) | The_Watcher_(song)__The_Watcher_Pt._3__1 | Supersonic_(J._J._Fad_album) | Death_Row:_The_Singles_Collection | Nuthin'_but_a_'G'_Thang | Just_Tryin'_ta_Live | Music_to_Be_Murdered_By | New_Day_(50_Cent_song) | Death_Row_Greatest_Hits | Keep_Their_Heads_Ringin' | Truthfully_Speaking | Tha_Streetz_Iz_a_Mutha | 100_Miles_and_Runnin'_(song) | I_Get_It_In_(50_Cent_song) | Beg_for_Mercy | La_Di_Da_Di | Imagine_(Snoop_Dogg_song) | Supersonic_(J._J._Fad_song) | 2001_(Dr._Dre_album) | Shady_XV | U_Ain't_Goin'_Nowhere | Get_Rich_or_Die_Tryin' | Murder_Was_the_Case | Training_Day_(soundtrack) | The_Blueprint_2:_The_Gift_&_The_Curse | Just_Lose_It | Doggystyle | Shit_Hits_the_Fan | The_Very_Best_of_Death_Row | My_Posse | La_Di_Da_Di__Lodi_Dodi__1 | Afro_Puffs | It's_Funky_Enough | The_Formula_(song) | Tuffest_Man_Alive | Ass_Like_That | One_Million_Strong | Family_Affair_(Mary_J._Blige_song) | The_Villain_(album) | Hell_Breaks_Loose | Hate_It_or_Love_It | The_Wash_(soundtrack) | Friday_(soundtrack) | What_Would_You_Do%3F_(Tha_Dogg_Pound_song) | We_Want_Eazy | Deep_Cover_(song) | Hello_(Ice_Cube_song) | The_Source_Presents:_Hip_Hop_Hits,_Vol._4 | Shaquille_O'Neal_Presents_His_Superfriends,_Vol._1 | Ain't_Nuttin'_But_Music | Kingdom_Come_(Jay-Z_album) | In_da_Club__Sexy_Lil_Thug__1",,,
owner,New_Line_Cinema,,,
chronology,Still_D.R.E. | I_Need_a_Doctor | U_Better_Recognize | Zoom_(Dr._Dre_song) | Deep_Cover_(song) | Nuthin'_but_a_'G'_Thang | Let_Me_Ride | Kush_(song) | The_Next_Episode | The_Wash_(song) | Fuck_wit_Dre_Day_(And_Everybody's_Celebratin') | Forgot_About_Dre,,,
pastMembers,World_Class_Wreckin'_Cru,,,
education,John_C._Fremont_High_School,,,
spouse,2021 | Nicole Plotzker | Grammy_Awards_of_1996 | 1996,,,
alias,The Mechanic | Brickhard,,,
relative,Olaijah_Griffin | Warren_G | Sir_Jinx,,,
formerBandMember,World_Class_Wreckin'_Cru | N.W.A,,,
occupation,record executive | Dr._Dre__PersonFunction__1,actor | record producer | rapper | entrepreneur | film director | television actor | songwriter | disc jockey | composer | film actor | music executive | record executive,film director | television actor | songwriter | disc jockey | composer | film actor | music executive,occupation
founder | founders | foundedBy,Dr. Dre,Aftermath Entertainment | Beats_Electronics | Death Row Records | Crucial Films,Crucial Films | Death Row Records | Beats Electronics,founded by
keyPeople,Record_One,,,
birthPlace,"Compton,_California | Compton, California, U.S.",Compton California United States,Compton,place of birth
founded,2007,,,
yearsActive | activeYearsStartYear,1985 | 1985,1984,1984-01-01T00:00:00Z,work period (start)
name,Crucial Films | Dr. Dre,Andre Romelle Young,Q12678727 | Andre | Romell,family name | given name
music,The_Conspiracy_(mixtape) | Good_News_(Megan_Thee_Stallion_album),,,
birthName,Andre Romelle Young,Andre Romelle Young,Andre Romell Young,birth name
isPrimaryTopicOf,Dr._Dre,,,
relatives,Sir_Jinx | Olaijah_Griffin | Warren_G,,,
fate,Inactive,,,
homepage,crucialfilms.com,,,
primaryTopic,Dr._Dre,,,
children,,8 | 10 ,Truice Young | La Tanya Danielle Young | Hood Surgeon,child | number of children
keyPerson,Record_One,,,
director,E_(video),,Murder Was the Case,director
composer,Forgot_About_Dre,,,
mostAwards,1994_Source_Awards,,,
birthYear | birthDate,1965 | 1965-02-18,1965-02-18,1965-02-18T00:00:00Z,date of birth
mostNominations,43rd_Annual_Grammy_Awards,,,
industry,Film production company,production company | Film production company,production company,industry
,,,Kru-Cut Records | Death Row Records | Aftermath Entertainment | Interscope Records | Ruthless Records | Priority Records,record label
,,,synthesizer | sampler | voice | keyboard instrument | drum machine | guitar,instrument
,,,golden age hip hop | mafioso rap | West Coast hip-hop | old-school hip hop | G-funk | horrorcore | hardcore hip-hop | political hip-hop | gangsta rap,genre
,,,California Love | No Diggity | My Name Is | Keep Their Heads Ringin' | In da Club | Still D.R.E. | Who Am I? (What's My Name?) | How We Do | Rich Girl | The Next Episode | Nuthin' but a 'G' Thang | Fuck wit Dre Day (And Everybody's Celebratin') | Kush,lyricist
,,,World Class Wreckin' Cru | N.W.A. | Group Therapy,has part(s)
,,,Brickhard | The Mechanic | Dr. Dre,pseudonym
,,,3002024 | 2957797 | 2900580 | 2988979,social media followers
,,,L485,personal pronoun
,,,World Class Wreckin' Cru,member of
,,,English,native language
,,,Dr. Dre,Commons gallery
,,,Beats Electronics,director / manager
,,,excessive speed | battery,convicted of
,,,Obálky knih,described by source
,,,Andre Young,name in native language
,,,Truice Young | La Tanya Danielle Young | Hood Surgeon,father
,,,Centennial High School | John C. Fremont High School,educated at
,,,English,writing language
,,,Straight Outta Compton,characters
,,,Beverly Hills,residence
,,,Tyree Crayon,sibling
,,,male,sex or gender
,,,Aftermath Entertainment,owner of
,,,human,instance of
,,,"Soul Train Music Award for Best R&B/Soul Single, Group, Band or Duo | Soul Train Music Award for Best R&B/Soul Album of the Year",winner
,,,United States of America,country of citizenship
,,,Q130789185,has list
,,,50 Cent: Bulletproof,voice actor
,,,Dr. Dre,Commons category
,,,Dr. Dre production discography | Dr. Dre discography,discography
