label (Source A),value (Source A),value (common),value (Source B),label (Source B)
primaryTopic,Edie_Falco,,,
relatives | relative,,Edward Falco,,relative
education,State University of New York at Purchase | State_University_of_New_York_at_Purchase,,,
occupation,Edie_Falco__PersonFunction__1 | Actress,actor | film actor | stage actor | Actress,television actor | actor | film actor | stage actor,occupation
yearsActive | activeYearsStartYear,1987 | 1987,1987,1987-01-01T00:00:00Z,work period (start)
birthName,Edith Falco,,,
birthPlace,"New_York_City | New York City, U.S.",Brooklyn New York United States,Brooklyn,place of birth
narrator,"Money,_Explained",,,
title,Biography at Hollywood.com | List_of_Employee_of_the_Month_episodes | List_of_awards_and_nominations_received_by_Edie_Falco,,,
portrayer,Carmela_Soprano | Diane_Whittlesey,,,
isPrimaryTopicOf,Edie_Falco,,,
birthDate | birthYear,1963-07-05 | 1963,1963-07-05,1963-07-05T00:00:00Z,date of birth
name,Edie Falco,Edith Falco,Falco | Edith,family name | given name
children,,2,,number of children
,,,United States of America,country of citizenship
,,,The Other Steve and Edie,has part(s)
,,,English,writing language
,,,Edie Falco,Commons category
,,,TCA Award for Individual Achievement in Drama,winner
,,,Stephen Wallem,partner in business or sport
,,,State University of New York at Purchase | Northport High School,educated at
,,,Gotham Independent Film Awards 2011,presenter
,,,The Other Steve and Edie,part of
,,,female,sex or gender
,,,Tony Award for Best Featured Actress in a Play,nominated for
,,,English,native language
,,,human,instance of
