"producer","Vice_(2018_film) | The_Big_Short_(film) | Beautiful_Boy_(2018_film) | Kick-Ass_(film) | Blonde_(2022_film) | 12_Years_a_Slave_(film) | The_Departed | Voyage_of_Time | Big_Men_(film) | Ad_Astra_(film) | The_Assassination_of_Jesse_James_by_the_Coward_Robert_Ford | The_Killer_(upcoming_film) | World_War_Z_(film) | The_Tree_of_Life_(film) | Running_with_Scissors_(film) | The_King_(2019_film) | Nightingale_(film) | By_the_Sea_(2015_film) | Moneyball_(film) | A_Mighty_Heart_(film) | Killing_Them_Softly__Killing_Them_Softly__1 | War_Machine_(film)","","",""
"executiveProducer","Sweetbitter_(TV_series) | Handsome | Paper_Girls_(TV_series) | Outer_Range | The_Third_Day_(TV_series) | The_OA | The_Three-Body_Problem_(TV_series) | High_School_(2022_TV_series) | The_Underground_Railroad_(miniseries) | Lego_Masters_(American_TV_series) | The_Normal_Heart_(film)","","",""
"birthPlace","Shawnee,_Oklahoma | Shawnee, Oklahoma, U.S.","","Shawnee","place of birth"
"spouse","","Jennifer Aniston | Angelina Jolie","","spouse"
"name","Brad Pitt | List_of_awards_and_nominations_received_by_Brad_Pitt","","Pitt | William | Brad | Bradley","family name | given name"
"species","no","","",""
"occupation","Brad_Pitt__PersonFunction__1","film producer | actor","producer | television actor | director | film director | film actor | television producer | executive producer | model | voice actor","occupation"
"foundedBy | founder","Not_on_Our_Watch_(organization)","Make It Right Foundation | Plan B Entertainment","","founded by"
"relation | relations","","Douglas Pitt","Pax Jolie-Pitt | Maddox Jolie-Pitt | Zahara Jolie-Pitt","relative | sibling"
"children","","6","Vivienne Jolie-Pitt | Knox Jolie-Pitt | William Alvin Pitt | Shiloh Jolie | Jane Etta Hillhouse","child | number of children"
"activeYearsStartYear | yearsActive","1987 | 1987","","1987-01-01T00:00:00Z","work period (start)"
"title","List_of_awards_and_nominations_received_by_Brad_Pitt | Children","","",""
"birthDate | birthYear","1963-12-18 | 1963","","1963-12-18T00:00:00Z","date of birth"
"portrayer","The_Narrator_(Fight_Club) | Louis_de_Pointe_du_Lac","","",""
"primaryTopic","Brad_Pitt","","",""
"works","Brad_Pitt_filmography","","",""
"narrator","","Voyage of Time","","narrator"
"isPrimaryTopicOf","Brad_Pitt","","",""
"birthName","","William Bradley Pitt","","birth name"
"","","","left-handedness","handedness"
"","","","Brad Pitt filmography","filmography"
"","","","Kickapoo High School | University of Missouri","educated at"
"","","","Brangelina","named after"
"","","","vegetarianism","lifestyle"
"","","","Irish Americans | French Americans | German Americans | British Americans | Swedish Americans | Cornish Americans | Dutch Americans","ethnic group"
"","","","Academy Award for Best Supporting Actor | Academy Award for Best Picture | Academy Award for Best Actor | European Film Award – People's Choice Award for Best European Film | Golden Globe Award for Best Supporting Actor – Motion Picture","nominated for"
"","","","Obálky knih","described by source"
"","","","United States of America","country of citizenship"
"","","","Academy Award for Best Supporting Actor | MTV Movie Award for Most Desirable Male | MTV Movie Award for Best Male Performance | MTV Movie Award for Best Scared-As-S**t Performance | Producers Guild of America Award for Best Theatrical Motion Picture | Broadcast Film Critics Association Award for Best Cast | National Society of Film Critics Award for Best Actor | MTV Movie Award for Best Fight","winner"
"","","","Liverpool F.C.","supported sports team"
"","","","Category:Films produced by Brad Pitt","related category"
"","","","Jane Etta Hillhouse","mother"
"","","","Vivienne Jolie-Pitt | Knox Jolie-Pitt | William Alvin Pitt | Shiloh Jolie","father"
"","","","Brangelina","has part(s)"
"","","","Brad Pitt","name in native language"
"","","","English | American English","native language"
"","","","blue","eye color"
"","","","Villa Oleandra","guest of honor"
"","","","human","instance of"
"","","","Roy London | Ivana Chubbuck","student of"
"","","","English","writing language"
"","","","Plan B Entertainment | Château Miraval, Correns-Var","owner of"
"","","","Jennifer Aniston | Juliette Lewis | Gwyneth Paltrow | Angelina Jolie","unmarried partner"
"","","","Happy Feet Two | Sinbad: Legend of the Seven Seas | Sinbad and the Cyclops Island | Megamind","voice actor"
"","","","Ivana Chubbuck | Roy London","student"
"","","","male","sex or gender"
"","","","Brad Pitt","Commons gallery"
"","","","180","height"
"","","","dirty blond hair","hair color"
"","","","Springfield | Los Angeles","residence"
"","","","Brad Pitt","Commons category"
"","","","Brangelina","part of"
"","","","Real Time with Bill Maher, season 7, episode 23","talk show guest"
"","","","Vanisher","notable role"
"","","","Plan B Entertainment","director / manager"
"","","","Plan B Entertainment","significant person"
