"music","Grammy_Nominees | VH1_Storytellers_(Bruce_Springsteen_album) | London_Calling:_Live_in_Hyde_Park | Live_in_Barcelona_(Bruce_Springsteen_video) | Kumo_ga_Chigireru_Toki | Blood_Brothers_(1996_film) | The_Day's_Parade | Thunder_Road_(2016_film)","","",""
"chronology","American_Beauty_(EP) | Letter_to_You | Born_to_Run | 18_Tracks | High_Hopes_(album) | Tunnel_of_Love_(album) | Chapter_and_Verse_(Bruce_Springsteen_album) | Wrecking_Ball_(Bruce_Springsteen_album) | The_Wild,_the_Innocent_&_the_E_Street_Shuffle | The_Legendary_1979_No_Nukes_Concerts","","",""
"occupation","musician | Bruce_Springsteen__PersonFunction__1","songwriter | singer","television actor | recording artist | composer | film director | pianist | record producer | guitarist | film actor | folk music | blues | rock music","occupation | field of work"
"producer","Highway_Patrolman | Greatest_Hits_(Bruce_Springsteen_album) | Be_True | Tenth_Avenue_Freeze-Out | Johnny_99_(song) | Jungleland | The_Wrestler_(song) | Meeting_Across_the_River | Death_to_My_Hometown | Darkness_on_the_Edge_of_Town_(song) | Night_(Bruce_Springsteen_song) | Better_Days_(Bruce_Springsteen_song) | American_Babylon | Springsteen_on_Broadway_(album) | Point_Blank_(Bruce_Springsteen_song) | Rocky_Ground | Land_of_Hope_and_Dreams | Tunnel_of_Love_(Bruce_Springsteen_song)__Tunnel_of_Love__1 | Blood_Brothers_(EP) | High_Hopes_(Tim_Scott_McConnell_song)__High_Hopes__1 | The_Ties_That_Bind_(Bruce_Springsteen_song) | Racing_in_the_Street | Stolen_Car_(Bruce_Springsteen_song) | Ramrod_(Bruce_Springsteen_song) | Badlands_(song) | The_New_Timer | We_Take_Care_of_Our_Own | The_Born_in_the_U.S.A._12%22_Single_Collection | Brilliant_Disguise | Cadillac_Ranch_(Bruce_Springsteen_song)__Cadillac_Ranch__1 | The_Power_of_Prayer | Dedication_(Gary_U.S._Bonds_album) | Darlington_County_(song) | Chapter_and_Verse_(Bruce_Springsteen_album) | One_Step_Up | Trapped_(Jimmy_Cliff_song)__Trapped__1 | Nebraska_(song) | The_Ghost_of_Tom_Joad_(song) | The_Fever_(Bruce_Springsteen_song) | Born_to_Run_(Bruce_Springsteen_song) | The_Legendary_1979_No_Nukes_Concerts | Chimes_of_Freedom_(EP) | High_Hopes_(Tim_Scott_McConnell_song) | Letter_to_You_(song) | Wreck_on_the_Highway_(Bruce_Springsteen_song) | Spare_Parts_(song) | On_the_Line_(Gary_U.S._Bonds_album) | Backstreets | 18_Tracks | Sad_Eyes_(Bruce_Springsteen_song)__Sad_Eyes__1 | Independence_Day_(Bruce_Springsteen_song)__Independence_Day__1 | Cover_Me_(Bruce_Springsteen_song) | I'm_on_Fire | The_Promised_Land_(Bruce_Springsteen_song) | Youngstown_(song) | Atlantic_City_(song) | Rumble_Doll | Tougher_Than_the_Rest | She's_the_One_(Bruce_Springsteen_song) | I'll_See_You_in_My_Dreams_(Bruce_Springsteen_song) | Prove_It_All_Night | Adam_Raised_a_Cain | Out_of_Work_(song)","","",""
"mostAwards","37th_Annual_Grammy_Awards","","",""
"after","Lenny_Kravitz","","",""
"allWriting","Working_on_a_Dream | Tunnel_of_Love_(album) | Darkness_on_the_Edge_of_Town | Greatest_Hits_(Bruce_Springsteen_album) | Born_in_the_U.S.A. | Greetings_from_Asbury_Park,_N.J. | Magic_(Bruce_Springsteen_album) | Nebraska_(album) | Badlands:_A_Tribute_to_Bruce_Springsteen's_Nebraska | The_Wild,_the_Innocent_&_the_E_Street_Shuffle | Born_to_Run","","",""
"title","List_of_awards_and_nominations_received_by_Bruce_Springsteen","","",""
"musicComposer","Hunter_of_Invisible_Game | Springsteen_&_I | London_Calling:_Live_in_Hyde_Park | Live_in_Barcelona_(Bruce_Springsteen_video) | Blood_Brothers_(1996_film) | Thunder_Road_(2016_film) | Flannery_(film) | VH1_Storytellers_(Bruce_Springsteen_album)","","",""
"isPrimaryTopicOf","Bruce_Springsteen","","",""
"pastMembers","Steel_Mill","","",""
"spouse","1989 | 1985 | divorced | 1991","Patti Scialfa | Julianne Phillips","","spouse"
"birthYear | birthDate","1949 | 1949-09-23","","1949-09-23T00:00:00Z","date of birth"
"name","Bruce Springsteen","","Springsteen | Joseph | Bruce | Frederick","family name | given name"
"source","--11-02 | —Bruce Springsteen, on the impact of the Beatles","","",""
"primaryTopic","Bruce_Springsteen","","",""
"host","Renegades:_Born_in_the_USA","","",""
"bandMember","E_Street_Band","","",""
"relative","Pamela_Springsteen","","",""
"formerBandMember","Steel_Mill","","",""
"children | child","3","Jessica_Springsteen","Jessica Springsteen","child"
"director","","Hunter of Invisible Game","Western Stars","director"
"participants","Glastonbury_Festival_2009","","",""
"relatives","Pamela_Springsteen | Jessica_Springsteen","","",""
"birthName","","Bruce Frederick Joseph Springsteen","","birth name"
"birthPlace","Long_Branch,_New_Jersey | Long Branch, New Jersey, U.S.","","Long Branch","place of birth"
"homepage","www.brucespringsteen.net","","",""
"","","","1351355 | 1410000 | 1820000 | 1580000 | 2010000 | 1307852 | 1341521 | 1220457","social media followers"
"","","","I'm on Fire | 4th of July, Asbury Park (Sandy) | Working on a Dream | Adam Raised a Cain | No Surrender | Because the Night | My Hometown | Radio Nowhere | Hungry Heart | Out in the Street | Thunder Road | Cover Me | The Rising | Ghosts | Streets of Philadelphia | Dancing in the Dark | Electric | Factory | Born in the U.S.A. | The River | Pink Cadillac | Badlands | Letter to You | Fire | Sanna (nyårsafton Åre 1983) | Rocky Ground","lyricist"
"","","","American Academy of Arts and Sciences | E Street Band","member of"
"","","","Obálky knih","described by source"
"","","","United States of America","country of citizenship"
"","","","Steel Mill | E Street Band | USA for Africa","has part(s)"
"","","","Juno Award for International Album of the Year | Favorite Pop/Rock Male Artist | Polar Music Prize | American Music Award for Favorite Pop/Rock Album | MTV Video Music Award for Best Male Video","winner"
"","","","Plastic Club","guest of honor"
"","","","Bruce Springsteen","name in native language"
"","","","PRS for Music | Global Music Rights","copyright representative"
"","","","baritone","voice type"
"","","","English","native language"
"","","","Cover Me","dedicated to"
