"foundedBy","","G-Unit Records | SMS Audio","G-Note Records | G-Unit Records | SMS Audio | G-Unit Films and Television Inc.","G-Note Records | G-Unit Records | G-Unit Films and Television Inc. | SMS Audio","G-Unit Records | SMS AudioSMS Audio | G-Unit Films and Television Inc."
"presenter","50_Central | 50 Cent: The Money and the Power","","","","50_Central | 50 Cent: The Money and the Power50 Cent: The Money and the Power"
"occupation","","record producer | actor | television producer | rapper | record executive | businessman | songwriter | television actor | entrepreneur | television director | music executive | film producer | singer | film actor | investor | businessperson ","record producer | actor | television producer | rapper"," record executive | businessman | actor | television producer | record producer | rapper | investor | television actor | songwriter | film producer | television director | singer | entrepreneur | businessperson | film actor | music executive","record producer | actor | television producer | rapper | record executive | businessman | songwriter | television actor | entrepreneur | television director | music executive | film producer | singer | film actor | investor | businessperson songwriter | television actor | entrepreneur | television director | music executive | film producer | singer | film actor | investor | businessperson"
"birthPlace","","New_York_City","South Jamaica, New York City, U.S.","New York City - U.S.","New_York_CitySouth Jamaica"
"creator","","The Money and the Power | Angela Valdes | Power Universe | Kanan Stark | Effie Morales","50_Cent:_The_Money_and_the_Power |  Power Universe | Kanan Stark | Effie Morales","Kanan Stark | 50_Cent:_The_Money_and_the_Power | Power Universe | Effie Morales | Angela Valdes","The Money and the Power | Angela Valdes | Power Universe | Kanan Stark | Effie MoralesAngela Valdes | Power Universe | Kanan Stark | Effie Morales"
"children","","2","2 | Marquise Jackson | Sire Jackson","2 | Sire Jackson","2Sire Jackson"
"activeYearsStartYear | yearsActive","","1996","1996","1996 – present","19961996-01-01T00:00:00Z"
,"","1975","1975-07-06","","19751975-07-06T00:00:00Z"
"director","Before I Self Destruct","","","","Before I Self DestructBefore I Self Destruct"
"birthName","Curtis James Jackson III","","","","Curtis James Jackson III"
"name","","50 Cent | Jackson | James | Curtis","50 | 50 cent | Jackson | James | Curtis","","50 Cent | Jackson | James | CurtisJackson | James | Curtis"
