"director","","In the Land of Blood and Honey | A Place in Time | Unbroken | First They Killed My Father | By the Sea | Without Blood","In the Land of Blood and Honey | A Place in Time | First They Killed My Father | Unbroken | By the Sea | Without Blood","A Place in Time | In the Land of Blood and Honey","In the Land of Blood and Honey | A Place in Time | Unbroken | First They Killed My Father | By the Sea | Without Blood | Unbroken | By the Sea | Without Blood | First They Killed My Father"
"source","",""," Interrupted | &mdash","",""
"child | children","","Knox Jolie-Pitt | Vivienne Jolie-Pitt | Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jolie-Pitt | Pax Thien Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jolie-Pitt | Pax Thien Jolie-Pitt","6 | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Pax Jolie-Pitt | Shiloh Jolie","Shiloh Jolie | Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt","Knox Jolie-Pitt | Vivienne Jolie-Pitt | Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jolie-Pitt | Pax Thien Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jon Voight | Marcheline Bertrand | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Shiloh Jolie-Pitt | Pax Thien Jolie-Pitt | Maddox Jolie-Pitt | Zahara Jolie-Pitt | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Pax Jolie-Pitt | Shiloh Jolie"
"father | mother","Jon Voight | Marcheline_Bertrand","","","","Jon Voight | Marcheline_Bertrand | Shiloh Jolie | Vivienne Jolie-Pitt | Knox Jolie-Pitt | Marcheline Bertrand"
"relatives | relative","","Chip Taylor | Barry Voight","Chip Taylor | Barry Voight | James Haven","Barry Voight | Chip Taylor | Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt | James Haven","Chip Taylor | Barry Voight | Pax Jolie-Pitt | Maddox Jolie-Pitt | Zahara Jolie-Pitt"
"spouse","","Brad Pitt | Billy Bob Thornton | Jonny Lee Miller","Brad Pitt | Billy Bob Thornton | Jonny Lee Miller","Billy Bob Thornton | Jonny Lee Miller | Brad Pitt","Brad Pitt | Billy Bob Thornton | Jonny Lee Miller"
"birthPlace","","Los Angeles"," California","Los Angeles","Los Angeles"
"occupation","","filmmaker | humanitarian | actress","filmmaker | humanitarian | film screenwriter | television actor | philanthropist | film director | screenwriter | character actor | writer | film producer | actor | manufacturer | film actor | fashion model | executive producer | model | diarist | voice actor | film | charity","humanitarian | filmmaker | actress | director","filmmaker | humanitarian | actress | film screenwriter | television actor | philanthropist | film director | screenwriter | character actor | writer | film producer | actor | manufacturer | film actor | fashion model | executive producer | model | diarist | voice actor | film | charity"
"activeYearsStartYear | yearsActive","1982","","","","1982 | 1982-01-01T00:00:00Z"
"name","","Angelina Jolie | Angelina Jolie Pitt","Angelina Jolie | Jolie | Voight | Angelina | Jolie | Angelina Jolie Pitt","Angelina Jolie Voight","Angelina Jolie | Angelina Jolie Pitt | Jolie | Voight | Angelina | Jolie | Angelina Jolie Pitt"
"birthDate | birthYear","","1975","04-06-1965","","1975 | 1975-06-04T00:00:00Z"
"birthName","Angelina Jolie Voight","","","","Angelina Jolie Voight"
"citizenship","","Cambodia | United States","Cambodia | United States of America","United States | Cambodia","Cambodia | United States | United States of America"
