"birthname | birthName | birth name","Benjamin Géza Affleck-Boldt","","","","Benjamin Geza Affleck"
"relative | relation | relatives | relative","Casey Affleck","","Summer Phoenix","","Summer Phoenix"
"director | director","I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney | Gone Baby Gone | The Town | Argo | Live by Night | Air | Animals","Dunkin': The Dun Kings | Gimme Shelter","Animals","Argo_(2012_film) | The_Town_(2010_film) | the  | Live_by_Night_(film)","Live_by_Night_(film) | The Town | Argo_(2012_film) | The_Town_(2010_film) | Air | Animals | Live by Night | Argo"
"name | family name | given name",Ben Affleck | Geza | Affleck | Ben,"","Geza | Affleck | Ben","Benjamin Géza Affleck-Boldt","Geza | Affleck | Ben | Ben Affleck"
"founder | foundedBy | founded by",Pearl Street Films | Eastern Congo Initiative | Artists Equity | LivePlanet,"Live Planet","LivePlanet","","Artists Equity | Eastern Congo Initiative | LivePlanet"
"occupation | occupation",film director | screenwriter | film producer | actor | poker player | film actor | television producer | voice actor | manufacturer | television actor | writer | executive producer,"","manufacturer | television actor | writer | executive producer","","Ben_Affleck__PersonFunction__1 | Bennifer | poker player | television producer | manufacturer | voice actor | writer | executive producer | film actor | television actor"
"spouse | spouse","Jennifer Garner | Jennifer Lopez","","","","Bennifer | 2022 | 2018 | 2005"
"birthPlace | place of birth",Berkley | California | United States,"Berkley","Berkeley, California, United States of America","Berkeley California United States","Berkeley,_California | Berkeley, California, U.S. | Berkeley"
"activeYearsStartYear | yearsActive | work period (start)","1981","1979","","","1981-01-01T00:00:00Z"
"relations | sibling","Casey Affleck","","","",""
"creator | creator","Push, Nevada","","","",""
"birthDate | birthYear | date of birth","1972-08-15","","","","1972 | 1972-08-15 | 1972-08-15T00:00:00Z"
"children | child | number of children",3 | Samuel Affleck | Violet Affleck | Seraphina Affleck,"Seraphina Affleck |","Violet Anne Affleck | Seraphina Rose Affleck","Sam Affleck | Seraphina Affleck","Sam Affleck | Violet Affleck | Timothy Byers Affleck | Christine Anne Boldt | Seraphina Affleck"
