"knownFor","Antoine_Bussy | Charles_Lathrop_Parsons | Louis_Nicolas_Vauquelin","","",""
"reflector","BES-5 | Romashka_reactor | North_Carolina_State_University_reactor_program | Ghana_Research_Reactor-1 | Advanced_Test_Reactor","","",""
"product","Xinjiang_Xinxin_Mining_Industry_Company","","",""
"primaryTopic","Beryllium","","",""
"products","Kalesay_mine | Yermakovsky_mine","","",""
"species","no","","",""
"isPrimaryTopicOf","Beryllium","","",""
"contaminants","Halaco_Engineering_Co.","","",""
"","","","alkaline earth metal | period 2","part of"
"","","","calcybeborosilite-(Y) | asbecasite | nabesite | beryllocordierite-Na | liberite | berborite | bearsite | babefphite | beryl | behoite | beryllonite","named after"
"","","","platinum dodecaberyllium | Beryllium carbonate | Nivaflex | beryllium hydride | triberyllium niobium | Q20980322 | beryllium selenide | platinum pentaberyllium | beryllium-polonium | beryllium borohydride | Q4456667 | Q20980324 | beryllium bromide | platinum-beryllium | Q20980315 | beryllium hydroxide | beryllium sulfate | Beryllium sulfide | beryllium oxalate | alkaline earth metal | tetrafluoroberyllate(2-) | ammonium tetrafluoroberyllate | Q20980323 | beryllium iodide | Q20980318 | diberyllium triniobium | dirhodium heptadecaberyllium | Q17462425 | Beryllocene | beryllium telluride | beryllium copper | beryllium nitrate | beryllium fluoride | Q21519603 | Q20980319 | beryllium oxide | beryllate | Q20980317 | FLiBe | beryllium silicate | beryllium sodium fluoride | beryllide | dimethylberyllium | beryllium oxide hexaformate | beryllium chloride | beryllium phosphate | Q4161311 | beryllium-nickel | beryllium carbide | Q21519590 | beryllium hydrogen phosphate | palladium-beryllium | beryllium acetate | E-Material | beryllium oxyacetate | Fluoroberyllate | beryllium acetylacetonate | diberyllium niobium | beryllium selenate tetrahydrate | Q20980325 | Q18212062 | heneicosaberyllium pentanickel | Q20980320","has part(s)"
"","","","acute beryllium poisoning | berylliosis","has cause"
"","","","1 | 2","oxidation state"
"","","","acute beryllium poisoning","associated hazard"
"","","","beryllium-9 | beryllium-12 | beryllium-8 | beryllium-15 | beryllium-14 | beryllium-16 | beryllium-13 | beryllium-5 | metal | beryllium-7 | beryllium-11 | beryllium-6 | beryllium-10 | beryllium-17","subclass of"
"","","","D01.268.552.075 | D01.552.547.080 | D01.268.557.080","MeSH tree code"
"","","","Be","chemical formula"
"","","","Be","element symbol"
"","","","InChI=1S/Be","InChI"
"","","","acute beryllium poisoning | berylliosis","has effect"
"","","","Yamaha NS-2000 | beryl | Sonambient Sculpture","made from material"
"","","","25000000","electrical conductivity"
"","","","0.0005","ceiling exposure limit"
"","","","5460467","PubChem CID"
"","","","Brockhaus and Efron Encyclopedic Dictionary | Small Brockhaus and Efron Encyclopedic Dictionary | Encyclopædia Britannica 11th edition | Collier's New Encyclopedia, 1921 | Meyers Konversations-Lexikon, 4th edition (1885–1890) | Armenian Soviet Encyclopedia | Great Soviet Encyclopedia (1926–1947)","described by source"
"","","","0.45 | 0.27","ionic radius"
"","","","Louis Nicolas Vauquelin | Friedrich Wöhler | Antoine Bussy","discoverer or inventor"
"","","","Beryllium","Commons gallery"
"","","","France","location of discovery"
"","","","OW5102UV6N","UNII"
"","","","4","immediately dangerous to life or health"
"","","","DS1750000","RTECS number"
"","","","DTXCID90875623","DSSTOX compound identifier"
"","","","4","atomic number"
"","","","16265","Gmelin number"
"","","","simple substance | lithophile | combustible powder | chemical element","instance of"
"","","","Beryllium","Commons category"
"","","","[Be]","canonical SMILES"
"","","","2","electronegativity"
"","","","2349 | 1278","melting point"
"","","","8020","ZVG number"
"","","","546.391 | 669.724","Dewey Decimal Classification"
"","","","1.85","density"
"","","","4532 | 2970","boiling point"
"","","","1798-01-01T00:00:00Z","time of discovery or invention"
"","","","[He] 2s² | 1s² 2s²","electron configuration"
"","","","C0005139","UMLS CUI"
"","","","231-150-7","EC number"
"","","","0.002","time-weighted average exposure limit"
"","","","9.0121831","mass"
"","","","0","vapor pressure"
