"book","Period 2 elements|Chemical elements|Boron group|Boron","","",""
"products","Emet_mine|Bigadiç_mine|Wengquangou_mine|Kırka_mine|Jadar_mine","","",""
"formula","Blue_diamond","","B","chemical formula"
"industries","Economy_of_Turkey","","",""
"knownFor","Norman_Greenwood|Hermann_Irving_Schlesinger|Humphry_Davy","","",""
"academicDiscipline","William_Lipscomb","","",""
"fields","William_Lipscomb","","",""
"product","Allkem","","",""
"isPrimaryTopicOf","Boron","","",""
"primaryTopic","Boron","","",""
"","","","sodium tetraphenylborate|calcium metaborate|pentaborane(11)|diboron trioxide|borate mineral|bis(pyridine)iodonium(I) tetrafluoroborate|caesium borohydride|Q18212019|borabenzene|nickel boride|borirane|osmium diboride|boron trifluoride|boron sulfide|hexaborane(12)|lithium tetrafluoroborate|sodium calcium borate|trimethylborane|lithium triethylborohydride|jadarite|tetrahydroxydiboron|triethylborane|Q15628405|Q20979859|Q4419240|Q19521743|lithium metaborate|beryllium borohydride|Q4161096|Q15628020|ammonium tetrafluoroborate|tetraborane(10)|sodium tetrafluoroborate|titanium diboride|hexaborane|L-selectride|Q4161100|trifluoroborane--ammonia (1/1)|borate ester|lithium borate|sodium cyanoborohydride|nitrosonium tetrafluoroborate|potassium metaborate|silver tetrafluoroborate|europium hexaboride|borohydride|Q27458645|Q17562755|9-borabicyclo[3.3.1]nonane|1-chloromethyl-4-fluoro-1,4-diazobicyclo(2.2.2)octane bis(tetrafluoroborate)|Lanthanum hexaboride|diammonium tetraborate|borospherene|Q19613963|Q18211893|tantalum diboride|Q4419238|orthoboric acid|sodium tetrahydroxyborate|yttrium diboride|cadmium tetrafluoroborate|borane|Q18203024|boron monofluoride|Q15628400|Q18816981|vanadium diboride|sodium metaborate|magnesium borohydride|diborane(6)|Q18211650|cobalt boride|Q20979860|Q18211714|Q4161194|disiamylborane|Q18211792|ditungsten boride|boron trichloride|Q4348650|catecholborane|hafnium diboride|group 13|Praseodymium tetraboride|benzeneboronic acid|boroxine|sodium perborate monohydrate|Q19521755|chromium(III) boride|lithium borohydride|Q20979854|Q4161097|calcium borate|Q15628219|magnesium metaborate|copper(II) metaborate|barium metaborate|triethyloxonium tetrafluoroborate|Bobbitt's salt|Q19613966|trimethyl borate|allotrope of boron|Q7516570|boron nitride|borotorpex|Iron monoboride|zirconium diboride|Q18211705|organoboron compound|Q18203026|rhenium diboride|tungsten boride|Dinickel boride|neodymium magnet|boron compound|Q18211739|sodium borohydride|Triborane(7)|Q19521747|Q20979857|oxidoboron|boratabenzene|potassium tetrafluoroborate|borax|calcium tetraborate|boron triiodide|potassium tetrahydroborate|Q19521749|Q15627983|decaborane|rubidium borohydride|potassium tetraborate|Q4419226|Q15628399|scandium dodecaboride|Q20979861|bromodiiodoborane|iron boride|strontium hexaboride|diboron tetrafluoride|phenylmercury borate|Q4348635|ditungsten pentaboride|boron arsenide|Yttrium boride|bis(pinacolato)diborane|manganese borate|molybdenum monoboride|boron trifluoride-diethyl etherate|tetrafluoroboric acid|rhenium boride|Q16705824|trinickel boride|molybdenum boride|borazine|Q18590293|jimboite|Q26207773|sodium triethylborohydride|Q15628019|Q15627937|yttrium borides|Q20979858|boron carbide|Q18212013|niobium diboride|zirconium borohydride|ferroboron|borole|manganese boride|Q4161095|magnesium borate|copper ditetrafluoroborate|diboron tetrachloride|Q18211686|boron phosphide|Ruthenium boride|Praseodymium hexaboride|magnesium diboride|Organotrifluoroborate|borate|calcium hexaboride|tungsten diboride|nitronium tetrafluoroborate","has part(s)"
"","","","kaliborite|calciborite|boromullite|fluoborite|boralsilite|Boron|boromuscovite|strontioborite|boracite|knasibfite|pentahydroborite|borax|borocookeite|calcybeborosilite-(Y)","named after"
"","","","Henri Moissan|Humphry Davy|Louis Jacques Thénard|Joseph Louis Gay-Lussac","discoverer or inventor"
"","","","1892-01-01T00:00:00Z|1808-06-30T00:00:00Z","time of discovery or invention"
"","","","231-151-2","EC number"
"","","","boron-13|boron-8|boron-16|boron-7|boron-14|boron-20|boron-19|boron-6|boron-18|boron-21|boron-15|boron compound|boron-10|boron-11|boron-17|metalloid|boron-9|boron-12","subclass of"
"","","","Boron","Commons gallery"
"","","","Meyers Konversations-Lexikon, 4th edition (1885–1890)|Encyclopædia Britannica 11th edition|Brockhaus and Efron Encyclopedic Dictionary|Armenian Soviet Encyclopedia|Small Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","β-tetragonal boron|β-rhombohedral boron|jadarite|borospherene|α-rhombohedral boron|γ-boron|borophene|α-tetragonal boron","made from material"
"","","","2180|2077|2075","melting point"
"","","","5462311","PubChem CID"
"","","","InChI=1S/B","InChI"
"","","","lithophile|simple substance|chemical element","instance of"
"","","","10.81","mass"
"","","","3650|4000","boiling point"
"","","","8030","ZVG number"
"","","","2|3|1","oxidation state"
"","","","B","element symbol"
"","","","Narayan Sadashiv Hosmane|Ken M Harrow","field of work"
"","","","546.671","Dewey Decimal Classification"
"","","","5","atomic number"
"","","","1s² 2s² 2p¹|[He] 2s² 2p¹","electron configuration"
"","","","2080|2.46","density"
"","","","2","electronegativity"
"","","","period 2|boron compound|group 13","part of"
"","","","Louis Jacques Thénard","notable work"
"","","","DTXCID503922","DSSTOX compound identifier"
"","","","[B]","canonical SMILES"
"","","","N9E3X5056Q","UNII"
"","","","D01.268.513.500","MeSH tree code"
"","","","5700","ultimate tensile strength"
"","","","C0006030","UMLS CUI"
"","","","Boron","Commons category"
