"last","Siegemund|Fairhurst|Feiring|Behr|Schwertfeger|Cue|Schmiegel|Smart|McKusick|Carlson|Vogel|Faron|Devilliers|Jaccaud|Chippendale|Meusinger|Aigueperse|Mollard|Chemla|Romano","","",""
"pages","381|609|495|397","","",""
"primaryTopic","Fluorine","","",""
"knownFor","Karl_O._Christe|Larned_B._Asprey|Henri_Moissan|Paul_Lebeau|Alan_Brisdon|André-Marie_Ampère|Ernst_David_Bergmann","","",""
"title","Fluoropolymers, Organic|Fluorine|Fluorine Compounds, Organic|Fluorine Compounds, Inorganic|Nuclear Magnetic Resonance and Electron Spin Resonance Spectroscopy","","",""
"talk","Fluorine for Dental Care?","","",""
"products","Fluorsid","","",""
"volume","15","","",""
"product","Fluorsid","","",""
"isPrimaryTopicOf","Fluorine","","",""
"isbn","3527306730","","",""
