"title","Effect of helium on a human voice","","",""
"products","Inox_Air_Products|QatarEnergy","","",""
"label","Breathing mixtures|Cryogenics|Leak detection|Controlled atmospheres|Pressurizing and purging|Welding","","",""
"product","Inox_Air_Products|QatarEnergy|BOC_Kenya_Limited","","",""
"type","Double_Eagle_II|21st_Century_Airships_SPAS_13","","atmophile element|chemical element","instance of"
"atmosphereComposition","Moon","","",""
"knownFor","Norman_Lockyer|Heinrich_Kayser|Willem_Hendrik_Keesom","","",""
"book","Noble gases|Period 1 elements|Chemical elements|Helium","","",""
"isPrimaryTopicOf","Helium","","",""
"primaryTopic","Helium","","",""
"chemical","Atmosphere_of_Venus|Atmosphere_of_Mercury","","He","chemical formula"
"","","","solid helium|noble gases|s-block|helium-6|liquid helium|helium-3|helium-7|helium-9|helium-4|helium-2|helium-5|helium-8|nonmetal|helium-10","subclass of"
"","","","coolant|food additive|component|lifting gas","has use"
"","","","23987","PubChem CID"
"","","","206GF3GB41","UNII"
"","","","1.000036","refractive index"
"","","","Seagate Exos X18 18 TB|intracluster medium|disodium helide|nonmetal|hydridohelium(1+)|lithium helide|helium dimer|Q9361617|helium trimer|s-block|heliox|trimix|noble gases|gas giant","has part(s)"
"","","","-452.07|-268.9","boiling point"
"","","","He","element symbol"
"","","","Great Soviet Encyclopedia (1926–1947)|Encyclopædia Britannica 11th edition|Q2041543|Brockhaus and Efron Encyclopedic Dictionary|Granat Encyclopedic Dictionary|Armenian Soviet Encyclopedia|Small Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","1s²","electron configuration"
"","","","2","atomic number"
"","","","natural-gas processing","by-product of"
"","","","Helium","Commons category"
"","","","Heliumstraat|Helios|Q157693","named after"
"","","","[He]","canonical SMILES"
"","","","0.1785","density"
"","","","hydridohelium(1+)","conjugate acid"
"","","","natural-gas processing","by-product"
"","","","Space-One|Q3144679|atmosphere of Earth|solar prominence|atmosphere of Saturn","made from material"
"","","","helium atom","manifestation of"
"","","","1868-08-18T00:00:00Z","time of discovery or invention"
"","","","4.002602","mass"
"","","","4.5","electronegativity"
"","","","E939","E number"
"","","","231-168-5","EC number"
"","","","C0018880","UMLS CUI"
"","","","anti-helium","antiparticle"
"","","","-458|-272.05|0.95","melting point"
"","","","period 1|noble gases","part of"
"","","","InChI=1S/He","InChI"
"","","","24111300","Common Procurement Vocabulary code"
"","","","126","standard molar entropy"
"","","","Next Generation Nuclear Plant|HTR-10|Energy Multiplier Module","coolant"
"","","","965|180","speed of sound"
"","","","helium mass spectrometer","uses"
"","","","D01.268.613.350|D01.362.641.352","MeSH tree code"
"","","","10640583","U.S. National Archives Identifier"
"","","","Norman Lockyer|William Ramsay|Pierre Janssen","discoverer or inventor"
"","","","7020","ZVG number"
"","","","DTXCID5016402","DSSTOX compound identifier"
