"knownFor","Johan_August_Arfwedson|William_Thomas_Brande","","",""
"products","James_Bay_project|Jadar_mine|Salar_de_Olaroz_mine|Pilbara_Minerals|Salar_de_Uyuni_mine|Jiajika_mine|Kamativi_mine|Thacker_Pass_Lithium_Mine|Salinas_Grandes_mine|Fortescue_Metals_Group|Kings_Mountain_Mine|Walkabout_Resources|Nordic_Mining|Greenbushes_mine|Bikita_mine|Manono-Kitolo_mine|Bessemer_City_mine|Alakhinskoye_mine|Vishnyakovskoe_mine","","",""
"book","Chemical elements|Period 2 elements|Alkali metals|Lithium","","",""
"product","Albemarle_Corporation|Xinjiang_Xinxin_Mining_Industry_Company|Pilbara_Minerals|Fortescue_Metals_Group|Walkabout_Resources|Nordic_Mining|Mineral_Resources_Limited|Energy_Exploration_Technologies|Avalon_Rare_Metals|Ganfeng_Lithium","","",""
"license","Lithium_(medication)","","",""
"naturalResources","Geography_of_the_Czech_Republic","","",""
"isPrimaryTopicOf","Lithium","","",""
"primaryTopic","Lithium","","",""
"","","","lithium oxide|Q16912945|lithiumnitride|zabuyelite|lithium silicate|lithium dihydrogen phosphate|Q20992451|Q18211655|lithium carbonate|lithium–iron disulfide battery|lithium urate|Q18211562|Lithium tetrachloroaurate|diplatinum lithium|lithium methoxide|Lithium diphenylphosphide|lithium hydroxide|lithium hypochlorite|lithium laurate|benzyllithium|Q18211634|pentalithium distannide|lithium gallate|sec-butyllithium|Q18211665|lithium battery|lithium stannide|lithium chloride|lithium acetate|lithium cobalt oxide|dilithium tetracyanoplatinate|lithium bromate|Q18211430|lithium aluminate|lithium chlorate|Q20992452|Q18212172|lithium iodate|Q18211924|Q26207783|lithium ore|lithium triethylborohydride|lithium amide|dilithium succinate|lithium hydroxystearate|Q18211489|Q18212252|lithium hydroperoxide|lithium nicotinate|lithium oxalate|Q18211629|allotrope of lithium|lithium niobate|lithium bicarbonate|Q18211512|N-butyllithium|Q18212108|lithium telluride|Q20992465|lithium salicylate|lithium helide|lithium diisopropylamide|lithium hexafluoroantimonate|jadarite|Q18212220|bismuth trilithium|alkali metal|lithium tetrahydridogallate|Lithium strontium orthosilicate|lithium bis(trimethylsilyl)amide|Q18211433|Q18212088|lithium benzoate|lithium polonide|FLiBe|Q20992449|phenyllithium|Lithium selenide|heptalithium distannide|lithium cyanide|lithium superoxide|Q26207782|lithium titanate|lithium hydride|lithium arsenate|L-selectride|Q18211486|lithium arsenide|lithium borate|Q20992456|lithium aluminum hydride|lithium hydrogen oxalate|lithium dialkylamide|Q18211926|lithium palmitate|Ethyl lithium|lithium lactate|lithium sulfide|dilithium|lithium selenate|lithium nitrate|Q26207781|Q18211638|lithium molybdate|lithium phosphate|lithium phosphide|lithium tantalate|lithium chlorite|Gilman reagent|Q18211941|lithium sulfate|lithium hexafluoroarsenate|lithiophilite|Q18211937|Q20992454|Q18212140|lithium-metal battery|Q18211632|Q20992461|lithium heptapalladium|lithium permanganate|methyllithium|lithium sulfite|lithium selenite|lithium stearate|lithium fluorosulfate|lithium potassium tartrate|lithium tetrafluoroborate|dipalladium trilithium|Q18211942|lithium tungstate|lithium orthosilicate|lithium imide|lithium naphthalenide|Q20992463|lithium azide|Q15628288|heptaplatinum lithium|lithium citrate|lithium bromide|Q18211650|lithium tetramethylpiperidide|Q4292969|lithium metaborate|Q20986110|Q18211932|lithium nitrite|rechargeable lithium-metal battery|Q18211640|Q20992459|lithium iodide|lithium borohydride|dipalladium lithium|lithium oxybate|tert-butyllithium|lithium chromate|lithium peroxide|lithium carbide|Q19614444|Q20980350|Q18211484|lithium thiocyanate|Q18211646|Q4419235|lithium ricinoleate|lithium-metagermanate|lithium fluoride|lithium formate monohydrate|lithium dichromate|lithium perchlorate","has part(s)"
"","","","D01.552.528.480|D01.268.557.290|D01.552.547.290|D01.268.549.450","MeSH tree code"
