"book","Period 2 elements|Neon|Noble gases|Chemical elements","","",""
"chemical","Atmosphere_of_Venus","","Ne","chemical formula"
"atmosphereComposition","Moon","","",""
"primaryTopic","Neon","","",""
"field","Fred_Tschida|Paulina_Olowska|Hugo_Debaere|Michal_Martychowiec","","",""
"isPrimaryTopicOf","Neon","","",""
"","","","-246","boiling point"
"","","","InChI=1S/Ne","InChI"
"","","","[Ne]","canonical SMILES"
"","","","United Kingdom","location of discovery"
"","","","neon-20|neon-29|neon-33|neon-19|neon-23|neon-24|neon-28|noble gases|neon-22|neon-18|neon-15|neon-17|neon-21|neon-34|neon-27|neon-32|neon-26|neon-31|neon-25|neon-30|Clásica de Boyacá 2011|neon-16","subclass of"
"","","","Morris Travers|William Ramsay","discoverer or inventor"
"","","","C0027608","UMLS CUI"
"","","","Brockhaus and Efron Encyclopedic Dictionary|New Encyclopedic Dictionary|Armenian Soviet Encyclopedia|Small Brockhaus and Efron Encyclopedic Dictionary|The New Student's Reference Work","described by source"
"","","","146.2","standard molar entropy"
"","","","Transit Cloud|Signal-Echo|Motel Diver|atmosphere of Earth|Home of the Chowder King|Q86002332|Eyelight Lane|Colony|Yurts","made from material"
"","","","1.204|0.90035|1.444","density"
"","","","neonium ion","conjugate acid"
"","","","atmophile element|chemical element","instance of"
"","","","Neon","Commons gallery"
"","","","novelty","named after"
"","","","[He] 2s² 2p⁶|1s² 2s² 2p⁶","electron configuration"
"","","","period 2|So High|noble gases","part of"
"","","","noble gases|neox","has part(s)"
"","","","20.1797","mass"
"","","","23935","PubChem CID"
"","","","4VB4Y46AHD","UNII"
"","","","D01.362.641.592|D01.268.613.600","MeSH tree code"
"","","","7100","ZVG number"
"","","","10","atomic number"
"","","","Googie","uses"
"","","","Friendship Way","genre"
"","","","435","speed of sound"
"","","","-248.6","melting point"
"","","","Neon","Commons category"
"","","","1898-01-01T00:00:00Z","time of discovery or invention"
"","","","231-110-9","EC number"
"","","","DTXCID2047642","DSSTOX compound identifier"
"","","","Ne","element symbol"
