"formula","Red_diamond | Graphite | Diamond | Blue_diamond | Cliftonite | Carbonado | Pink_diamond",C,"C","chemical formula"
"academicDiscipline","Peter_Smith_(biologist) | Colin_Prentice","","",""
"melt","Pink_diamond | Diamond | Red_diamond | Blue_diamond","","",""
"knownFor","Ryoo_Ryong | Jean_Stas | Sergey_Zimov","","",""
"primaryTopic","Carbon","","",""
"industry","Centergazservice-opt | CoroWare","","",""
"division","Morgan_Advanced_Materials","","",""
"composition","Coal","","",""
"isPrimaryTopicOf","Carbon","","",""
"type","Centennial_Light",atmophile element | chemical element,"microporous carbon | atmophile element | chemical element","instance of"
