"isbn","3527306730","","",""
"isPrimaryTopicOf","Fluorine","","",""
"last","Chemla | Mollard | Chippendale | Feiring | Fairhurst | Faron | Romano | Devilliers | Cue | Vogel | Aigueperse | Carlson | Behr | Schmiegel | Smart | Meusinger | Jaccaud | McKusick | Siegemund | Schwertfeger","","",""
"title","Fluorine | Fluorine Compounds, Inorganic | Nuclear Magnetic Resonance and Electron Spin Resonance Spectroscopy | Fluoropolymers, Organic | Fluorine Compounds, Organic","","",""
"products","Fluorsid","","",""
"pages","397 | 609 | 381 | 495","","",""
"knownFor","André-Marie_Ampère | Henri_Moissan | Karl_O._Christe | Larned_B._Asprey | Paul_Lebeau | Alan_Brisdon | Ernst_David_Bergmann","","",""
"volume","15","","",""
"product","Fluorsid","","",""
"primaryTopic","Fluorine","","",""
"talk","Fluorine for Dental Care?","","",""
