"reflector","North_Carolina_State_University_reactor_program | BES-5 | Ghana_Research_Reactor-1 | Advanced_Test_Reactor | Romashka_reactor","","",""
"knownFor","Antoine_Bussy | Charles_Lathrop_Parsons | Louis_Nicolas_Vauquelin","","",""
"primaryTopic","Beryllium","","",""
"products","Yermakovsky_mine | Kalesay_mine","","",""
"isPrimaryTopicOf","Beryllium","","",""
"product","Xinjiang_Xinxin_Mining_Industry_Company","","",""
"species","no","","",""
"contaminants","Halaco_Engineering_Co.","","",""
"","","","C0005139","UMLS CUI"
"","","","beryllium hydride | beryllium selenate tetrahydrate | Q20980323 | beryllium borohydride | beryllium acetate | beryllium sulfate | Q4161311 | alkaline earth metal | beryllium bromide | heneicosaberyllium pentanickel | beryllium oxyacetate | Q4456667 | beryllium carbide | beryllium oxalate | E-Material | beryllium selenide | beryllium chloride | Beryllocene | platinum-beryllium | beryllium fluoride | beryllium telluride | Q20980324 | beryllium oxide hexaformate | Q20980322 | beryllium sodium fluoride | beryllium nitrate | dirhodium heptadecaberyllium | diberyllium triniobium | platinum pentaberyllium | platinum dodecaberyllium | Beryllium sulfide | FLiBe | beryllium-polonium | Q18212062 | Q20980319 | Beryllium carbonate | Fluoroberyllate | Q20980317 | beryllium copper | Q20980320 | Q20980318 | beryllium iodide | triberyllium niobium | beryllate | Q20980325 | Q21519590 | beryllium phosphate | Q17462425 | Q21519603 | ammonium tetrafluoroberyllate | diberyllium niobium | palladium-beryllium | beryllium-nickel | tetrafluoroberyllate(2-) | beryllide | beryllium hydroxide | beryllium oxide | beryllium silicate | Nivaflex | dimethylberyllium | Q20980315 | beryllium hydrogen phosphate | beryllium acetylacetonate","has part(s)"
"","","","0.002","time-weighted average exposure limit"
"","","","calcybeborosilite-(Y) | berborite | beryllocordierite-Na | asbecasite | beryllonite | behoite | babefphite | beryl | liberite | bearsite | nabesite","named after"
"","","","beryllium-14 | beryllium-6 | beryllium-15 | beryllium-13 | metal | beryllium-7 | beryllium-9 | beryllium-5 | beryllium-8 | beryllium-12 | beryllium-11 | beryllium-10 | beryllium-16 | beryllium-17","subclass of"
"","","","berylliosis | acute beryllium poisoning","has effect"
"","","","2 | 1","oxidation state"
"","","","1278 | 2349","melting point"
"","","","0.27 | 0.45","ionic radius"
"","","","231-150-7","EC number"
"","","","Antoine Bussy | Friedrich Wöhler | Louis Nicolas Vauquelin","discoverer or inventor"
"","","","France","location of discovery"
"","","","DTXCID90875623","DSSTOX compound identifier"
"","","","simple substance | chemical element | lithophile | combustible powder","instance of"
"","","","Armenian Soviet Encyclopedia | Encyclopædia Britannica 11th edition | Great Soviet Encyclopedia (1926–1947) | Collier's New Encyclopedia, 1921 | Meyers Konversations-Lexikon, 4th edition (1885–1890) | Small Brockhaus and Efron Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","acute beryllium poisoning","associated hazard"
"","","","D01.268.552.075 | D01.268.557.080 | D01.552.547.080","MeSH tree code"
"","","","Sonambient Sculpture | Yamaha NS-2000 | beryl","made from material"
"","","","acute beryllium poisoning | berylliosis","has cause"
"","","","5460467","PubChem CID"
"","","","[He] 2s² | 1s² 2s²","electron configuration"
"","","","1798-01-01T00:00:00Z","time of discovery or invention"
"","","","2970 | 4532","boiling point"
"","","","546.391 | 669.724","Dewey Decimal Classification"
"","","","25000000","electrical conductivity"
"","","","8020","ZVG number"
"","","","16265","Gmelin number"
"","","","period 2 | alkaline earth metal","part of"
"","","","Beryllium","Commons category"
"","","","0.0005","ceiling exposure limit"
"","","","2","electronegativity"
"","","","InChI=1S/Be","InChI"
"","","","4","atomic number"
"","","","0","vapor pressure"
"","","","1.85","density"
"","","","Be","chemical formula"
"","","","Be","element symbol"
"","","","OW5102UV6N","UNII"
"","","","DS1750000","RTECS number"
"","","","Beryllium","Commons gallery"
"","","","9.0121831","mass"
"","","","4","immediately dangerous to life or health"
"","","","[Be]","canonical SMILES"
