"fields","William_Lipscomb","","",""
"knownFor","Norman_Greenwood | Hermann_Irving_Schlesinger | Humphry_Davy","","",""
"industries","Economy_of_Turkey","","",""
"book","Boron group | Boron | Period 2 elements | Chemical elements","","",""
"product","Allkem","","",""
"products","Jadar_mine | Wengquangou_mine | Emet_mine | Bigadiç_mine | Kırka_mine","","",""
"formula","Blue_diamond",B,"B","chemical formula"
"isPrimaryTopicOf","Boron","","",""
"academicDiscipline","William_Lipscomb","","",""
"primaryTopic","Boron","","",""
"","","","osmium diboride | boron monofluoride | benzeneboronic acid | ditungsten pentaboride | boron trifluoride | cadmium tetrafluoroborate | diboron tetrachloride | boron trifluoride-diethyl etherate | Q18211739 | calcium tetraborate | beryllium borohydride | boron sulfide | trinickel boride | Q18212019 | Q19613963 | potassium tetraborate | borax | silver tetrafluoroborate | sodium perborate monohydrate | Q4419238 | tetrahydroxydiboron | Q18211893 | Q4419240 | lithium triethylborohydride | borirane | trimethyl borate | Organotrifluoroborate | Q15627983 | rubidium borohydride | caesium borohydride | bis(pyridine)iodonium(I) tetrafluoroborate | borohydride | magnesium borohydride | Praseodymium tetraboride | sodium cyanoborohydride | Q18212013 | borate ester | tetrafluoroboric acid | boron arsenide | Q17562755 | Iron monoboride | Q18816981 | Q19521755 | magnesium diboride | manganese boride | Q16705824 | organoboron compound | vanadium diboride | diammonium tetraborate | Q4348635 | diborane(6) | bromodiiodoborane | Dinickel boride | Q15627937 | Q18590293 | yttrium borides | decaborane | Q20979854 | disiamylborane | Q7516570 | lithium borohydride | trimethylborane | sodium calcium borate | molybdenum boride | potassium tetrafluoroborate | manganese borate | potassium tetrahydroborate | nitronium tetrafluoroborate | borate mineral | Q4419226 | Q15628019 | borazine | niobium diboride | phenylmercury borate | magnesium borate | Bobbitt's salt | Q18211686 | sodium tetrafluoroborate | sodium tetraphenylborate | borabenzene | Q15628399 | neodymium magnet | Q15628405 | borotorpex | ammonium tetrafluoroborate | lithium tetrafluoroborate | Q19613966 | Q20979861 | boroxine | triethylborane | Q18211650 | tetraborane(10) | Q20979857 | Q18211792 | hexaborane | boron compound | hexaborane(12) | trifluoroborane--ammonia (1/1) | chromium(III) boride | jadarite | Q20979859 | oxidoboron | cobalt boride | sodium borohydride | lithium metaborate | orthoboric acid | boron carbide | borane | strontium hexaboride | Q19521747 | calcium borate | titanium diboride | potassium metaborate | Q15628219 | Lanthanum hexaboride | yttrium diboride | Q4348650 | Q4161194 | borate | nickel boride | iron boride | Q4161095 | rhenium boride | magnesium metaborate | borole | Ruthenium boride | Q18211714 | Q19521749 | 9-borabicyclo[3.3.1]nonane | tantalum diboride | lithium borate | boron triiodide | Q27458645 | group 13 | 1-chloromethyl-4-fluoro-1,4-diazobicyclo(2.2.2)octane bis(tetrafluoroborate) | rhenium diboride | Q20979860 | boron trichloride | L-selectride | Q26207773 | calcium hexaboride | allotrope of boron | scandium dodecaboride | Q18203026 | Triborane(7) | Q20979858 | tungsten diboride | catecholborane | bis(pinacolato)diborane | boron nitride | calcium metaborate | Praseodymium hexaboride | sodium triethylborohydride | diboron trioxide | Q4161097 | copper(II) metaborate | pentaborane(11) | barium metaborate | molybdenum monoboride | Yttrium boride | Q18203024 | zirconium borohydride | copper ditetrafluoroborate | Q4161096 | sodium metaborate | europium hexaboride | Q18211705 | boron phosphide | ferroboron | diboron tetrafluoride | boratabenzene | Q4161100 | Q19521743 | Q15628020 | nitrosonium tetrafluoroborate | Q15628400 | tungsten boride | borospherene | ditungsten boride | jimboite | triethyloxonium tetrafluoroborate | zirconium diboride | sodium tetrahydroxyborate | hafnium diboride","has part(s)"
"","","","boron-8 | boron-12 | boron-13 | boron-21 | boron-6 | boron-14 | boron-10 | boron-11 | boron-19 | boron-18 | boron-7 | boron-9 | boron-16 | boron-15 | boron-17 | boron-20 | boron compound | metalloid","subclass of"
"","","","calcybeborosilite-(Y) | calciborite | knasibfite | strontioborite | borax | boracite | borocookeite | boralsilite | boromuscovite | Boron | kaliborite | pentahydroborite | boromullite | fluoborite","named after"
"","","","2 | 3 | 1","oxidation state"
"","","","5700","ultimate tensile strength"
"","","","[B]","canonical SMILES"
"","","","D01.268.513.500","MeSH tree code"
"","","","borospherene | α-rhombohedral boron | β-rhombohedral boron | α-tetragonal boron | β-tetragonal boron | jadarite | γ-boron | borophene","made from material"
"","","","simple substance | chemical element | lithophile","instance of"
"","","","Armenian Soviet Encyclopedia | Encyclopædia Britannica 11th edition | Meyers Konversations-Lexikon, 4th edition (1885–1890) | Small Brockhaus and Efron Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","N9E3X5056Q","UNII"
"","","","Joseph Louis Gay-Lussac | Henri Moissan | Louis Jacques Thénard | Humphry Davy","discoverer or inventor"
"","","","Narayan Sadashiv Hosmane | Ken M Harrow","field of work"
"","","","5462311","PubChem CID"
"","","","boron compound | group 13 | period 2","part of"
"","","","2.46 | 2080","density"
"","","","1808-06-30T00:00:00Z | 1892-01-01T00:00:00Z","time of discovery or invention"
"","","","3650 | 4000","boiling point"
"","","","2075 | 2180 | 2077","melting point"
"","","","5","atomic number"
"","","","546.671","Dewey Decimal Classification"
"","","","8030","ZVG number"
"","","","C0006030","UMLS CUI"
"","","","InChI=1S/B","InChI"
"","","","Boron","Commons category"
"","","","10.81","mass"
"","","","231-151-2","EC number"
"","","","1s² 2s² 2p¹ | [He] 2s² 2p¹","electron configuration"
"","","","B","element symbol"
"","","","DTXCID503922","DSSTOX compound identifier"
"","","","2","electronegativity"
"","","","Louis Jacques Thénard","notable work"
"","","","Boron","Commons gallery"
