"knownFor","Augustus_Matthiessen | Humphry_Davy","","",""
"book","Chemical elements | Alkaline earth metals | Period 4 elements | Calcium","","",""
"last","Hluchan | Pomerantz","","",""
"license","Calcium_supplement","","",""
"chemical","Atmosphere_of_Mercury",Ca,"Ca","chemical formula"
"primaryTopic","Calcium","","",""
"isPrimaryTopicOf","Calcium","","",""
"medication | treatment","Premenstrual_syndrome | Rickets",hyperkalemic periodic paralysis | Premenstrual_syndrome | Rickets,"hyperkalemic periodic paralysis","possible treatment"
"title","Calcium and Calcium Alloys","","",""
"medicalCause","Rickets","","",""
"","","","dipalladium pentacalcium | Renin-angiotensin-aldosterone system (RAAS) | alkaline earth metal | calcium aluminium hydride | dicalcium stannide | Q16705824 | dipalladium calcium | calcium chlorate | calcium nitride | calcium ferrocyanide | dicalcium heptanickel | monocalcium phosphate | Calcium silicate | calcium hydroxyphosphate | calcium bisulfite | calcium trinickel | calcium gluconate | calcium dithiocyanate | calcium propionate | Q16712469 | calcium phosphite | Q16681086 | Valio ValSa milk salt | soda-lime glass | calcium hydroxide | calcium iodate | calcium magnesium dicarbonate | Chemokine signaling pathway | Orexin receptor pathway | Q20984963 | Q16676068 | calcium silicate hydrate | ErbB signaling pathway | calcium telluride | calcium tetraborate | calcium peroxide | Q16626311 | calcium benzoate | calcium sulfide | calcium palmitate | calcium bicarbonate | calcium chloride | calcium oxide | calcium sulfite | calcium nitrite | calcium chromate | Q20984964 | tricalcium phosphate | calcium dinickel | Q18211931 | dipalladium tricalcium | Q16715969 | calcium oleate | calcium nitrate | Q116150066 | Amyotrophic lateral sclerosis (ALS) | calcium molecular entity | Q16534043 | calcium bromate | calcium hexaboride | calcium succinate | FGF23 signaling in hypophosphatemic rickets and related disorders | Q20984967 | calcium metaborate | calcium iodide | Calcium tellurite | calcium oxalate | Non-small cell lung cancer | calcium hydride | superphosphate | calcium metaphosphate | silico-calcium | calcium amide | calcium molybdate | calcium pentanickel | Serotonin receptor 2 and ELK-SRF/GATA4 signaling | heptaplatinum dicalcium | calcium carbide | calcium polonide | calcium citrate | calcium acetate | sodium calcium borate | Q20984965 | calcium bromide | calcium stannide | calcium arsenate | Regucalcin in proximal tubule epithelial kidney cells | calcium hypochlorite | diplatinum calcium | Q16626316 | volkonskoite | calcium borate | tricalcium silicon pentaoxide | calcium azide | calcium tristannide | calcium fluoride | Romaine lettuce | calcium monosilicide | Arrhythmogenic right ventricular cardiomyopathy | calcium formate | calcium stearate | calcium cyanide | calcium perchlorate | World Health Organization Model List of Essential Medicines | Calcium selenide | calcium monophosphide | calcium hexafluorosilicate | calcium dithionate | MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement | Calcium ferricyanide | calcium sulfate | calcium dihydrosulfide | calcium carbonate | diplatinum tricalcium | calcium tungstate | calcium DL-lactate | calcium chlorite | calcium dichromate | calcium cyanamide | calcium thiosulfate | calcium orthoplumbate(IV) | calcium salt | calcium sulfate dihydrate | calcium titanate | Q4155846 | calcium phosphide | calcium hypophosphite | calcium pyrophosphate | Q13169215 | calcium permanganate | Major receptors targeted by epinephrine and norepinephrine | Q16683482 | calcium 2-glycerophosphate | Q4463082 | Q16695987 | calcium silicide | calcium L-tartrate | Hepatitis B infection | Q20979782 | calcium aluminates | Q20984961 | Thyroid hormones production and peripheral downstream signaling effects | calcium compounds | calcium fluoride phosphate | dicalcium silicide | hydroxylapatite | dicalcium phosphate | Q15725536 | calcium chloride dihydrate | Q20984968 | calcium stannate","has part(s)"
"","","","oxycalciopyrochlore | betpakdalite-CaMg | calcybeborosilite-(Y) | camgasite | phillipsite-Ca | calciotantite | calciopetersite | calciborite | whiteite-(CaMnMn) | whiteite-(CaMgMg) | chlorocalcite | clinoptilolite-Ca | phurcalite | formicaite | fluorcaphite | nacaphite | calcioburbankite | nacareniobsite-(Ce) | calciohilairite | calciodelrioite | calcioursilite | calcioveatchite | heulandite-Ca | znucalite | tsepinite-Ca | hydrocalumite | bacaferrite | gmelinite-Ca | niocalite | calciosamarskite | lime | cafeosite | dachiardite-Ca | hydroxycalcioroméite | fluorcalciobritholite | cafarsite | cavoite | calcioaravaipaite | paulingite-Ca | cascandite | oxycalciobetafite | oxycalcioroméite | hydroxycalciomicrolite | jahnsite-(CaFeMg) | gjerdingenite-Ca | thomsonite-Ca | calclacite | Calcium | fluorcalciopyrochlore | stilbite-Ca | erionite-Ca | calciouranoite | gismondine-Ca | calciopharmacoalumite | lévyne-Ca | canaphite | calcioancylite-(Ce) | fluorcalciomicrolite | calcurmolite | cafetite | hydroxycalciopyrochlore | calciolangbeinite | cavansite | calzirtite | faujasite-Ca | jahnsite-(CaMnMg) | chabazite-Ca | fluorcalcioroméite | garronite-Ca | calcioferrite | calcioandyrobertsite | jahnsite-(CaFeFe) | cayalsite-(Y) | beusite-(Ca) | calcio-olivine | mendozavilite-KCa | calciocatapleiite | asbecasite | nitrocalcite | jahnsite-(CaMnMn) | canasite | calcjarlite | betpakdalite-NaCa | jahnsite-(CaMnFe) | caysichite-(Y) | chukhrovite-(Ca) | whiteite-(CaMnMg) | calciomurmanite | calcinaksite | barytocalcite | calciocopiapite | phosphovanadylite-Ca | whiteite-(CaFeMg)","named after"
"","","","calcium-44 | calcium-42 | calcium-49 | calcium-54 | calcium-57 | calcium-46 | calcium-53 | calcium-38 | calcium-35 | calcium-47 | calcium-56 | calcium-51 | calcium-52 | alkaline earth metal | calcium-58 | calcium-36 | calcium-45 | Q10542585 | calcium-41 | calcium-43 | calcium-39 | calcium-50 | calcium-37 | calcium-40 | calcium-48 | calcium-59 | calcium-55 | calcium-34 | calcium-60","subclass of"
"","","","2 | 1","oxidation state"
"","","","1483.85","boiling point"
"","","","Q6161957 | Boí | Fonter | Font Agudes | Pineo | Aquarel | San Narciso | Vichy Catalan | Font d'Or | Font Vella | Aigua de Vilajuïga | Sant Aniol | Fontdalt | Font Nova del Pla | Aigua de Ribes | Fontboix | Imperial | Aigua de Salenys | Euroacqua | Malavella | Estrella | Sant Hilari | Font del Regàs | Les Creus","has listed ingredient"
"","","","546.393 | 669.725 | 572.516 | 612.3924","Dewey Decimal Classification"
"","","","[Ar] 4s² | 1s² 2s² 2p⁶ 3s² 3p⁶ 4s²","electron configuration"
"","","","chemical element | essential medicine | lithophile","instance of"
"","","","134 | 1 | 1.12 | 1.23","ionic radius"
