"industry","CoroWare | Centergazservice-opt","","",""
"formula","Carbonado | Red_diamond | Graphite | Blue_diamond | Cliftonite | Diamond | Pink_diamond",C,"C","chemical formula"
"melt","Red_diamond | Blue_diamond | Diamond | Pink_diamond","","",""
"academicDiscipline","Colin_Prentice | Peter_Smith_(biologist)","","",""
"division","Morgan_Advanced_Materials","","",""
"knownFor","Jean_Stas | Sergey_Zimov | Ryoo_Ryong","","",""
"primaryTopic","Carbon","","",""
"type","Centennial_Light",Centennial_Light | chemical element | atmophile element | microporous carbon,"chemical element | atmophile element | microporous carbon","instance of"
"composition","Coal","","",""
"isPrimaryTopicOf","Carbon","","",""
