"isPrimaryTopicOf","Fluorine","","",""
"last","Jaccaud | Vogel | Meusinger | Schwertfeger | Romano | Cue | Mollard | Carlson | Chippendale | McKusick | Behr | Faron | Devilliers | Feiring | Aigueperse | Siegemund | Chemla | Fairhurst | Smart | Schmiegel","","",""
"pages","495 | 397 | 381 | 609","","",""
"product","Fluorsid","","",""
"knownFor","André-Marie_Ampère | Henri_Moissan | Karl_O._Christe | Larned_B._Asprey | Paul_Lebeau | Alan_Brisdon | Ernst_David_Bergmann","","",""
"title","Fluorine Compounds, Inorganic | Fluorine | Fluoropolymers, Organic | Nuclear Magnetic Resonance and Electron Spin Resonance Spectroscopy | Fluorine Compounds, Organic","","",""
"primaryTopic","Fluorine","","",""
"products","Fluorsid","","",""
"isbn","3527306730","","",""
"talk","Fluorine for Dental Care?","","",""
"volume","15","","",""
