"block","Chrysler_Pentastar_engine | GM_small_gasoline_engine | Alfa_Romeo_Twin_Cam_engine | Hyundai_Theta_engine | Nissan_VH_engine | Mazda_L_engine | Hyundai_Nu_engine | Toyota_GR_engine | Skyactiv | Mercedes-Benz_OM642_engine | Toyota_NZ_engine | Honda_K_engine | BMW_S85 | Mercedes-Benz_M120_engine | Hyundai_Lambda_engine | V6_PRV_engine | Toyota_ZZ_engine | Suzuki_R_engine | Mazda_MZR_engine | Mazda_Z_engine | Nissan_VEJ30_engine | Mitsubishi_4N1_engine | Hyundai_Smartstream_engine | Nissan_VK_engine | Jaguar_AJ-V6_engine | Volvo_Modular_engine | Suzuki_K_engine | Hyundai_Omega_engine | Hyundai_Kappa_engine | Nissan_VRH_engine | Volvo_D5_engine | Hyundai_Gamma_engine | Alfa_Romeo_Twin_Spark_engine","","",""
"product","Viohalco | Egyptalum | Aleris | Industrial_Promotion_&_Investment_Corporation_of_Odisha | Iranian_Aluminium_Company | Orkla_ASA | Emirates_Global_Aluminium | Showa_Denko | Norsk_Hydro | Alro_Slatina | South32 | Mytilineos_Holdings | Bharat_Aluminium_Company | Aluar | Khakas_Aluminium_Smelter | Anglesey_Aluminium | Furukawa_Electric | Aluminium_of_Greece | Companhia_Brasileira_de_Alumínio | Halyvourgiki_Hellenic_Steel_Industry | National_Aluminium_Company | Liberty_Steel_Group | Hindalco_Industries | Albras | Sibplaz | Alumina_Limited | Boguchany_Aluminium_Smelter | Alumil_Aluminium_Industry_S.A. | Impol_Seval | Slovalco | Novelis | Mozal | Rio_Tinto_(corporation) | Rusal | Talum | Vedanta_Limited","","",""
"industry","ETEM | Emirates_Global_Aluminium | Inalum | Navard_Aluminium | Hulamin | Nordic_Aluminium | Oknoplast | Slovalco | Hydro_Husnes | Mozal | Aluminium_Bahrain | Rusal | Talum | Albras | Egyptalum | Årdal_og_Sunndal_Verk | Shandong_Weiqiao_Pioneering_Group | Log_9_Materials | Piesslinger | Alro_Slatina | Pechiney | Bharat_Aluminium_Company | Aluar","ETEM | Emirates_Global_Aluminium | Inalum | Navard_Aluminium | Hulamin | Nordic_Aluminium | Oknoplast | Slovalco | Hydro_Husnes | Mozal | Aluminium_Bahrain | Rusal | Talum | Albras | Egyptalum | Årdal_og_Sunndal_Verk | Shandong_Weiqiao_Pioneering_Group | Log_9_Materials | Piesslinger | Alro_Slatina | Pechiney | Bharat_Aluminium_Company | Aluar | Hydro Extruded Solutions | Aluworks | Nedal Aluminium","Nedal Aluminium","industry"
"carbody","British_Rail_Class_166 | _121 | ED4_(Electric_trainset) | Toei_5300_series | BVG_Class_F | British_Rail_Class_720 | CAF_Cepia | British_Rail_Class_710 | British_Rail_Class_450 | Stadler_KISS | British_Rail_Class_331 | British_Rail_Class_801 | Streamliners_(Illinois_Terminal_Railroad) | Stadler_WINK | British_Rail_Class_230 | British_Rail_Class_395 | British_Rail_Class_360 | British_Rail_Class_755 | EM4_Electric_Trainset | E4_Series_Shinkansen | CAF_Oaris | British_Rail_Class_555 | BVG_Class_A3 | British_Rail_Class_231 | IC4 | British_Rail_Class_165 | Kolkata_Metro_rolling_stock | HS2_rolling_stock | EMU-320 | British_Rail_Class_151 | Vivarail_D-Train | British_Rail_Class_745 | ER2_electric_trainset | IC3 | Lastochka | British_Rail_Class_800 | British_Rail_Class_374 | MP_05 | British_Rail_Class_803 | British_Rail_Class_466 | MP_89 | British_Rail_Class_700 | British_Rail_Class_159 | KTX-Eum | Toei_12-000_and_12-600_series | Korail_Class_210000 | British_Rail_Class_756 | British_Rail_Class_777 | LRC_(train) | British_Rail_Class_465 | British_Rail_Class_802 | Tempo_(railcar) | ICE_1 | British_Rail_Class_717 | British_Rail_Class_158 | British_Rail_Class_810","","",""
"blockAlloy","Hyundai_Kappa_engine | Nissan_VRH_engine | Volvo_D5_engine | Hyundai_Gamma_engine | BMW_N20 | Honda_K_engine__Honda_K23A_i-VTEC_Turbo__1 | Alfa_Romeo_Twin_Spark_engine | Honda_K_engine__K20C_Earth_Dreams_VTEC_Turbo__1 | Chrysler_Pentastar_engine | GM_small_gasoline_engine | Hyundai_Theta_engine | Cosworth_DFV__Cosworth_DFZ__1 | Cosworth_DFV__Cosworth_DFY__1 | Nissan_VH_engine | Mazda_L_engine | TVR_Speed_Eight_engine | Hyundai_Nu_engine | Skyactiv | Mercedes-Benz_OM642_engine | Toyota_NZ_engine | Cosworth_DFV__Cosworth_DFR__1 | Honda_K_engine__K20C_&_K20Z_Earth_Dreams_i-VTEC__1 | Mercedes-Benz_M120_engine | Hyundai_Lambda_engine | V6_PRV_engine | Toyota_ZZ_engine | Alfa_Romeo_Twin_Cam_engine | Cosworth_DFV__Cosworth_DFL__1 | Suzuki_R_engine | Mazda_MZR_engine | Mazda_Z_engine | Nissan_VEJ30_engine | Cosworth_DFV | Mitsubishi_4N1_engine | Hyundai_Smartstream_engine | Nissan_VK_engine | Jaguar_AJ-V6_engine | Volvo_Modular_engine | Volvo_B8444S_engine | Suzuki_K_engine | BMW_S85 | Rover_V8_engine | Hyundai_Omega_engine","","",""
"headAlloy","Suzuki_R_engine | IKCO_EF_engines | BL_O-series_engine | Triumph_slant-four_engine | Mazda_MZR_engine | Mazda_FE-DOHC_engine | Mazda_Z_engine | Nissan_FJ_engine | Nissan_RB_engine | Nissan_VEJ30_engine | Cosworth_DFV | Nissan_VRH_engine | Hyundai_Alpha_engine | GM_Family_0_engine | BMW_N20 | Jaguar_AJ-V6_engine | Honda_K_engine__Honda_K23A_i-VTEC_Turbo__1 | Volvo_Modular_engine | Volvo_Redblock_Engine | Renault_K-Type_engine | Alfa_Romeo_Twin_Spark_engine | Toyota_R_engine | Chrysler_Pentastar_engine | Tatra_138__T_928__1 | GM_small_gasoline_engine | Rover_V8_engine | GM_Family_1_engine | Ford_Barra_engine | Hyundai_Theta_engine | Cosworth_DFV__Cosworth_DFZ__1 | Cosworth_DFV__Cosworth_DFY__1 | Nissan_VH_engine | Mazda_L_engine | GM_Ecotec_Diesel_(1997) | TVR_Speed_Eight_engine | Hyundai_Nu_engine | Skyactiv | Hyundai_Kappa_engine | Volvo_D5_engine | Hyundai_Gamma_engine | Ford_Cologne_V6_engine | Nissan_L_engine | Toyota_A_engine | Suzuki_F_engine__Suzuki_F10D_engine__1 | Honda_K_engine__K20C_&_K20Z_Earth_Dreams_i-VTEC__1 | Honda_K_engine__K20C_Earth_Dreams_VTEC_Turbo__1 | Toyota_GR_engine__Toyota_GR_engine__1 | Mitsubishi_Sirius_engine | Mercedes-Benz_M120_engine | General_Motors_54°_V6_engine | Hyundai_Lambda_engine | V6_PRV_engine | Toyota_ZZ_engine | Alfa_Romeo_Twin_Cam_engine | Cadillac_V8_engine | Toyota_JZ_engine | Tatra_148__T2_928_E__1 | GM_Family_II_engine | Cosworth_DFV__Cosworth_DFL__1 | BMW_M40 | Opel_cam-in-head_engine | Nissan_YD_engine | Mitsubishi_4A3_engine | BMW_M42 | Mustang_(motorcycle) | Mercedes-Benz_OM642_engine | Fiat_TwinAir_engine__TwinAir_engine__1 | Fiat_128_SOHC_engine | Hyundai_Smartstream_engine | Nissan_VK_engine | Toyota_NZ_engine | Cosworth_DFV__Cosworth_DFR__1 | BMW_M88 | Volvo_B8444S_engine | Suzuki_K_engine | BMW_S85 | Hyundai_S_engine | BMW_M30 | Viper_engine | Ford_straight-six_engine","","",""
"name","Aluminum","","",""
"head","BMW_M40 | Nissan_YD_engine | Ford_Cologne_V6_engine | Nissan_L_engine | Toyota_A_engine | Suzuki_F_engine | Mitsubishi_Sirius_engine | Honda_K_engine | General_Motors_54°_V6_engine | Cadillac_V8_engine | Toyota_JZ_engine | GM_Family_II_engine | Tatra_138 | Suzuki_R_engine | Opel_cam-in-head_engine | Mitsubishi_4A3_engine | BMW_M42 | Hyundai_Alpha_engine | Toyota_NZ_engine | GM_Family_0_engine | BMW_M88 | Suzuki_K_engine | Volvo_Redblock_Engine | Hyundai_S_engine | Toyota_R_engine | BMW_M30 | Ford_straight-six_engine | Viper_engine | GM_Family_1_engine | Ford_Barra_engine | IKCO_EF_engines | Tatra_148 | Triumph_slant-four_engine | Mazda_FE-DOHC_engine | Nissan_FJ_engine | GM_Ecotec_Diesel_(1997) | Nissan_RB_engine | BMW_N20 | Renault_K-Type_engine | Fiat_TwinAir_engine | Chrysler_Pentastar_engine","","",""
"products","Aluminium_of_Greece | Companhia_Brasileira_de_Alumínio | Slovalco | Novelis | Mozal | Rusal | Vedanta_Limited | Albras | Egyptalum | Boguchany_Aluminium_Smelter | Impol_Seval | Talum | Alro_Slatina | South32 | Bharat_Aluminium_Company | Khakas_Aluminium_Smelter | Aleris | Anglesey_Aluminium | Halyvourgiki_Hellenic_Steel_Industry | Showa_Denko | Aluar | Alumina_Limited","","",""
"chassis","Parnelli_VPJ4 | Penske_PC4 | Lotus_79 | Shadow_DN5 | McLaren_M14A | Ferrari_458 | Lotus_29 | Brabham_BT50 | Shadow_DN3 | Ligier_JS19 | Tyrrell_011 | Brabham_BT46 | Lotus_49 | Shadow_DN1 | McLaren_M30 | ATS_D1 | Honda_RA300 | Tyrrell_004 | Arrows_A3 | Matra_MS120 | Tyrrell_001 | Tyrrell_008 | Hesketh_308E | Brabham_BT34 | Arrows_A1 | Arrows_A5 | Renault_RE20 | Lotus_56 | Ferrari_312 | Lotus_77 | Tyrrell_009 | March_711 | March_731 | Tyrrell_002 | Spirit_201 | March_811 | Matra_MS80 | Lotus_63 | McLaren_M19A | Williams_FW08 | Lotus_43 | Lotus_64 | McLaren_M28 | Lotus_72 | Tyrrell_006 | Shadow_DN8 | Eagle_Mk1 | Arrows_FA1 | Ligier_JS7 | Shadow_DN7 | Ligier_JS11 | Ligier_JS21 | March_761 | Lancia_LC2 | ATS_HS1 | Arrows_A6 | Lotus_81 | Jaguar_I-Pace_eTrophy_(racecar) | McLaren_M26 | Matra_MS11 | Renault_RS10 | Penske_PC3 | Tyrrell_003 | Lotus_35 | Toyota_88C-V | ATS_D5 | Ligier_JS9 | March_821 | McLaren_M23 | McLaren_M5A | RAM_01 | Ferrari_312B | Renault_RS01 | McLaren_M20 | Cooper_T81 | Tyrrell_007 | Lotus_25 | McLaren_M29 | Toyota_88C | Ferrari_Sigma | McLaren_M8A | Lotus_33 | Arrows_A4 | Williams_FW06 | Matra_MS7 | Honda_RA272 | Williams_FW07 | Tyrrell_005 | Brabham_BT48 | Honda_RA301 | Lotus_80 | Tyrrell_P34 | Matra_MS10 | Matra_MS9 | Ligier_JS5 | Lotus_78 | Penske_PC1 | Ligier_JS17 | McLaren_M4B | Arrows_A7 | 38 | Ensign_N179","Parnelli_VPJ4 | Penske_PC4 | Lotus_79 | Shadow_DN5 | McLaren_M14A | Ferrari_458 | Lotus_29 | Brabham_BT50 | Shadow_DN3 | Ligier_JS19 | Tyrrell_011 | Brabham_BT46 | Lotus_49 | Shadow_DN1 | McLaren_M30 | ATS_D1 | Honda_RA300 | Tyrrell_004 | Arrows_A3 | Matra_MS120 | Tyrrell_001 | Tyrrell_008 | Hesketh_308E | Brabham_BT34 | Arrows_A1 | Arrows_A5 | Renault_RE20 | Lotus_56 | Ferrari_312 | Lotus_77 | Tyrrell_009 | March_711 | March_731 | Tyrrell_002 | Spirit_201 | March_811 | Matra_MS80 | Lotus_63 | McLaren_M19A | Williams_FW08 | Lotus_43 | Lotus_64 | McLaren_M28 | Lotus_72 | Tyrrell_006 | Shadow_DN8 | Eagle_Mk1 | Arrows_FA1 | Ligier_JS7 | Shadow_DN7 | Ligier_JS11 | Ligier_JS21 | March_761 | Lancia_LC2 | ATS_HS1 | Arrows_A6 | Lotus_81 | Jaguar_I-Pace_eTrophy_(racecar) | McLaren_M26 | Matra_MS11 | Renault_RS10 | Penske_PC3 | Tyrrell_003 | Lotus_35 | Toyota_88C-V | ATS_D5 | Ligier_JS9 | March_821 | McLaren_M23 | McLaren_M5A | RAM_01 | Ferrari_312B | Renault_RS01 | McLaren_M20 | Cooper_T81 | Tyrrell_007 | Lotus_25 | McLaren_M29 | Toyota_88C | Ferrari_Sigma | McLaren_M8A | Lotus_33 | Arrows_A4 | Williams_FW06 | Matra_MS7 | Honda_RA272 | Williams_FW07 | Tyrrell_005 | Brabham_BT48 | Honda_RA301 | Lotus_80 | Tyrrell_P34 | Matra_MS10 | Matra_MS9 | Ligier_JS5 | Lotus_78 | Penske_PC1 | Ligier_JS17 | McLaren_M4B | Arrows_A7 | Ensign_N179","Zero-X","chassis"
