"products","Solvay_Indupa | SYSACCO | Olin_Corporation | Msufini_Tanzania_Limited","","",""
"label","Chemical_weapon","","",""
"isPartOf","target","","",""
"product","SYSACCO | Msufini_Tanzania_Limited | Olin_Corporation | PCC_SE | Solvay_Indupa | Nitol_Solar","","",""
"primaryTopic","Chlorine","","",""
"knownFor","Henry_Brunner | Carl_Wilhelm_Scheele | Henry_Deacon_(industrialist)","","",""
"isPrimaryTopicOf","Chlorine","","",""
"weapons","2014_Kafr_Zita_chemical_attack","","",""
"","","","potassium pentachloro(nitrido)osmate(2-) | sodium tetrachloroaluminate | vanadium(V) chloride | holmium chloride | sulfenyl chloride | magnesium hypochlorite | (RS)-cyclophosphamide | platinum(IV) chloride | gallium perchlorate | sertindole | aluminium chlorohydrate | tolbachite | potassium perchlorate | 2,3-dichloro-5,6-dicyanobenzoquinone | trichloroethylsilane | gold trichloride | NS-2359 | gallium(I,III) chloride | molybdenum dichloride dioxide | thorium dichloride | lithium chlorate | pyridine hydrochloride | perrhenyl chloride | Q4134955 | bis(diethylamino)chlorophosphine | HN-1 | Q15628194 | Q18211911 | Q15628068 | Q19614446 | dimethyl-dichloro-germane | chlorofluoroolefin | magnesium chlorate | mustard gas | ammonium chloride | mercury(I) perchlorate | (trimethylsilyl)methyl chloride | (+/-)-α-chlorohydrin | mercuric chloride | amlodipine | molybdenum oxytetrachloride | chromium(IV) chloride | manganese(III) chloride | cyanuric chloride | thulium chloride | osmium(III) chloride | cesium chloride | vinyl chloride | platinum(II,IV) chloride | strontium chloride | calcium chlorate | perchloryl fluoride | silicon trichloride fluoride | triphenylarsine dichloride | silicon chloride | Q18211450 | thorium trichloride | haloperidol | chlorine dioxide | ferrous chloride | cyclooctadiene iridium chloride dimer | curium(III) chloride | magnesium chloride | potassium chloride | fenethylline hydrochloride | phosphorous oxychloride | plutonium(IV)-cesium chloride | tungsten(II) chloride | Q4498207 | hydroxylammonium chloride | Q20979796 | trans-dichlorodiammineplatinum(II) | chlorine monofluoride | Q4505890 | hydrogen tetrachloroiodate(III) | sulfur dichloride | osmium(V) chloride | chloroauric acid | 1,3-dichloropropane | dichloromethane | Q18211681 | chlorodiphenylphosphine | 1,2-bis(dichlorophosphino)benzene | sucralose | indium(III) perchlorate | Q4461968 | chloric acid | carbobenzoxy chloride | ruthenium tetrachloride | Q16714119 | Q15628362 | protactinium(IV) chloride | Q18212229 | Q21010630 | oxo-pentachloro-rhenium acid | tetraammineplatinum(II) dichloride | dichlorosilane | yttrium chloride | Q20980860 | caesium perchlorate | isopropylmagnesium chloride | sodium chlorate | Q4498240 | ethylidene chloride | sodium chloroacetate | nitrosyl perchlorate | Q15628257 | brilliant cresyl blue ALD | neodymium perchlorate | antimony pentachloride | Q19615027 | o-chlorobenzylidenemalononitrile | cobaltous chloride | cuprous chloride | epichlorohydrin | cupric perchlorate | neodymium(II) chloride | thionyl chloride | cadmium chloride | samarium(III) chloride | antimony trichloride | vanadyl dichloride | Q15628278 | sodium perchlorate | 2-benzyl-4-chlorophenol | Q15628324 | pentamminerhodium chloride | rhenium(VI) chloride | Q20979880 | chloro(difluoro)silane | Q15628123 | iodine trichloride | rubidium perchlorate | Q20986159 | tert-butyl chloride | thallium(I) chloride | hexachloroplumbic acid | pentachloroethane | Q19614440 | pertechnetyl chloride | cadmium dichlorate | dichloroethylarsine | potassium hexachlorostannate | chlorosulfonic acid | hexachloroiridium(IV) acid | vanadium(II) chloride | Q18407753 | Q21024251 | trichlormethine | dimethomorph | Q21010299 | metrifonate | p-phenylenediamine dihydrochloride | Q4498212 | dichlorine | Q20986178 | ammonium perchlorate | metofenazate | cupric chlorate | Q18212073 | (benzene)ruthenium dichloride dimer | Q4332938 | methylchloroisothiazolinone | mercurous chlorate | neodymium chloride | iodine monochloride | tantalum(IV) chloride | chloryl fluoride | erbium trichloroacetate | sulfur tetrachloride | xenon dichloride | halogens | trirhenium nonachloride | Q18211763 | iron oxychloride | praseodymium perchlorate | dichloro(diiodo)silane | chloral | potassium hexachlorosmate(III) | Q15628277 | 1,2-bis(dichlorophosphino)ethane | Q18212039 | berkelium(III) chloride | clotrimazole | allylpalladium chloride dimer | lanthanum chloride | ethylaluminum dichloride | (E/Z)-1,3-dichloropropene | Q18212230 | einsteinium(III) chloride | potassium hexachloroplatinate(IV) | Tebbe's reagent | perchloric acid | lead chloride | nickel(II) perchlorate | ruthenium(II) chloride | protactinium(V) chloride | nitrosyl chloride | potassium octachlorodirhenate | methyl chlorocarbonate | rhodium carbonyl chloride | thulium(III) chloride | 1,4-dichlorobenzene | potassium tetrachloropalladate(II) | nitrogen trichloride | hydrogen chloride | tungsten dichloride dioxide | Q21010651 | potassium hexachloropalladate(IV) | dichloro(cycloocta-1,5-diene)platinum(II) | Q4332922 | chloral hydrate | dichloro(1,3-bis(diphenylphosphino)propane)nickel | calcium chloride | chromyl chloride | Q18211611 | indomethacin | bis(triphenylphosphine)nickel chloride | lanthanum perchlorate | chlordane | 3-chloro-2-chloromethyl-1-propene | Q16636004 | hexachlorostannate | potassium hypochlorite | niobium(IV) chloride | oxalyl chloride | allyl chloride | chloro(triisocyanato)silane | Q15628276 | Q4359357 | chloro(triiodo)silane | perchloryl group | Q20986204 | Q4332798 | bis(1,5-cyclooctadiene)dimethoxydiiridium | rubidium chlorate | chlorous acid | benzotrichloride | Bis(tetrahydrofuran)tetrachlorotitanium | silver chlorate | Q4498203 | niobium(III) chloride | Q15725531 | mercury(II) perchlorate | vanadium(V) oxytrichloride | dichlorine hexoxide | chloroacetic acid | ammonium tetrachloropalladate(II) | Q4332794 | Q4134957 | 1,2-dichloroethane | Q15628072 | potassium hexachlororhenate | 1,2-dichloroethene | indium(I) chloride | 1-(9-fluorenyl)methyl chloroformate | arsenic trichloride | Q18211844 | zirconyl chloride | dichlorodifluorosilane | bis(triphenylphosphine)platinum chloride | tin bromide trichloride | trichloridooxidomolybdenum | bismuth chloride | Q20979576 | hexachlorodisiloxane | Q18211609 | stannic chloride | chlorobis(cyclooctene)rhodium dimer | chromic chloride | zinc chloride | sorafenib | Q16682754 | iridium(II) chloride | Q15627955 | hexachloroplumbates | Q19614443 | barium perchlorate | cobaltous chloride hexahydrate | leningradite | calomel | dibromo(dichloro)stannane | trichloromethyl | Q16714117 | Q15725530 | iridium(III) chloride | aripiprazole | Q18211595 | ammonium hexachloropalladate | Q18212199 | polonium tetrachloride | Q19615029 | dichlorophenylarsine | Q18211774 | Q20986165 | chlorine heptoxide | nickel(II) chloride | 1,1-dichloroethene | europium(III) chloride | uranium pentachloride | terbium(III) chloride | sesquimustard | ytterbium(III) chloride | Q4332923 | tungsten(IV) chloride | ammonium hexachlorosmate(IV) | Q4445831 | erbium(III) chloride | dibromo(chloro)fluorosilane | diphenylchloroarsine | N-chlorosuccinimide | sodium hypochlorite | potassium tetrachloroplatinate | arsphenamine | Q19614442 | chromous chloride | bromochlorofluoroiodomethane | halofuginone | octadecyl trichlorosilane | lornoxicam | dichlorine monoxide | trichloroacetic acid | xenon tetrachloride | trans-diamminedichloropalladium(II) | Q4498208 | methanesulfonyl chloride | trimellitic anhydride chloride | gadolinium(III) chloride | Q19743870 | chlorine oxoanion | mercury(II) chlorate | tungsten hexachloride | cyanogen chloride | sodium chloride | chloryl group | ammonium chlorate | chlorodifluoroamine | chloronitrobenzenes | magnesium perchlorate | molybdenum(II) chloride | thallium(I) chlorate | Colestilan | chlorosilane | dichloro(fluoro)silane | europium(III) chloride hexahydrate | silver chloride | chlorine trifluoride | trimethylgermanium chloride | chlorobenzene | mechlorethamine | neptunium(III) chloride | Q18170454 | Q4498194 | ammonium magnesium trichloride | ruthenium(III) chloride | Q20979779 | hexachloroethane | deuterium chloride | chlorofluorocarbon | Wilkinson's catalyst | Q18212224 | chloropentamminecobalt chloride | chlorotrifluorosilane | lead tetrachloride | Oxyyttropyrochlore-(Y) | (E)-chlorprothixene | barium hypochlorite | Q18212170 | O-mustard | titanium dichloride | rubidium chloride | Q19614445 | Q20979802 | Q18212068 | scandium chloride | lithium chlorite | Q16682763 | ethylmercury chloride | Q18212233 | Q15628283 | Q15627954 | palladium dichloride | cadmium perchlorate | thiophosphoryl chloride | titanium trichloride | Q19742286 | barium chlorate | chlorodimethylsilane | endosulfan | molybdenum trichloride | cadmium chloride hydroxide | chlorine molecular entity | methyl hypochlorite | bis(triphenylphosphine)palladium(II) dichloride | chlorobis(cyclooctene)iridium dimer | calcium hypochlorite | lithium perchlorate | zirconium(IV) chloride | hexachloroparaxylene | caesium dichloroiodide | antimony chloride oxide | azane;cobalt(2+);dichloride | Q21010321 | barium chloride | polysulfur dichloride | cobalt(II) chlorate | Q19615031 | tetrachloronickelate | Q18212227 | Q15725526 | sodium trichloroacetate | Q4161655 | aceclofenac | lutetium(III) perchlorate | Q26207778 | dichloroacetic acid | potassium octachlorodimolybdate | Trichlorotris(tetrahydrofuran)chromium | HofBad | hexachloroacetone | californium(III) chloride | iridium tetrachloride | thallium(III) chloride | osmium(II) chloride | DDT | niobium(V) chloride | cyclooctadiene rhodium chloride dimer | tungsten(III) chloride | bromo(chloro)fluoro(iodo)silane | molybdenum pentachloride | chloropicrin | trichloridonitridomolybdenum | technetium(IV) chloride | vanadocene dichloride | (OC-6-44)-Tricarbonylchloro(glycinato)ruthenium | platinic chloride | Q21010631 | Q15725558 | copper oxychloride | Q15966013 | dichlorophenylphosphine | nitryl chloride | trichlorosilanecarbonitrile | dysprosium chloride | cerous chloride | sulfur chloride pentafluoride | chlorine pentafluoride | lithium chloride | tris(4-bromophenyl)ammoniumyl hexachloroantimonate | hydrazine monochloride | Q4134959 | americium(III) chloride | molybdenum hexachloride | manganese(IV) chloride | Magnus' green salt | perfluordecyltrichlorosilane | tetrachlorobenzene | selenium tetrachloride | acryloyl chloride | 25C-NBOMe | Q4332907 | clothiapine | rhodium chlorides | Q21010283 | dimethyldichlorosilane | tetraethylammonium tetrachloronickelate | NpOCl₂ | perphenazine | Q4134951 | tetrabutylammonium hexachloroplatinate | Q20984954 | rhenium(IV) chloride | ammoniatedmercuric chloride | vanadium(IV) chloride | magnesium oxychloride | phenarsazine chloride | 2,4-dichloronitrobenzene | Cobalt(II) perchlorate | calcium perchlorate | Q15628281 | hypochlorous acid | dichloro(1,5‐cyclooctadiene)palladium | o-chloronitrobenzene | potassium chlorochromate | cetylpyridinium chloride | chlorpromazine | diethylaluminum chloride | dipotassium tetrachlorozincate | [1,1'-bis(diphenylphosphino)ferrocene]palladium(II) dichloride | gallium trichloride | polyvinylidene chloride | bromodichloromethane | diuron | phosgene | Q4456684 | dysprosium(II) chloride | hexaaminecobalt trichloride | tungsten(V) chloride | magnesium potassium chloride | chloramine T | ferric chloride | diboron tetrachloride | iron diperchlorate | Q15627982 | cupric chloride | cobalt(III) chloride | Q4498195 | silver perchlorate | phenylphosphonic dichloride | praseodymium(III) chloride | ammonium tetrachloroaurate | titanium tetrachloride | Q18212065 | Q21007514 | cerium(IV) perchlorate | tert-butyl hypochlorite | thorium(IV) chloride | Q19614444 | penfluridol | Q20979778 | Q16707516 | Q20986121 | carbon tetrachloride | Q13189828 | europium(II) chloride | cypermethrin | sodium tetrachloroaurate(III) dihydrate | copper(II) chloride dihydrate | aluminum chloride | rhodium(III) chloride | bismuth oxychloride | benzenesulfonyl chloride | actinium(III) chloride | lithium hypochlorite | hexachlorobenzene | Q18211505 | lamotrigine | lutetium(III) chloride | indium chloride | beryllium chloride | manganese(II) chloride | hafnocene dichloride | Q4498199 | iodine(III) perchlorate | Q15628434 | tungsten(VI) oxytetrachloride | indium(I,III) chloride | Q21009999 | polychlorinated biphenyl | platinum(II) chloride | vanadium(III) chloride | calcium chlorite | germanium dichloride | gold monochloride | gold(I,III) chloride | stannous chloride | Q20986202 | dichlorine pentoxide | rhenium pentacarbonyl chloride | (cymene)ruthenium dichloride dimer | Dixenon chloride | sodium tetrachloroaurate | Q18212154 | tantalum(V) chloride | Zeise's salt | rhenium pentachloride | polonium dichloride | Q18212225 | Diclofenac | tellurium dichloride | aldrin | (E,E)-lewisite 2 | niobium oxychloride | Q15628225 | lead oxychloride | chlorobismuth | americium(II) chloride | sodium chlorite | acetyl chloride | Q15628170 | radium chloride | uranium hexachloride | hexaamminenickel chloride | chloro(dimethyl sulfide)gold(I) | sodium tetrachloroplatinate(II) | germanium tetrachloride | Chlorodiisopropylphosphine | clozapine | osmium(IV) chloride | ethyl chloroformate | tetrakis(hydroxymethyl)phosphonium chloride | phosphorus pentachloride | 2C-C | zirconium(III) chloride | hexachlorodisilane | potassium chlorate | Q20982333 | Q16714123 | chloroform | ytterbium(II) chloride | chlorpyrifos | trichlorosilane | methallyl chloride | Q18212232 | Vaska's complex | samarium(II) chloride | chlorodisilane | disulfur dichloride | boron trichloride | methyldichloroarsine | dichlorine trioxide | tantalum(III) chloride | 2,3,7,8-tetrachlorodibenzo-p-dioxin | tellurium tetrachloride | hypochlorite ion | (tetrachlorophenyl)trichlorosilane | arsenic pentachloride | deuterated chloroform | Q16707514 | Q21007487 | dipotassium hexachloroosmate | Q15628284 | Lewisite | pyridinium chlorochromate | pentaamminenitritocobalt dichloride | 2-chloroacetophenone | RS 67333 | sulfuryl chloride | disodium hexachloroplatinate | bromine monochloride | molybdenum tetrachloride | ammonium hexachlororhodate(III) | plutonium(III) chloride | ethylene chlorohydrin | uranium(III) chloride | Q20980861 | sodium tetrachloropalladate | Q21007488 | xenon monochloride | Q15628316 | Q16705858 | tetrachloroethylene | Q20984957 | hafnium tetrachloride | 2,4-dinitrochlorobenzene | silicon tetrachloride | Q15628319 | cupric perchlorate hexahydrate | Q15628303 | neptunium(IV) chloride | Q19365963 | 3,3'-dichlorobenzidine | aluminum chlorate | einsteinium(II) chloride | promethium(III) chloride | calcium chloride dihydrate | selenium chloride | 2-chloro-4-nitrophenol | trifluoroacetyl chloride | benzyl chloride | prochlorperazine | chloridoaluminium | chlorothiazide","has part(s)"
"","","","chlorkyuygenite | chlorargyrite | chlormayenite | chlorocalcite | chloraluminite | green | demicheleite-(Cl) | hydrochlorborite | potassic-chloro-hastingsite | potassic-chloro-pargasite | bismoclite | calclacite | chlorellestadite | chlorapatite | chlorothionite | chloromagnesite | chlorbartonite | chlormanganokalite | chlormagaluminite | chlorartinite","named after"
