"products","Tsagaan_Suvarga_mine | Bozshakol_mine | Lavrovo-Nikolaevsky_mine | Robinson_Mine | Cadia-Ridgeway_mine | Mantoverde_mine | Cevizlidere_mine | Iacobeni_mine | Shimokawa_mine | Detroit_Copper_Mining_Company_of_Arizona | Phu_Kham_mine | Mali_Krivelj_mine | Haib_mine | Hillgrove_Resources | Valea_Blaznei_mine | Altân_Tepe_mine | Thompson_Creek_Metals | MedcoEnergi | Majdanpek_mine | Cerro_Casale_mine | Serbia_Zijin_Bor_Copper | Costancia_mine | Damar_mine | Assarel_mine | Sarycheku_mine | Bor_mine | Placer_Dome | Cerro_Verde_mine | Talvivaara_mine | Konttijärvi_mine | Retków_mine | Uchaly_Mining_and_Metallurgical_Combine | Newmont | Murgul_mine | Eloise_Copper_Mine | Wedge_Mine | Ashio_Copper_Mine | Phelps_Dodge | Esperanza_mine | Inca_de_Oro_mine | Valjaonica_bakra_Sevojno | Vostok_mine | Elatsite_mine | MMG_Limited | Equinox_Minerals | Çayeli_mine | Idaho_cobalt_mine | Reko_Diq_Mine | Komsomolsky_mine | Kiseljak_mine | Imperial_Metals | Vedanta_Limited | Kapulo_mine | Mount_Isa_Mines | Bagdad_mine | North_Limited | Sentinel_mine | Severny_mine | Zapolyarny_mine | Kapan_mine | Western_Zhdanovskoye_mine | Turyinsky_mine | Myszków_mine | Holdong_mine | Royal_Gold | Kansanshi_mine | Cerro_Verde | Whim_Creek_copper_mine | Grupo_México | Jiangxi_Copper | Barton_Mine | Junín_mine | Quellaveco_mine | Highland_Valley_Copper_mine | Los_Chancas_mine | United_Verde_Mine | Blyavinsky_mine | Caribou_zinc_mine | Kajaran_mine | China_Minmetals | Río_Blanco_mine | Deziwa_mine | Norrie_Mine | Mes_Aynak_mine | Gaysky_mine | Southern_Copper_Corporation | Sarcheshmeh | Buenavista_mine | Compass_Resources | Metal_Supermarkets | Vale_Canada | Selkirk_mine | Temagami-Lorrain_Mine | Skouries_mine | KGHM_Polska_Miedź | Mopani_Copper_Mines | Braden_Copper_Company | JSC_RMG_Copper | Coldstream_copper_mine | Olympic_Dam_mine | El_Abra_mine | Morenci_mine | Etoile_mine | Udokan_mine | Borska_Reka_mine | Cuajone_mine | Priest_Mine | Estella_Mine | Taymyrsky_mine | Mount_Morgan_Mine | Zolotushinsky_mine | Valea_Vinului_mine | Cañariaco_Norte_mine | Zuun_Mod_mine | Molodezhny_mine | Mantos_Blancos_mine | Eldorado_Mine_(Northwest_Territories) | Minsur | Mirador_mine | Pinto_Valley_mine | Solnechny_mine | Mayak_mine | Mount_Elliott_mine | Carrapateena_mine | Huarón_mine | Maughold_Head_Mine | Anglo_American_plc | Lubin_mine | Roșia_Poieni_copper_mine | Cairn_Hill_mine | Collahuasi_mine | European_Goldfields | Haquira_mine | El_Salvador_mine | Fortescue_Metals_Group | Centerra_Gold | Uchalinsky_mine | Tia_Maria_mine | Corriente_Resources | Phoenix_Mine | Central_Zhdanovskoye_mine | Moldova_Nouă_mine | Coppersand_Mine | Reliance_Steel_&_Aluminum_Co. | OZ_Minerals | Saindak_Copper_Gold_Project | Los_Bronces_mine | WMC_Resources | Northparkes | African_Rainbow_Minerals | Kalumbila_Mine | Galore_Creek_mine | New_Gold | Boyongan_mine | Nordic_Mining | El_Morro_mine | Creighton_Mine | Ballek | Batu_Hijau_mine | Ballajora_Mine | South_Crofty | Panguna_mine | La_Caridad_Mine | Teck_Resources | South32 | Cumerio | Uzelginskaya_mine | Ahmavaara_mine | Făget_mine | Raglan_Mine | Letneye_mine | Głogów_Głęboki-Przemysłowy_mine | Baia_de_Aramă_mine | El_Pilar_mine | Kotselvaara_mine | Chemetco | Toromocho_mine | Yandera_mine | Brunswick_6_mine | Cuniptau_Mines | Waisoi_mine | Besshi_copper_mine | Kirovgradsky_mine | Cobre_mine,_Panama | Medvezhy_Ruchey_mine | Copper_Creek_mine | Ray_mine | Anaconda_Copper_Mine_(Nevada) | Bakr-Tay_mine | Los_Pelambres_mine | Çakmakkaya_mine | El_Arco_mine | Dumitru_Potok_mine | Sorsky_mine | Turquoise_Hill_Resources | Teghut_mine | Mineral_Park_mine | Candelaria_mine | Aktogay_mine | Oktyabrskoye_mine | Koksay | San_José_Mine | Halyvourgiki_Hellenic_Steel_Industry | Frieda_River_Project | Kipushi_Mine | Prominent_Hill_mine | First_Quantum_Minerals | Alderley_Edge_Mines | Galeno_mine | Veliki_Krivelj_mine | Noranda_(mining_company) | Tschudi_mine | Vale_S.A. | Sibaysky_mine | Kidd_Metallurgical_Site | Sasca_Montană_mine | Compañía_Minera_Atacocha | Hanaoka_mine | Great_Work_Mine | Gaworzyce_mine | Ak-Sugskoye_mine | O'Connor_Mine | Tirebolu_mine | Kal'makyr_mine | Telfer_mine | Polkowice-Sieroszowice_mine | Urupsky_mine | Rosemont_Copper | Boddington_gold_mine | Kemess_Mine | Nevsun_Resources | Kalumines | Rudna_mine | Ernest_Henry_mine | Degtyarsky_mine | Cavnic_mine | Leșu_Ursului_mine | Copperfields_Mine | Bozymchak | Hyesan_mine | Portimo_mine | Bytom_Odrzański_mine | Gllavica_mine | Dushkaja_mine | Beutong_mine | Kevitsa_mine | Dalnee_mine | San_Carlos_Panantza_mine | Hillside_mine | Codelco | Suhanko_mine | Kosaka_mine | Ruashi_mine | Lumwana_mine | Sierrita_mine | Oyu_Tolgoi_mine | Ankasar_mine | Zijin_Mining | Agua_Rica_mine | Los_Azules_mine | Brunswick_12_mine | Candente_Copper | Heath_Steele_Mines | Kalukundi_mine | Ural_Mining_and_Metallurgical_Company | Khökh-Adar_mine | Chino_mine | Suke_mine | Cerovo_mine | Aura_Minerals | Tash-Tau_mine | Cuprom | Keeley-Frontier_Mine","","",""
"product","Viohalco | Teck_Resources | Cerro_Verde | CupruMin | Cumerio | Jiangxi_Copper | Aluminum_Corporation_of_China_Limited | China_Minmetals | Chemetco | Cuniptau_Mines | Mopani_Copper_Mines | Boliden_AB | Anaconda_Copper | Turquoise_Hill_Resources | Anglo_American_plc | Fortescue_Metals_Group | Centerra_Gold | Noranda_(mining_company) | Corriente_Resources | Compañía_Minera_Atacocha | Reliance_Steel_&_Aluminum_Co. | OZ_Minerals | African_Rainbow_Minerals | South32 | Xinjiang_Xinxin_Mining_Industry_Company | Zijin_Mining | Doe_Run_Company | Candente_Copper | Ural_Mining_and_Metallurgical_Company | Aura_Minerals | Hillgrove_Resources | Thompson_Creek_Metals | MedcoEnergi | Halyvourgiki_Hellenic_Steel_Industry | Sphinx_Resources | Serbia_Zijin_Bor_Copper | First_Quantum_Minerals | Placer_Dome | Vale_S.A. | Kidd_Metallurgical_Site | Uchaly_Mining_and_Metallurgical_Combine | Newmont | Phelps_Dodge | MMG_Limited | Equinox_Minerals | Royal_Land_Company_of_Virginia | Nevsun_Resources | National_Mineral_Development_Corporation | Zhongjin_Gold | North_Limited | Codelco | Grupo_México | Sibplaz | CMOC_Group_Limited | Southern_Copper_Corporation | Cuprom | Metal_Supermarkets | Compass_Resources | Vale_Canada | Detroit_Copper_Mining_Company_of_Arizona | KGHM_Polska_Miedź | Braden_Copper_Company | JSC_RMG_Copper | Minsur | Valjaonica_bakra_Sevojno | European_Goldfields | Falconbridge_Ltd. | BHP | Imperial_Metals | Vedanta_Resources | Vedanta_Limited | WMC_Resources | Nordic_Mining","","",""
"homepage","www.copper.org","","",""
"industry | industries","Electric_Smelting_and_Aluminum_Company | Cuprom | Serbia_Zijin_Bor_Copper | CupruMin | Xingye_Alloy_Materials | Yunnan_Copper | Cumerio_Med | Economy_of_Turkey","Electric_Smelting_and_Aluminum_Company | Cuprom | Serbia_Zijin_Bor_Copper | CupruMin | Xingye_Alloy_Materials | Yunnan_Copper | Cumerio_Med | Economy_of_Turkey | Compañía Minera San Esteban Primera | Cumerio | La Farga","La Farga","industry"
"material","Paschimbhag_copperplate_inscription | Bassetki_Statue | Sasuntsi_Davit_(statue) | List_of_public_art_in_Atlanta | Four_Courts | Lothair_Crystal | Shwezigon_Pagoda_Bell | Sultanganj_Buddha | Hurrian_foundation_pegs | The_Humane_Nurse | Shropshire_bulla | Serpent_labret_with_articulated_tongue | Sigtuna_amulet_I | Wylye_Hoard | Nidhanpur_copperplate_inscription","","",""
"knownFor","Charles_Roe | Mohammad_Tahir_Shah | David_J._Procter","","",""
"isPartOf","target","","",""
"mineral","Utah | Arizona","","",""
"currency","Gyaman | Mali_Empire | Bono_state","","",""
"contaminants","Halaco_Engineering_Co. | Adams_Plating","","",""
