"book","Chemical elements | Period 2 elements | Neon | Noble gases","","",""
"atmosphereComposition","Moon","","",""
"primaryTopic","Neon","","",""
"isPrimaryTopicOf","Neon","","",""
"field","Paulina_Olowska | Hugo_Debaere | Michal_Martychowiec | Fred_Tschida","","",""
"chemical","Atmosphere_of_Venus","","Ne","chemical formula"
"","","","DTXCID2047642","DSSTOX compound identifier"
"","","","chemical element | atmophile element","instance of"
"","","","neon-20 | neon-24 | Clásica de Boyacá 2011 | neon-29 | neon-33 | neon-27 | neon-34 | neon-23 | neon-17 | neon-32 | neon-28 | neon-25 | neon-22 | neon-30 | neon-26 | neon-19 | neon-16 | neon-15 | neon-18 | noble gases | neon-31 | neon-21","subclass of"
"","","","Yurts | Transit Cloud | atmosphere of Earth | Q86002332 | Motel Diver | Signal-Echo | Colony | Home of the Chowder King | Eyelight Lane","made from material"
"","","","Ne","element symbol"
"","","","InChI=1S/Ne","InChI"
"","","","10","atomic number"
"","","","1.204 | 1.444 | 0.90035","density"
"","","","4VB4Y46AHD","UNII"
"","","","C0027608","UMLS CUI"
"","","","period 2 | So High | noble gases","part of"
"","","","Neon","Commons gallery"
"","","","23935","PubChem CID"
"","","","Friendship Way","genre"
"","","","435","speed of sound"
"","","","New Encyclopedic Dictionary | Small Brockhaus and Efron Encyclopedic Dictionary | Armenian Soviet Encyclopedia | The New Student's Reference Work | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","1s² 2s² 2p⁶ | [He] 2s² 2p⁶","electron configuration"
"","","","231-110-9","EC number"
"","","","William Ramsay | Morris Travers","discoverer or inventor"
"","","","neonium ion","conjugate acid"
"","","","-248.6","melting point"
"","","","146.2","standard molar entropy"
"","","","20.1797","mass"
"","","","1898-01-01T00:00:00Z","time of discovery or invention"
"","","","United Kingdom","location of discovery"
"","","","7100","ZVG number"
"","","","noble gases | neox","has part(s)"
"","","","D01.362.641.592 | D01.268.613.600","MeSH tree code"
"","","","Googie","uses"
"","","","Neon","Commons category"
"","","","-246","boiling point"
"","","","[Ne]","canonical SMILES"
"","","","novelty","named after"
