"knownFor","Norman_Greenwood | Humphry_Davy | Hermann_Irving_Schlesinger","","",""
"products","Jadar_mine | Bigadiç_mine | Emet_mine | Kırka_mine | Wengquangou_mine","","",""
"isPrimaryTopicOf","Boron","","",""
"book","Chemical elements | Boron | Boron group | Period 2 elements","","",""
"industries","Economy_of_Turkey","","",""
"fields","William_Lipscomb","","",""
"formula","Blue_diamond",B,"B","chemical formula"
"product","Allkem","","",""
"academicDiscipline","William_Lipscomb","","",""
"primaryTopic","Boron","","",""
"","","","Q19521755 | Q18211893 | strontium hexaboride | magnesium borohydride | zirconium diboride | trifluoroborane--ammonia (1/1) | Q4161100 | ditungsten pentaboride | bis(pinacolato)diborane | tungsten diboride | Q18203024 | Q15628219 | jimboite | chromium(III) boride | Q4161095 | Q4419238 | boron carbide | borirane | lithium triethylborohydride | phenylmercury borate | lithium borohydride | cobalt boride | Q19613963 | sodium tetrafluoroborate | Q19521743 | Q18212019 | beryllium borohydride | Q18211792 | titanium diboride | Q15628019 | decaborane | boratabenzene | triethyloxonium tetrafluoroborate | Dinickel boride | 1-chloromethyl-4-fluoro-1,4-diazobicyclo(2.2.2)octane bis(tetrafluoroborate) | Q19613966 | Q26207773 | Q19521747 | bis(pyridine)iodonium(I) tetrafluoroborate | borohydride | Q15628399 | Q18590293 | potassium tetrahydroborate | Q19521749 | Organotrifluoroborate | Q7516570 | calcium metaborate | boron trifluoride | disiamylborane | borate ester | niobium diboride | molybdenum monoboride | Q17562755 | sodium borohydride | sodium perborate monohydrate | silver tetrafluoroborate | trimethylborane | Q18212013 | boron arsenide | sodium tetrahydroxyborate | Lanthanum hexaboride | borole | osmium diboride | ditungsten boride | magnesium metaborate | nitrosonium tetrafluoroborate | boron trifluoride-diethyl etherate | rubidium borohydride | rhenium diboride | caesium borohydride | diboron tetrafluoride | potassium tetraborate | Q18211650 | boron trichloride | Q20979854 | Yttrium boride | borax | tetrahydroxydiboron | bromodiiodoborane | Iron monoboride | organoboron compound | yttrium diboride | magnesium diboride | Q18816981 | nickel boride | borate | Q20979858 | Q18211714 | 9-borabicyclo[3.3.1]nonane | Q15628400 | calcium hexaboride | L-selectride | copper ditetrafluoroborate | neodymium magnet | manganese boride | borospherene | Q18211705 | hexaborane(12) | Q4419226 | sodium cyanoborohydride | group 13 | boron triiodide | Q4161194 | potassium metaborate | Q20979857 | Triborane(7) | tungsten boride | diboron trioxide | vanadium diboride | triethylborane | Q15627983 | scandium dodecaboride | Q15628020 | boron phosphide | rhenium boride | boron sulfide | Q4419240 | lithium tetrafluoroborate | Praseodymium tetraboride | sodium triethylborohydride | borotorpex | Q20979860 | potassium tetrafluoroborate | Q20979861 | Q18203026 | Q4161097 | Praseodymium hexaboride | jadarite | borabenzene | sodium metaborate | allotrope of boron | Q4348650 | borate mineral | cadmium tetrafluoroborate | zirconium borohydride | Q27458645 | Q20979859 | Q16705824 | diboron tetrachloride | benzeneboronic acid | ammonium tetrafluoroborate | Q15627937 | europium hexaboride | boroxine | boron compound | diborane(6) | tetrafluoroboric acid | copper(II) metaborate | Ruthenium boride | ferroboron | trinickel boride | tantalum diboride | boron nitride | borane | barium metaborate | orthoboric acid | manganese borate | diammonium tetraborate | iron boride | Q4161096 | tetraborane(10) | borazine | boron monofluoride | oxidoboron | sodium tetraphenylborate | trimethyl borate | Q18211739 | magnesium borate | yttrium borides | catecholborane | lithium borate | sodium calcium borate | calcium tetraborate | nitronium tetrafluoroborate | calcium borate | hexaborane | molybdenum boride | Bobbitt's salt | hafnium diboride | pentaborane(11) | Q18211686 | Q15628405 | lithium metaborate | Q4348635","has part(s)"
"","","","8030","ZVG number"
"","","","group 13 | period 2 | boron compound","part of"
