"label","Controlled atmospheres | Pressurizing and purging | Breathing mixtures | Welding | Cryogenics | Leak detection","","",""
"isPrimaryTopicOf","Helium","","",""
"title","Effect of helium on a human voice","","",""
"book","Period 1 elements | Chemical elements | Helium | Noble gases","","",""
"type","Double_Eagle_II | 21st_Century_Airships_SPAS_13","","chemical element | atmophile element","instance of"
"knownFor","Heinrich_Kayser | Willem_Hendrik_Keesom | Norman_Lockyer","","",""
"product","Inox_Air_Products | BOC_Kenya_Limited | QatarEnergy","","",""
"atmosphereComposition","Moon","","",""
"products","QatarEnergy | Inox_Air_Products","","",""
"primaryTopic","Helium","","",""
"chemical","Atmosphere_of_Mercury | Atmosphere_of_Venus","","He","chemical formula"
"","","","atmosphere of Saturn | Q3144679 | solar prominence | Space-One | atmosphere of Earth","made from material"
"","","","nonmetal | helium trimer | gas giant | disodium helide | intracluster medium | Q9361617 | heliox | hydridohelium(1+) | trimix | lithium helide | Seagate Exos X18 18 TB | s-block | helium dimer | noble gases","has part(s)"
"","","","Q157693 | Heliumstraat | Helios","named after"
"","","","126","standard molar entropy"
"","","","nonmetal | helium-6 | helium-4 | helium-10 | helium-2 | s-block | helium-8 | liquid helium | solid helium | helium-5 | helium-9 | helium-7 | helium-3 | noble gases","subclass of"
"","","","1s²","electron configuration"
"","","","965 | 180","speed of sound"
"","","","C0018880","UMLS CUI"
"","","","Brockhaus and Efron Encyclopedic Dictionary | Small Brockhaus and Efron Encyclopedic Dictionary | Encyclopædia Britannica 11th edition | Q2041543 | Armenian Soviet Encyclopedia | Granat Encyclopedic Dictionary | Great Soviet Encyclopedia (1926–1947)","described by source"
"","","","D01.268.613.350 | D01.362.641.352","MeSH tree code"
"","","","period 1 | noble gases","part of"
"","","","hydridohelium(1+)","conjugate acid"
"","","","Energy Multiplier Module | HTR-10 | Next Generation Nuclear Plant","coolant"
"","","","23987","PubChem CID"
"","","","4.002602","mass"
"","","","24111300","Common Procurement Vocabulary code"
"","","","InChI=1S/He","InChI"
"","","","DTXCID5016402","DSSTOX compound identifier"
"","","","lifting gas | component | coolant | food additive","has use"
"","","","Pierre Janssen | William Ramsay | Norman Lockyer","discoverer or inventor"
"","","","206GF3GB41","UNII"
"","","","-272.05 | 0.95 | -458","melting point"
"","","","natural-gas processing","by-product"
"","","","231-168-5","EC number"
"","","","1.000036","refractive index"
"","","","4.5","electronegativity"
"","","","natural-gas processing","by-product of"
"","","","helium atom","manifestation of"
"","","","0.1785","density"
"","","","1868-08-18T00:00:00Z","time of discovery or invention"
"","","","7020","ZVG number"
"","","","E939","E number"
"","","","[He]","canonical SMILES"
"","","","-452.07 | -268.9","boiling point"
"","","","2","atomic number"
"","","","He","element symbol"
"","","","10640583","U.S. National Archives Identifier"
"","","","anti-helium","antiparticle"
"","","","helium mass spectrometer","uses"
"","","","Helium","Commons category"
