"atmosphereComposition","Moon","","",""
"book","Period 2 elements | Neon | Noble gases | Chemical elements","","",""
"primaryTopic","Neon","","",""
"isPrimaryTopicOf","Neon","","",""
"field","Michal_Martychowiec | Hugo_Debaere | Paulina_Olowska | Fred_Tschida","","",""
"chemical","Atmosphere_of_Venus",Ne,"Ne","chemical formula"
"","","","1898-01-01T00:00:00Z","time of discovery or invention"
"","","","neon-27 | neon-25 | neon-15 | neon-23 | neon-30 | neon-20 | neon-17 | neon-18 | neon-33 | neon-21 | neon-22 | neon-24 | neon-19 | neon-29 | neon-31 | neon-26 | neon-32 | Clásica de Boyacá 2011 | neon-34 | neon-16 | neon-28 | noble gases","subclass of"
"","","","DTXCID2047642","DSSTOX compound identifier"
"","","","D01.268.613.600 | D01.362.641.592","MeSH tree code"
"","","","23935","PubChem CID"
"","","","C0027608","UMLS CUI"
"","","","[Ne]","canonical SMILES"
"","","","1.444 | 0.90035 | 1.204","density"
"","","","William Ramsay | Morris Travers","discoverer or inventor"
"","","","-246","boiling point"
"","","","Q86002332 | Transit Cloud | Colony | Yurts | Signal-Echo | Motel Diver | Eyelight Lane | atmosphere of Earth | Home of the Chowder King","made from material"
"","","","period 2 | So High | noble gases","part of"
"","","","Armenian Soviet Encyclopedia | The New Student's Reference Work | Small Brockhaus and Efron Encyclopedic Dictionary | New Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","Neon","Commons category"
"","","","1s² 2s² 2p⁶ | [He] 2s² 2p⁶","electron configuration"
"","","","United Kingdom","location of discovery"
"","","","10","atomic number"
"","","","231-110-9","EC number"
"","","","146.2","standard molar entropy"
"","","","novelty","named after"
"","","","20.1797","mass"
"","","","Friendship Way","genre"
"","","","Neon","Commons gallery"
"","","","435","speed of sound"
"","","","-248.6","melting point"
"","","","neox | noble gases","has part(s)"
"","","","7100","ZVG number"
"","","","4VB4Y46AHD","UNII"
"","","","neonium ion","conjugate acid"
"","","","Googie","uses"
"","","","atmophile element | chemical element","instance of"
"","","","Ne","element symbol"
"","","","InChI=1S/Ne","InChI"
