"bordering|neighbourConstellations","Pegasus_(constellation)|Perseus_(constellation)","Perseus|Pegasus|Pisces|Triangulum|Lacerta|Cassiopeia","","shares border with"
"constellation","NGC_272|SN_1885A|NGC_206|NGC_7662|Andromedids|Mayall_II|NGC_956|NGC_7686|NGC_752","","",""
"isPrimaryTopicOf","Andromeda_(constellation)","","",""
"symbolism","Andromeda_(mythology)|the Chained Woman","","",""
"stardistancepc","3.16","","",""
"primaryTopic","Andromeda_(constellation)","","",""
"brighteststarname","Alpha_Andromedae","","",""
"meteorshowers","Andromedids","","",""
"name","","Andromeda","","official name"
"arearank","19","","",""
"abbreviation","And","","",""
"neareststarname","Ross 248","","",""
"numbernearbystars","3","","",""
"numberbfstars","65","","",""
"stardistancely","10.3","","",""
"numberbrightstars","3","","",""
"genitive","Andromedae","","",""
"numbermessierobjects","3","","",""
"numberstarsplanets","12","","",""
"numbermainstars","16","","",""
"starmagnitude","2.07","","",""
"family","Perseus_Family","","",""
"areatotal","722","","",""
"","","","722","area"
"","","","constellation","instance of"
"","","","Armenian Soviet Encyclopedia, vol. 1|Meyers Konversations-Lexikon, 4th edition (1885–1890)|Star Lore of All Ages|Encyclopædia Britannica 11th edition|Brockhaus and Efron Encyclopedic Dictionary|Great Soviet Encyclopedia (1926–1947)|Encyclopedic Lexicon|Small Brockhaus and Efron Encyclopedic Dictionary|A field book of the stars","described by source"
"","","","Andromeda (constellation)","Commons gallery"
"","","","Andromeda (constellation)","Commons category"
"","","","Andromeda","named after"
"","","","Northern celestial hemisphere","part of"
