"bordering|neighbourConstellations","Hydra_(constellation)|Vela_(constellation)","Pyxis|Centaurus|Vela|Hydra","Vela|Hydra","shares border with"
"brighteststarname","Alpha_Antliae","","",""
"stardistancepc","4.04","","",""
"numberstarsplanets","2","","",""
"name","","Antlia","","official name"
"stardistancely","13.17","","",""
"isPrimaryTopicOf","Antlia","","",""
"genitive","Antliae","","",""
"primaryTopic","Antlia","","",""
"abbreviation","Ant","","",""
"symbolism","the Air Pump","","",""
"numbermainstars","3","","",""
"numberbrightstars","0","","",""
"neareststarname","DEN_1048-3956","","",""
"starmagnitude","4.25","","",""
"arearank","62","","",""
"constellation","NGC_2997_Group|Vela_Supercluster|Antlia_Cluster","","",""
"family","La_Caille_Family","","",""
"numberbfstars","9","","",""
"numbermessierobjects","0","","",""
"meteorshowers","None","","",""
"numbernearbystars","2","","",""
"areatotal","239","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Antlia","Commons gallery"
"","","","air pump","named after"
"","","","Antlia (constellation)","Commons category"
"","","","constellation","instance of"
"","","","Robert Boyle","dedicated to"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
"","","","239","area"
"","","","1752-01-01T00:00:00Z","time of discovery or invention"
