"bordering|neighbourConstellations","Pavo_(constellation)|Ara_(constellation)","Octans|Musca|Triangulum Australe|Chamaeleon|Circinus|Pavo|Ara","Ara|Pavo","shares border with"
"numberbrightstars","0","","",""
"meteorshowers","0","","",""
"constellation","Hen_2-131|NGC_6101|IC_4499","","",""
"arearank","67","","",""
"numberbfstars","12","","",""
"numberstarsplanets","2","","",""
"abbreviation","Aps","","",""
"numbermainstars","4","","",""
"areatotal","","206","","area"
"brighteststarname","Alpha_Apodis","","",""
"genitive","Apodis","","",""
"numbermessierobjects","0","","",""
"numbernearbystars","0","","",""
"isPrimaryTopicOf","Apus","","",""
"primaryTopic","Apus","","",""
"starmagnitude","3.83","","",""
"name","","Apus","","official name"
"family","Bayer_Family","","",""
"symbolism","The Bird-of-Paradise","","birds-of-paradise","named after"
"","","","Apus (constellation)","Commons gallery"
"","","","Brockhaus and Efron Encyclopedic Dictionary|Granat Encyclopedic Dictionary|Encyclopedic Lexicon","described by source"
"","","","1598-01-01T00:00:00Z","time of discovery or invention"
"","","","constellation","instance of"
"","","","Southern Celestial Hemisphere","part of"
"","","","Petrus Plancius","discoverer or inventor"
"","","","Apus (constellation)","Commons category"
