"areatotal","980","","",""
"stardistancepc","3.45","","",""
"meteorshowers","Eta_Aquariids|Delta_Aquariids|Iota Aquariids|March Aquariids","","",""
"bordering|neighbourConstellations","Sculptor_(constellation)|Pegasus_(constellation)|Pisces_(constellation)|Aquila_(constellation)","Cetus|Equuleus|Delphinus|Capricornus|Piscis Austrinus|Pegasus|Pisces|Sculptor|Aquila","Pegasus|Pisces|Sculptor|Aquila","shares border with"
"primaryTopic","Aquarius_(constellation)","","",""
"constellation","Southern_Delta_Aquariids|Helix_Nebula|Saturn_Nebula|RXC_J2211.7-0350|NGC_7492|Eta_Aquariids|XMMXCS_2215-1738|Messier_73|Messier_72|Aquarius_(astrology)|Lyman-alpha_blob_1|Messier_2","","",""
"numberbfstars","97","","",""
"symbolism","the Water-Bearer","","",""
"genitive","Aquarii","","",""
"family","Zodiac","","",""
"abbreviation","Aqr","","",""
"neareststarname","EZ_Aquarii","","",""
"stardistancely","11.27","","",""
"numbernearbystars","7","","",""
"name","","Aquarius","","official name"
"numbermessierobjects","3","","",""
"numberstarsplanets","12","","",""
"brighteststarname","Beta_Aquarii","","",""
"arearank","10","","",""
"numbermainstars","1022","","",""
"numberbrightstars","2","","",""
"starmagnitude","2.91","","",""
"isPrimaryTopicOf","Aquarius_(constellation)","","",""
"","","","constellation|zodiacal constellation","instance of"
"","","","Meyers Konversations-Lexikon, 4th edition (1885–1890)|Star Lore of All Ages|Encyclopædia Britannica 11th edition|Brockhaus and Efron Encyclopedic Dictionary|Great Soviet Encyclopedia (1926–1947)|Small Brockhaus and Efron Encyclopedic Dictionary|A field book of the stars","described by source"
"","","","980","area"
"","","","Aqvarivs","Hederich encyclopedia article"
"","","","Aquarius (constellation)","Commons gallery"
"","","","Aquarius (constellation)","Commons category"
