"numbernearbystars","2","","",""
"constellation","NGC_6709|NGC_6863|Westerhout_50|Westerhout_43|NGC_6738|NGC_6751|NGC_6781|NGC_6756|NGC_6790|Abell_70|NGC_6760|NGC_6778|NGC_6755|E_Nebula|HESS_J1857+026|Abell_48|Serpens–Aquila_Rift|W49B|Westerhout_49|Hen_2-428|NGC_6741","","",""
"arearank","22","","",""
"neighbourConstellations|bordering","Serpens Cauda|Serpens Cauda|Hercules_(constellation)|Scutum_(constellation)|Aquarius_(constellation)","Capricornus|Sagitta|Sagittarius|Hercules|Delphinus|Ophiuchus|Scutum|Aquarius|Serpens","Serpens","shares border with"
"volume","2","","",""
"neareststarname","Altair","","",""
"stardistancepc","5.13","","",""
"meteorshowers","Epsilon Aquilids|June Aquilids","","",""
"isPrimaryTopicOf","Aquila_(constellation)","","",""
"numberstarsplanets","9","","",""
"numberbfstars","65","","",""
"primaryTopic","Aquila_(constellation)","","",""
"brighteststarname","Altair_(star)","","",""
"family","Hercules_Family","","",""
"starmagnitude","0.76","","",""
"genitive","Aquilae","","",""
"abbreviation","Aql","","",""
"symbolism","the Eagle","","eagle","named after"
"shipNamesake","USS_Aquila_(PHM-4)","","",""
"numberbrightstars","3","","",""
"numbermainstars","10","","",""
"numbermessierobjects","0","","",""
"stardistancely","16.77","","",""
"name","","Aquila","","official name"
"areatotal","652","","652.5","area"
"","","","A field book of the stars|Brockhaus and Efron Encyclopedic Dictionary|Star Lore of All Ages|New Encyclopedic Dictionary|Meyers Konversations-Lexikon, 4th edition (1885–1890)|Encyclopædia Britannica 11th edition|Armenian Soviet Encyclopedia, vol. 2","described by source"
"","","","constellation","instance of"
"","","","Aquila (constellation)","Commons category"
"","","","Northern celestial hemisphere","part of"
"","","","Aquila (constellation)","Commons gallery"
"","","","Aqvila","Hederich encyclopedia article"
