"stardistancely","14.8","","",""
"numberstarsplanets","7","","",""
"constellation","NGC_6208|NGC_6250|NGC_6204|NGC_6352|NGC_6167|Stingray_Nebula|Water_Lily_Nebula|NGC_6326|Westerlund_1|NGC_6397|IC_4651|NGC_6193|ESO_280-SC06|NGC_6188|NGC_6200|NGC_6362","","",""
"family","Hercules_Family","","",""
"bordering|neighbourConstellations","Norma_(constellation)|Pavo_(constellation)","Apus|Corona Australis|Triangulum Australe|Norma|Scorpius|Pavo|Telescopium","","shares border with"
"neareststarname","Gliese_674","","",""
"starmagnitude","2.84","","",""
"stardistancepc","4.54","","",""
"meteorshowers","0","","",""
"name","","Ara","","official name"
"genitive","Arae","","",""
"isPrimaryTopicOf","Ara_(constellation)","","",""
"primaryTopic","Ara_(constellation)","","",""
"numbernearbystars","3","","",""
"brighteststarname","Beta_Arae","","",""
"areatotal","237","","",""
"arearank","63.0","","",""
"numbermainstars","8","","",""
"numberbfstars","17","","",""
"symbolism","the Altar","","",""
"numbermessierobjects","0","","",""
"abbreviation","Ara","","",""
"numberbrightstars","2","","",""
"","","","237","area"
"","","","Southern Celestial Hemisphere","part of"
"","","","constellation","instance of"
"","","","Ara (constellation)","Commons gallery"
"","","","Brockhaus and Efron Encyclopedic Dictionary|Great Soviet Encyclopedia (1926–1947)|Small Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","Arvla","Hederich encyclopedia article"
"","","","Ara (constellation)","Commons category"
"","","","altar","named after"
