"numbernearbystars","2","","",""
"shipNamesake","USS_Aries_(AK-51)|USS_Aries_(PHM-5)|German_auxiliary_cruiser_Widder|USS_Aries_(1863)","","",""
"genitive","Arietis","","",""
"areatotal","","441","","area"
"numberbfstars","61","","",""
"meteorshowers","Aries-Triangulids|Delta Arietids|Daytime-Arietids|Autumn Arietids|May Arietids|Epsilon Arietids","","",""
"bordering|neighbourConstellations","Perseus_(constellation)","Taurus|Perseus|Triangulum|Pisces|Cetus","","shares border with"
"numberbrightstars","2","","",""
"starmagnitude","2.01","","",""
"neareststarname","Teegarden's Star","","",""
"name","","Aries","","official name"
"numbermainstars","49","","",""
"constellation","GRB_060218|Arietids|MS_0302+17|Aries_(astrology)","","",""
"arearank","39","","",""
"stardistancepc","3.86","","",""
"numberstarsplanets","6","","",""
"abbreviation","Ari","","",""
"isPrimaryTopicOf","Aries_(constellation)","","",""
"primaryTopic","Aries_(constellation)","","",""
"stardistancely","12.58","","",""
"symbolism","the Ram","","ram","named after"
"numbermessierobjects","0","","",""
"family","Zodiac","","",""
"brighteststarname","Hamal","","",""
"","","","A field book of the stars|Star Lore of All Ages|Encyclopædia Britannica 11th edition|The New Student's Reference Work","described by source"
"","","","2--99|133.5262","Dewey Decimal Classification"
"","","","constellation|zodiacal constellation","instance of"
"","","","Northern celestial hemisphere","part of"
"","","","Aries","Commons gallery"
"","","","Aries","Hederich encyclopedia article"
"","","","Aries (constellation)","Commons category"
