"numberstarsplanets","7","","",""
"constellation","NGC_1907|Palomar_2|NGC_2240|NGC_1931|NGC_2281|Messier_36|NGC_2242|NGC_1985|Messier_38|IC_2149|Westbrook_Nebula|Aurigids|NGC_1893|Delta_Aurigids|NGC_1664|Messier_37|IC_405","","",""
"bordering|neighbourConstellations","Lynx_(constellation)|Gemini_(constellation)|Perseus_(constellation)","Perseus|Lynx|Camelopardalis|Gemini|Taurus","","shares border with"
"numberbrightstars","4","","",""
"isPrimaryTopicOf","Auriga_(constellation)","","",""
"starmagnitude","0.08","","",""
"areatotal","657","","",""
"genitive","Aurigae","","",""
"stardistancepc","6.36","","",""
"primaryTopic","Auriga_(constellation)","","",""
"meteorshowers","Aurigids|Delta Aurigids","","",""
"arearank","21.0","","",""
"numberbfstars","65","","",""
"numbermainstars","58","","",""
"stardistancely","20.74","","",""
"brighteststarname","Capella_(star)","","",""
"name","","Auriga","","official name"
"numbermessierobjects","3","","",""
"numbernearbystars","2","","",""
"abbreviation","Aur","","",""
"symbolism","the Charioteer","","",""
"neareststarname","QY Aur","","",""
"family","Perseus_Family","","",""
"","","","Armenian Soviet Encyclopedia|Star Lore of All Ages|Encyclopædia Britannica 11th edition|Brockhaus and Efron Encyclopedic Dictionary|New International Encyclopedia|Small Brockhaus and Efron Encyclopedic Dictionary|A field book of the stars","described by source"
"","","","Auriga","Commons gallery"
"","","","constellation","instance of"
"","","","657","area"
"","","","auriga","named after"
"","","","Auriga (constellation)","Commons category"
"","","","Delta Aurigids","child astronomical body"
"","","","Northern celestial hemisphere","part of"
