"constellation","GRB_080319B|Quadrantids|Abell_1795|SN_2020tlf|NGC_5466|Abell_1991|June_Bootids|SN_2005bc|Tau_Herculids","","",""
"bordering|neighbourConstellations","Hercules_(constellation)|Serpens Caput|Virgo_(constellation)|Serpens Caput","Draco|Coma Berenices|Hercules|Corona Borealis|Canes Venatici|Ursa Major|Virgo|Serpens","","shares border with"
"name","","Boötes","","official name"
"starmagnitude","−0.04","","",""
"meteorshowers","June Bootids|January Bootids|Quadrantids","","",""
"numberbfstars","59","","",""
"areatotal","907","","",""
"symbolism","The Herdsman","","",""
"isPrimaryTopicOf","Boötes","","",""
"arearank","13","","",""
"brighteststarname","Arcturus","","",""
"genitive","Boötis","","",""
"primaryTopic","Boötes","","",""
"neareststarname","Wolf_498","","",""
"numberstarsplanets","10","","",""
"numbermainstars","715","","",""
"numbernearbystars","3","","",""
"abbreviation","Boo","","",""
"numberbrightstars","3","","",""
"declination","7","","",""
"stardistancepc","5.43","","",""
"numbermessierobjects","0","","",""
"stardistancely","17.71","","",""
"","","","Zeta Boötis|Epsilon Boötis|Rho Boötis|Gamma Boötis|Tau Boötis|Theta Boötis|Beta Boötis|Arcturus|Delta Boötis|Eta Boötis|Kappa Boötis","has part(s)"
"","","","June Bootids","child astronomical body"
"","","","constellation","instance of"
"","","","Paulys Realenzyklopädie der klassischen Altertumswissenschaft|Meyers Konversations-Lexikon, 4th edition (1885–1890)|Star Lore of All Ages|The Nuttall Encyclopædia|Encyclopædia Britannica 11th edition|Brockhaus and Efron Encyclopedic Dictionary|Small Brockhaus and Efron Encyclopedic Dictionary|A field book of the stars","described by source"
"","","","Icarius of Athens|herder|Philomelus","named after"
"","","","907","area"
"","","","Boötes","Commons gallery"
"","","","Boótes","Hederich encyclopedia article"
"","","","Boötes (constellation)","Commons category"
"","","","Northern celestial hemisphere","part of"
