"numberbfstars","8","","",""
"bordering|neighbourConstellations","Columba_(constellation)|Eridanus_(constellation)|Lepus_(constellation)|Horologium_(constellation)","Pictor|Dorado|Columba|Horologium|Lepus|Eridanus","Eridanus|Lepus|Horologium|Columba","shares border with"
"numberbrightstars","0","","",""
"symbolism","the chisel","","chisel","named after"
"brighteststarname","Alpha_Caeli","","",""
"stardistancepc","17.75","","",""
"genitive","Caeli","","",""
"stardistancely","57.86","","",""
"numbermainstars","4","","",""
"starmagnitude","4.45","","",""
"abbreviation","Cae","","",""
"neareststarname","HD 30876","","",""
"isPrimaryTopicOf","Caelum","","",""
"numbermessierobjects","0","","",""
"primaryTopic","Caelum","","",""
"numbernearbystars","0","","",""
"name","","Caelum","","official name"
"meteorshowers","1","","",""
"numberstarsplanets","1","","",""
"areatotal","","125","","area"
"arearank","81.0","","",""
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
"","","","constellation","instance of"
"","","","Southern Celestial Hemisphere","part of"
"","","","1750-01-01T00:00:00Z","time of discovery or invention"
"","","","Caelum (constellation)","Commons category"
"","","","Caelum","Commons gallery"
