"constellation","NGC_7662 | SN_1885A | NGC_752 | NGC_272 | Mayall_II | NGC_956 | NGC_206 | Andromedids | NGC_7686","","",""
"neighbourConstellations | bordering","Perseus_(constellation) | Pegasus_(constellation)","Perseus | Lacerta | Cassiopeia | Triangulum | Pegasus | Pisces","","shares border with"
"starmagnitude","2.07","","",""
"numbermainstars","16","","",""
"numberbrightstars","3","","",""
"symbolism","the Chained Woman | Andromeda_(mythology)",the Chained Woman | Andromeda,"Andromeda","named after"
"stardistancepc","3.16","","",""
"family","Perseus_Family","","",""
"arearank","19","","",""
"primaryTopic","Andromeda_(constellation)","","",""
"name","","Andromeda","","official name"
"brighteststarname","Alpha_Andromedae","","",""
"areatotal","","722","","area"
"meteorshowers","Andromedids","","",""
"abbreviation","And","","",""
"neareststarname","Ross 248","","",""
"numberbfstars","65","","",""
"isPrimaryTopicOf","Andromeda_(constellation)","","",""
"stardistancely","10.3","","",""
"genitive","Andromedae","","",""
"numberstarsplanets","12","","",""
"numbermessierobjects","3","","",""
"numbernearbystars","3","","",""
"","","","Meyers Konversations-Lexikon, 4th edition (1885–1890) | Encyclopedic Lexicon | Small Brockhaus and Efron Encyclopedic Dictionary | Armenian Soviet Encyclopedia, vol. 1 | Brockhaus and Efron Encyclopedic Dictionary | Encyclopædia Britannica 11th edition | Great Soviet Encyclopedia (1926–1947) | A field book of the stars | Star Lore of All Ages","described by source"
"","","","Northern celestial hemisphere","part of"
"","","","Andromeda (constellation)","Commons category"
"","","","Andromeda (constellation)","Commons gallery"
"","","","constellation","instance of"
