"bordering | neighbourConstellations","Norma_(constellation) | Pavo_(constellation)","Telescopium | Triangulum Australe | Pavo | Scorpius | Norma | Apus | Corona Australis","","shares border with"
"constellation","NGC_6326 | NGC_6204 | Water_Lily_Nebula | NGC_6352 | Westerlund_1 | NGC_6193 | NGC_6167 | Stingray_Nebula | NGC_6208 | NGC_6362 | NGC_6200 | ESO_280-SC06 | NGC_6397 | IC_4651 | NGC_6188 | NGC_6250","","",""
"primaryTopic","Ara_(constellation)","","",""
"numberbfstars","17","","",""
"meteorshowers","0","","",""
"stardistancepc","4.54","","",""
"arearank","63.0","","",""
"isPrimaryTopicOf","Ara_(constellation)","","",""
"areatotal","","237","","area"
"abbreviation","Ara","","",""
"numbermainstars","8","","",""
"neareststarname","Gliese_674","","",""
"stardistancely","14.8","","",""
"family","Hercules_Family","","",""
"numberbrightstars","2","","",""
"brighteststarname","Beta_Arae","","",""
"name","","Ara","","official name"
"numbermessierobjects","0","","",""
"symbolism","the Altar",the Altar,"altar","named after"
"starmagnitude","2.84","","",""
"numbernearbystars","3","","",""
"numberstarsplanets","7","","",""
"genitive","Arae","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Great Soviet Encyclopedia (1926–1947) | Small Brockhaus and Efron Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","Arvla","Hederich encyclopedia article"
"","","","Ara (constellation)","Commons category"
"","","","constellation","instance of"
"","","","Ara (constellation)","Commons gallery"
