"starmagnitude","4.25","","",""
"neareststarname","DEN_1048-3956","","",""
"name","","Antlia","","official name"
"constellation","Antlia_Cluster | NGC_2997_Group | Vela_Supercluster","","",""
"numbernearbystars","2","","",""
"stardistancely","13.17","","",""
"meteorshowers","None","","",""
"numberstarsplanets","2","","",""
"family","La_Caille_Family","","",""
"genitive","Antliae","","",""
"arearank","62","","",""
"numberbrightstars","0","","",""
"symbolism","the Air Pump",the Air Pump | air pump,"air pump","named after"
"brighteststarname","Alpha_Antliae","","",""
"neighbourConstellations | bordering","Vela_(constellation) | Hydra_(constellation)","Centaurus | Pyxis | Hydra | Vela","","shares border with"
"abbreviation","Ant","","",""
"isPrimaryTopicOf","Antlia","","",""
"numberbfstars","9","","",""
"numbermainstars","3","","",""
"areatotal","","239","","area"
"stardistancepc","4.04","","",""
"numbermessierobjects","0","","",""
"primaryTopic","Antlia","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Antlia","Commons gallery"
"","","","1752-01-01T00:00:00Z","time of discovery or invention"
"","","","constellation","instance of"
"","","","Robert Boyle","dedicated to"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
"","","","Antlia (constellation)","Commons category"
