"numbermainstars","8","","",""
"stardistancely","14.8","","",""
"bordering | neighbourConstellations","Pavo_(constellation) | Norma_(constellation)","Scorpius | Triangulum Australe | Telescopium | Norma | Apus | Corona Australis | Pavo","","shares border with"
"isPrimaryTopicOf","Ara_(constellation)","","",""
"constellation","NGC_6167 | ESO_280-SC06 | NGC_6193 | IC_4651 | Water_Lily_Nebula | NGC_6352 | NGC_6188 | NGC_6326 | Westerlund_1 | NGC_6250 | Stingray_Nebula | NGC_6397 | NGC_6362 | NGC_6204 | NGC_6200 | NGC_6208","","",""
"abbreviation","Ara","","",""
"numberbrightstars","2","","",""
"numberstarsplanets","7","","",""
"numbernearbystars","3","","",""
"neareststarname","Gliese_674","","",""
"numbermessierobjects","0","","",""
"areatotal","","237","","area"
"brighteststarname","Beta_Arae","","",""
"starmagnitude","2.84","","",""
"numberbfstars","17","","",""
"name","","Ara","","official name"
"stardistancepc","4.54","","",""
"primaryTopic","Ara_(constellation)","","",""
"genitive","Arae","","",""
"symbolism","the Altar","","altar","named after"
"arearank","63.0","","",""
"meteorshowers","0","","",""
"family","Hercules_Family","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Small Brockhaus and Efron Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary | Great Soviet Encyclopedia (1926–1947)","described by source"
"","","","constellation","instance of"
"","","","Arvla","Hederich encyclopedia article"
"","","","Ara (constellation)","Commons gallery"
"","","","Ara (constellation)","Commons category"
